,fielder,overall,ratings
0,BB McCullum,460,18
1,NV Ojha,440,17
2,MS Dhoni,420,16
3,SPD Smith,400,15
4,SPD Smith,380,14
5,RG Sharma,380,14
6,N Saini,380,14
7,RG Sharma,360,13
8,DJ Bravo,340,12
9,AM Rahane,320,11
10,AB de Villiers,320,11
11,SK Raina,300,10
12,MK Tiwary,300,10
13,RV Uthappa,300,10
14,SE Marsh,300,10
15,MA Agarwal,280,9
16,IK Pathan,280,9
17,V Kohli,280,9
18,KC Sangakkara,280,9
19,V Sehwag,280,9
20,KD Karthik,260,8
21,MS Bisla,260,8
22,Harbhajan Singh,260,8
23,SP Goswami,260,8
24,HV Patel,260,8
25,V Sehwag,260,8
26,PA Patel,260,8
27,G Gambhir,240,7
28,LR Shukla,240,7
29,DPMD Jayawardene,240,7
30,BJ Hodge,240,7
31,M Vijay,220,6
32,JP Duminy,220,6
33,R Vinay Kumar,220,6
34,S Dhawan,220,6
35,F du Plessis,220,6
36,KA Pollard,220,6
37,OA Shah,220,6
38,R Dravid,220,6
39,Iqbal Abdulla,220,6
40,SC Ganguly,220,6
41,LR Shukla,220,6
42,R Bhatia,220,6
43,R Ashwin,220,6
44,Azhar Mahmood,220,6
45,DB Das,200,5
46,RA Jadeja,200,5
47,Mandeep Singh,200,5
48,DT Christian,200,5
49,KP Pietersen,200,5
50,JP Duminy,200,5
51,Z Khan,200,5
52,MM Patel,200,5
53,AC Gilchrist,200,5
54,DJ Hussey,200,5
55,Y Nagar,200,5
56,JD Ryder,180,4
57,SB Jakati,180,4
58,MEK Hussey,180,4
59,M Manhas,180,4
60,JEC Franklin,180,4
61,SL Malinga,180,4
62,YK Pathan,180,4
63,TM Dilshan,180,4
64,MK Pandey,180,4
65,AD Mathews,180,4
66,RP Singh,180,4
67,P Awana,180,4
68,S Nadeem,180,4
69,KP Appanna,160,3
70,SS Tiwary,160,3
71,LRPL Taylor,160,3
72,SK Trivedi,160,3
73,KMDN Kulasekara,160,3
74,M Kartik,160,3
75,JH Kallis,160,3
76,AT Rayudu,160,3
77,AD Mathews,160,3
78,S Badrinath,160,3
79,UT Yadav,160,3
80,CL White,160,3
81,KK Cooper,160,3
82,B Lee,160,3
83,DL Vettori,160,3
84,DE Bollinger,160,3
85,A Mishra,140,2
86,RJ Harris,140,2
87,CA Pujara,140,2
88,AL Menaria,140,2
89,DR Smith,140,2
90,VR Aaron,140,2
91,DW Steyn,140,2
92,DJ Harris,140,2
93,DA Miller,140,2
94,J Botha,140,2
95,DH Yagnik,140,2
96,AA Jhunjhunwala,140,2
97,NLTC Perera,140,2
98,P Negi,140,2
99,AC Thomas,140,2
100,AA Chavan,140,2
101,DAJ Bracewell,140,2
102,R Sharma,140,2
103,RE Levi,140,2
104,SR Watson,140,2
105,DA Warner,140,2
106,AB Agarkar,140,2
107,JA Morkel,140,2
108,Gurkeerat Singh,140,2
109,P Kumar,140,2
110,PP Chawla,140,2
111,CH Gayle,140,2
112,RE van der Merwe,120,1
113,P Dogra,120,1
114,MS Gony,120,1
115,WD Parnell,120,1
116,SD Chitnis,120,1
117,SW Tait,120,1
118,IR Jaggi,120,1
119,PC Valthaty,120,1
120,A Singh,120,1
121,AB Dinda,120,1
122,PP Ojha,120,1
123,CA Lynn,120,1
124,TL Suman,120,1
125,A Ashish Reddy,120,1
126,AN Ahmed,120,1
127,L Balaji,120,1
128,AD Mascarenhas,120,1
129,AJ Finch,120,1
130,VY Mahesh,120,1
131,CJ Ferguson,120,1
132,MJ Clarke,120,1
133,LJ Wright,120,1
134,DJ Jacobs,120,1
135,RJ Peterson,120,1
136,B Chipli,120,1
137,DS Kulkarni,120,1
138,S Anirudha,120,1
139,Shakib Al Hasan,120,1
140,UBT Chand,120,1
141,JP Faulkner,120,1
142,Y Venugopal Rao,120,1
143,A Nehra,120,1
144,RN ten Doeschate,120,1
145,STR Binny,120,1
146,A Chandila,120,1
147,M Muralitharan,120,1
148,M Morkel,120,1
149,DW Steyn,120,1
150,GB Hogg,120,1
151,RR Bhatkal,120,1
152,Bipul Sharma,120,1
153,HH Gibbs,120,1
154,M de Lange,100,0
155,J Theron,100,0
156,RR Powar,100,0
157,A Mithun,100,0
158,CJ McKay,100,0
159,AP Majumdar,100,0
160,WP Saha,100,0
161,SP Narine,100,0
162,AUK Pathan,100,0
163,GJ Maxwell,100,0
164,P Parameswaran,100,0
165,TP Sudhindra,100,0
166,SA Yadav,100,0
167,Harmeet Singh,100,0
168,Pankaj Singh,100,0
169,AC Blizzard,100,0
170,PJ Sangwan,100,0
171,DB Ravi Teja,100,0
172,V Pratap Singh,100,0
173,M Kaif,100,0
174,AB McDonald,100,0
175,Harpreet Singh,100,0
176,Anand Rajan,100,0
177,K Upadhyay,100,0
178,BW Hilfenhaus,100,0
179,JD Unadkat,100,0
180,BA Bhatt,100,0
181,MD Mishra,100,0
182,AG Murtaza,100,0
183,BB Samantray,100,0
184,S Aravind,100,0
185,B Kumar,100,0
186,R Shukla,100,0
187,PA Reddy,100,0
188,AM Nayar,100,0
189,Ankit Sharma,100,0
190,AD Russell,100,0
191,SR Tendulkar,100,0
192,MN Samuels,100,0
193,Sunny Gupta,100,0
194,J Syed Mohammad,100,0
