,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,DJ Bravo,2555,135,165,32,0,42,0,18,32,7.75
1,JP Faulkner,2359,161,151,32,1,41,0,9,28,6.66
2,SP Narine,1978,180,149,22,0,28,0,8,22,5.49
3,Harbhajan Singh,1943,163,196,21,3,31,1,15,24,6.53
4,MG Johnson,1915,188,120,23,2,60,1,9,24,7.02
5,A Mishra,1739,151,163,24,1,21,0,15,21,6.23
6,MM Sharma,1699,161,90,8,1,44,0,7,20,6.35
7,DW Steyn,1618,211,135,27,3,40,2,7,19,5.82
8,R Vinay Kumar,1566,124,150,33,5,49,1,15,23,8.35
9,SL Malinga,1441,147,171,21,0,53,1,9,20,7.22
10,NLTC Perera,1247,136,138,26,2,54,0,13,19,7.99
11,KK Cooper,1235,98,157,35,0,37,3,11,19,8.07
12,R Rampaul,1126,112,74,18,2,22,0,13,15,7.03
13,PP Ojha,1078,108,148,18,0,28,1,15,16,7.38
14,JH Kallis,1077,112,149,19,1,36,0,11,16,7.35
15,R Ashwin,1050,121,177,19,0,20,0,17,15,6.73
16,Azhar Mahmood,1008,99,112,13,0,30,1,12,15,7.56
17,P Awana,981,133,116,27,1,44,0,10,15,7.42
18,B Kumar,945,167,118,21,3,43,2,5,13,6.4
19,I Sharma,931,160,121,26,3,47,1,16,15,7.57
20,CH Morris,904,113,111,31,3,39,0,12,15,7.99
21,KV Sharma,883,88,86,10,1,15,0,11,12,6.7
22,AB Dinda,832,105,104,24,1,55,0,14,16,9.13
23,SR Watson,830,101,91,21,2,33,0,8,13,7.52
24,UT Yadav,825,127,135,29,4,57,2,15,16,8.69
25,RA Jadeja,817,95,113,18,1,18,0,17,13,7.51
26,P Kumar,793,155,127,21,3,36,0,12,12,6.68
27,JD Unadkat,775,102,130,19,1,40,0,7,13,7.54
28,RP Singh,741,88,96,23,0,35,0,9,13,8.1
29,SK Trivedi,702,122,163,42,1,32,1,7,12,6.94
30,L Balaji,639,113,124,24,1,35,0,14,12,7.75
31,S Nadeem,634,95,136,14,0,16,0,6,9,5.96
32,SMSM Senanayake,608,73,89,9,2,17,0,5,9,6.53
33,AC Gilchrist,601,1,0,0,0,0,0,0,1,0.0
34,R Bhatia,569,59,160,14,2,23,0,8,11,7.56
35,PP Chawla,543,117,158,28,1,36,0,12,11,7.41
36,R Sharma,516,85,114,18,2,21,0,7,9,6.86
37,IK Pathan,494,134,102,21,1,49,0,8,10,7.48
38,A Nehra,491,84,76,14,0,33,1,13,11,8.74
39,M Kartik,457,71,118,24,2,19,0,7,9,7.23
40,DJG Sammy,446,50,56,12,1,14,0,5,8,7.35
41,DS Kulkarni,415,53,36,6,3,15,0,6,8,7.85
42,JA Morkel,409,59,61,9,0,16,0,4,7,6.82
43,Sandeep Sharma (1),408,41,32,5,0,16,0,4,8,8.02
44,A Chandila,373,64,59,8,1,14,0,4,6,6.32
45,KA Pollard,370,60,85,13,1,25,0,13,10,8.98
46,Iqbal Abdulla,331,41,51,4,1,8,0,8,7,7.68
47,STR Binny,328,57,63,13,0,11,0,5,6,6.65
48,Yuvraj Singh,298,39,71,8,1,11,0,3,6,6.88
49,J Botha,251,37,46,7,0,9,0,3,5,6.71
50,Harmeet Singh,246,39,35,6,0,10,0,6,6,7.69
51,WD Parnell,215,33,39,3,0,17,2,3,7,8.76
52,MC Henriques,213,50,46,7,1,22,0,6,7,8.5
53,Z Khan,213,18,11,2,0,5,0,2,5,7.58
54,BJ Hodge,200,3,3,0,0,0,0,0,0,3.0
55,Anand Rajan,163,24,19,5,0,2,0,1,2,5.18
56,MR Marsh,140,35,58,6,0,12,0,11,7,9.11
57,AN Ahmed,133,21,11,4,0,5,0,1,3,6.43
58,S Sreesanth,132,67,34,8,0,20,1,6,5,7.63
59,B Lee,121,34,23,5,0,11,0,2,4,7.24
60,M Morkel,119,91,82,26,5,33,0,10,7,8.3
61,RE van der Merwe,113,25,31,4,0,5,0,2,3,6.4
62,MS Gony,103,62,69,4,0,28,0,12,7,8.97
63,VS Malik,86,30,20,2,1,8,0,0,2,5.84
64,Bipul Sharma,65,11,11,0,0,1,0,1,1,5.25
65,RG Sharma,35,3,6,0,0,0,0,0,0,4.62
