,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
66,AD Mathews,20,50,93,19,0,20,2,4,5,7.85
67,Parvez Rasool,2,12,13,2,0,3,0,0,1,5.8
68,BAW Mendis,1,29,31,2,1,7,0,2,2,6.5
69,MG Neser,0,5,7,2,1,6,0,4,0,15.12
70,R Sathish,0,1,12,4,0,5,0,2,0,13.0
71,R McLaren,0,17,10,1,0,12,1,5,3,12.84
72,PJ Sangwan,0,7,8,3,0,5,0,3,0,12.38
73,AJ Finch,0,5,11,1,0,3,0,4,1,12.25
74,IC Pandey,0,7,7,1,0,9,1,0,1,12.2
75,GJ Maxwell,0,2,6,1,0,1,0,2,0,12.0
76,SK Raina,0,2,7,0,0,1,0,2,1,11.5
77,DR Smith,0,7,13,3,0,7,0,2,2,11.35
78,A Ashish Reddy,0,10,17,4,0,7,0,3,3,10.92
79,BJ Rohrer,0,1,4,0,0,2,0,0,0,10.91
80,JJ Bumrah,0,16,14,2,0,11,0,2,3,10.14
81,CH Gayle,0,10,7,1,0,5,0,2,3,10.0
82,TM Dilshan,0,0,4,1,0,1,0,0,0,10.0
83,B Laughlin,0,9,22,5,0,7,0,2,1,9.86
84,LJ Wright,0,12,37,3,0,4,0,7,2,9.81
85,AD Russell,0,10,22,4,0,5,0,3,0,9.44
86,R Shukla,0,15,21,5,1,10,0,1,3,9.41
87,AG Murtaza,0,17,32,0,0,7,0,6,3,9.41
88,GB Hogg,0,5,11,2,0,1,0,2,0,9.39
89,K Upadhyay,0,10,13,1,1,6,0,1,0,9.23
90,MM Patel,0,32,30,6,2,18,0,3,3,9.14
91,SW Tait,0,23,27,3,1,14,1,1,1,9.04
92,DT Christian,0,14,15,2,0,2,1,4,0,9.03
93,AB Agarkar,0,17,31,4,0,6,0,5,0,9.03
94,J Syed Mohammad,0,10,36,6,0,8,0,2,3,9.02
95,A Mithun,0,9,7,3,0,6,0,0,1,9.02
96,AS Rajpoot,0,8,11,0,0,5,0,1,1,9.02
97,S Ladda,0,3,6,1,0,1,0,1,1,9.0
98,V Sehwag,0,0,5,0,0,1,0,0,0,9.0
99,Mohammed Shami,0,6,7,1,0,3,0,1,0,9.0
100,YS Chahal,0,8,8,3,1,3,0,1,0,8.75
101,S Badree,0,7,11,3,0,3,0,1,0,8.54
102,KW Richardson,0,28,27,5,0,6,0,7,2,8.51
103,AB McDonald,0,4,5,0,0,3,0,0,1,8.5
104,Ankit Sharma,0,5,4,0,0,2,1,0,0,8.5
105,JO Holder,0,47,44,9,1,18,0,6,2,8.44
106,DJ Hussey,0,19,35,3,0,7,0,4,0,8.3
107,MN Samuels,0,8,10,3,0,3,0,1,1,8.29
108,Shami Ahmed,0,15,15,1,0,6,1,1,1,8.25
109,M Muralitharan,0,42,69,6,1,15,0,8,3,8.24
110,YK Pathan,0,14,29,5,1,2,0,4,1,8.13
111,PV Tambe,0,20,31,7,0,10,0,1,1,8.05
112,CL White,0,5,4,1,0,1,0,1,1,8.0
113,TL Suman,0,3,6,2,0,0,0,1,1,8.0
114,RN ten Doeschate,0,4,10,2,0,1,0,1,0,8.0
115,DP Nannes,0,50,42,10,2,17,1,4,4,7.86
116,S Kaul,0,44,59,8,0,17,1,4,4,7.78
117,S Narwal,0,6,5,0,0,3,0,0,0,7.73
118,R Dhawan,0,34,37,11,0,11,0,2,2,7.42
119,LR Shukla,0,7,6,2,0,3,0,0,1,7.33
120,AM Nayar,0,13,23,10,0,4,0,0,2,7.2
121,BMAJ Mendis,0,11,14,1,0,2,0,2,1,7.2
122,P Suyal,0,9,6,1,0,2,0,1,1,7.1
123,NM Coulter-Nile,0,11,9,0,0,5,0,0,1,7.07
124,AA Chavan,0,28,17,3,0,4,0,4,1,6.85
125,JDP Oram,0,11,10,1,0,4,0,0,0,6.67
126,P Negi,0,3,20,2,0,1,0,0,0,6.67
127,GH Vihari,0,17,13,2,0,4,0,1,1,6.39
128,BA Bhatt,0,12,14,1,0,4,0,0,1,6.27
129,AD Mascarenhas,0,7,13,2,0,2,0,0,0,6.25
130,RJ Harris,0,40,20,1,0,13,0,0,1,6.07
131,RV Gomez,0,4,1,0,0,1,0,0,0,5.0
