,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,SP Narine,2172,164,133,31,0,18,1,10,24,5.6
1,M Morkel,1966,154,148,24,2,50,2,9,25,7.22
2,SL Malinga,1880,145,143,24,2,32,0,5,22,6.09
3,DW Steyn,1544,138,92,21,1,34,1,2,18,6.03
4,UT Yadav,1379,145,156,25,0,45,0,11,19,7.13
5,R Vinay Kumar,1185,123,131,26,1,43,2,20,19,8.5
6,M Muralitharan,1166,82,124,17,0,13,0,9,15,6.52
7,P Awana,1153,112,115,19,1,34,0,15,17,7.76
8,Z Khan,1116,146,132,27,2,51,0,12,17,7.62
9,KA Pollard,1090,85,148,15,0,27,0,11,16,7.43
10,BW Hilfenhaus,1078,103,68,9,2,24,0,9,14,6.82
11,PP Chawla,1058,124,150,24,3,26,0,19,16,7.4
12,L Balaji,973,83,81,9,0,13,0,3,11,5.4
13,MM Patel,970,123,96,18,1,30,1,19,15,7.79
14,JH Kallis,969,112,154,18,0,46,0,6,15,7.32
15,R Ashwin,946,141,188,34,0,25,1,13,14,6.55
16,Azhar Mahmood,912,95,106,20,1,37,2,4,14,7.51
17,Shakib Al Hasan,899,68,82,16,0,12,1,6,12,6.66
18,DJ Bravo,855,110,173,22,3,42,0,13,15,7.83
19,SK Trivedi,785,90,174,22,3,24,2,9,13,7.17
20,JA Morkel,776,118,128,14,2,44,0,9,13,7.5
21,R Bhatia,733,82,179,26,1,22,0,13,13,7.48
22,A Mishra,715,89,133,29,1,17,1,19,13,7.92
23,RA Jadeja,715,65,108,13,0,17,2,11,12,7.72
24,AB Dinda,616,61,66,7,0,14,1,5,9,6.73
25,KK Cooper,601,52,61,16,0,13,0,7,10,7.63
26,GB Hogg,591,73,97,22,3,18,2,5,10,7.2
27,A Ashish Reddy,569,55,69,16,3,14,0,12,11,8.47
28,PP Ojha,545,66,83,17,0,8,0,11,9,7.05
29,RP Singh,537,103,95,15,2,37,0,7,10,7.45
30,RJ Harris,460,48,34,6,0,18,0,3,8,7.51
31,A Nehra,456,99,118,15,2,43,0,13,11,8.38
32,J Botha,450,87,111,16,3,26,0,8,9,7.33
33,P Kumar,444,168,148,18,3,47,2,9,9,6.79
34,AD Mascarenhas,442,35,40,11,0,9,0,2,7,6.83
35,DE Bollinger,421,46,39,0,0,23,1,4,9,8.65
36,SW Tait,420,65,66,11,0,11,2,2,6,5.9
37,V Pratap Singh,415,71,84,13,2,31,0,10,10,8.55
38,MN Samuels,406,66,73,10,0,19,0,8,8,7.43
39,P Negi,403,49,61,7,0,9,0,7,7,6.92
40,S Nadeem,364,88,140,15,0,21,0,11,8,7.03
41,B Kumar,360,86,104,16,0,23,1,10,8,7.33
42,R Sharma,347,72,106,8,1,21,0,16,9,8.2
43,AB McDonald,331,18,35,3,0,4,0,1,5,6.24
44,A Chandila,330,39,33,3,0,3,0,6,5,6.21
45,SB Jakati,320,76,117,13,1,27,1,13,9,8.18
46,AD Mathews,310,50,73,14,0,16,0,5,7,7.44
47,A Singh,309,58,82,22,0,30,1,11,10,9.32
48,SR Watson,308,62,53,4,0,23,0,2,6,6.88
49,DS Kulkarni,305,23,16,6,0,6,0,2,6,7.53
50,WD Parnell,296,51,53,13,0,12,0,1,5,6.21
51,Pankaj Singh,275,57,36,4,1,25,0,4,7,8.1
52,HV Patel,273,78,102,24,0,34,0,11,9,8.52
53,DT Christian,257,51,74,12,2,22,0,8,8,8.54
54,VR Aaron,221,73,64,9,4,33,1,8,8,8.72
55,B Lee,219,99,75,18,0,30,0,12,7,7.77
56,Harmeet Singh,203,40,63,15,0,17,1,5,7,8.41
57,IK Pathan,185,145,133,18,0,56,0,14,8,7.82
58,KMDN Kulasekara,174,38,28,10,0,12,0,0,4,6.67
59,JEC Franklin,170,25,45,5,1,14,0,2,6,8.29
60,DL Vettori,140,66,103,22,0,16,0,5,5,6.85
61,AA Chavan,137,55,70,11,1,21,0,11,7,8.72
62,Iqbal Abdulla,137,46,65,8,2,9,0,4,4,6.62
63,KP Appanna,134,35,45,9,0,11,0,7,6,8.51
64,Harbhajan Singh,126,117,158,19,0,26,1,14,6,7.01
65,Ankit Sharma,108,62,56,11,1,8,0,9,4,6.87
66,RE van der Merwe,71,26,24,6,0,3,0,2,2,5.94
67,P Parameswaran,61,23,22,4,0,9,1,3,5,8.73
68,DJ Hussey,10,14,33,2,0,3,0,3,3,7.36
69,SPD Smith,0,0,1,0,0,1,0,0,0,25.0
70,RR Bhatkal,0,0,5,2,0,2,0,3,0,17.5
71,V Kohli,0,2,7,1,0,4,0,4,0,16.33
72,PC Valthaty,0,1,2,0,0,2,0,1,0,16.0
73,RG Sharma,0,1,2,1,0,0,0,2,0,16.0
74,F du Plessis,0,0,4,0,0,0,0,2,0,16.0
75,AM Nayar,0,0,4,0,0,0,0,2,0,16.0
76,S Aravind,0,5,2,0,0,10,0,1,0,16.0
77,Sunny Gupta,0,0,11,1,0,4,0,3,0,15.16
78,AUK Pathan,0,2,2,0,0,0,0,2,0,14.0
79,CH Gayle,0,5,13,1,0,7,0,4,0,13.4
80,Y Venugopal Rao,0,3,4,0,0,4,0,1,0,13.0
81,LJ Wright,0,2,6,1,0,1,0,2,0,12.0
82,NLTC Perera,0,2,7,3,0,2,0,1,0,11.74
83,V Sehwag,0,7,9,0,0,6,0,2,0,11.25
84,TP Sudhindra,0,18,30,8,0,8,1,9,1,11.23
85,BJ Hodge,0,2,6,1,0,2,0,1,1,11.0
86,A Mithun,0,5,8,0,0,5,0,1,0,10.97
87,TM Dilshan,0,9,22,1,0,9,0,3,0,10.83
88,RR Powar,0,3,9,1,1,3,0,1,0,10.67
89,JD Unadkat,0,2,10,3,0,1,0,2,0,10.67
90,JD Ryder,0,10,18,5,0,7,0,3,1,10.42
91,M de Lange,0,17,28,2,0,13,0,4,3,10.38
92,R Shukla,0,5,8,1,0,4,0,1,0,10.32
93,Bipul Sharma,0,13,21,4,0,3,1,6,0,10.25
94,PJ Sangwan,0,5,13,1,0,4,1,1,1,10.24
95,AD Russell,0,28,39,3,1,24,0,3,1,10.0
96,S Dhawan,0,12,14,1,0,8,0,2,3,9.84
97,SC Ganguly,0,10,35,5,0,7,0,4,2,9.6
98,J Syed Mohammad,0,8,22,7,0,3,0,3,0,9.3
99,JP Faulkner,0,14,22,3,0,7,0,3,3,9.14
100,Anand Rajan,0,18,39,4,0,12,0,3,3,9.11
101,Y Nagar,0,1,4,1,0,1,0,0,0,9.09
102,AB Agarkar,0,20,48,5,0,13,0,4,3,8.93
103,RJ Peterson,0,21,14,3,0,5,0,5,3,8.75
104,BA Bhatt,0,26,49,7,0,14,0,4,2,8.72
105,DJ Harris,0,4,10,1,0,2,0,1,0,8.67
106,MS Gony,0,58,53,10,0,18,0,12,3,8.65
107,CJ McKay,0,14,17,1,1,8,0,1,1,8.57
108,CL White,0,1,17,0,0,1,0,1,0,8.44
109,KP Pietersen,0,10,22,2,1,3,0,2,0,8.28
