,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,2,78,102,178,80,134.11,7.26
1,RG Sharma,95,3,65,98,160,68,129.18,7.88
2,V Kohli,95,0,64,95,159,64,127.12,8.43
3,CH Gayle,94,0,29,94,123,29,146.23,7.79
4,V Sehwag,81,0,42,81,123,42,148.83,10.26
5,MS Dhoni,84,0,94,84,178,94,135.18,100.0
6,DJ Bravo,53,66,61,119,114,127,122.29,7.99
7,SL Malinga,11,100,24,111,35,124,81.0,6.58
8,A Mishra,23,70,31,93,54,101,89.26,7.19
9,SP Narine,7,57,8,64,15,65,81.03,6.3
10,R Ashwin,21,63,29,84,50,92,93.9,6.49
