,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,11,66,111,166,77,135.22,6.99
1,V Sehwag,97,4,51,101,148,55,163.02,10.11
2,AC Gilchrist,96,0,100,96,196,100,136.54,100.0
3,YK Pathan,89,33,49,122,138,82,152.56,6.94
4,CH Gayle,71,5,23,76,94,28,155.3,7.56
5,KC Sangakkara,78,0,84,78,162,84,124.27,100.0
6,IK Pathan,53,72,41,125,94,113,121.23,7.57
7,SL Malinga,11,100,26,111,37,126,81.82,6.32
8,A Mishra,30,90,33,120,63,123,101.19,6.82
9,R Ashwin,9,57,19,66,28,76,65.57,6.13
10,DW Steyn,14,56,33,70,47,89,82.26,6.45
