,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,5,30,105,130,35,161.52,8.13
1,V Sehwag,83,5,56,88,139,61,161.19,7.23
2,SK Raina,75,2,67,77,142,69,132.77,7.37
3,SR Tendulkar,70,0,33,70,103,33,115.27,100.0
4,MS Dhoni,62,0,100,62,162,100,139.06,100.0
5,RV Uthappa,62,0,92,62,154,92,131.03,100.0
6,SL Malinga,20,100,41,120,61,141,98.46,6.29
7,DW Steyn,18,68,30,86,48,98,90.67,6.33
8,R Ashwin,15,65,39,80,54,104,81.97,6.35
9,M Muralitharan,11,41,28,52,39,69,63.16,6.88
10,Harbhajan Singh,39,41,43,80,82,84,143.64,6.91
