,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,16,74,116,174,90,137.07,6.86
1,AC Gilchrist,97,0,100,97,197,100,141.04,100.0
2,YK Pathan,91,18,49,109,140,67,157.1,7.31
3,V Sehwag,90,7,43,97,133,50,159.47,10.11
4,DPMD Jayawardene,72,0,54,72,126,54,135.53,100.0
5,KD Karthik,60,0,96,60,156,96,123.87,100.0
6,IK Pathan,55,85,40,140,95,125,126.96,7.63
7,PP Ojha,9,100,34,109,43,134,31.58,7.15
8,RP Singh,17,93,52,110,69,145,70.97,7.86
9,Sohail Tanvir,8,52,9,60,17,61,116.13,6.24
10,M Muralitharan,13,85,41,98,54,126,69.23,6.37
