,fielder,overall,ratings
0,YV Takawale,360,13
1,SK Raina,340,12
2,RA Jadeja,320,11
3,M Rawat,320,11
4,WP Saha,320,11
5,SK Raina,320,11
6,RA Jadeja,300,10
7,Yuvraj Singh,300,10
8,RV Uthappa,300,10
9,Kamran Akmal,280,9
10,KD Karthik,280,9
11,S Dhawan,280,9
12,Yuvraj Singh,280,9
13,AC Gilchrist,260,8
14,MS Dhoni,260,8
15,M Kaif,260,8
16,RG Sharma,260,8
17,V Sehwag,260,8
18,A Nehra,240,7
19,TM Dilshan,240,7
20,S Badrinath,240,7
21,PP Chawla,220,6
22,SR Tendulkar,220,6
23,HH Gibbs,220,6
24,IK Pathan,220,6
25,Sohail Tanvir,220,6
26,PA Patel,220,6
27,A Nehra,220,6
28,SA Asnodkar,200,5
29,VY Mahesh,200,5
30,YK Pathan,200,5
31,SC Ganguly,200,5
32,M Kartik,200,5
33,DW Steyn,200,5
34,Sohail Tanvir,200,5
35,Joginder Sharma,200,5
36,RP Singh,200,5
37,SP Goswami,200,5
38,CL White,200,5
39,DJ Hussey,200,5
40,KC Sangakkara,180,4
41,AB de Villiers,180,4
42,SE Marsh,180,4
43,TM Srivastava,180,4
44,MV Boucher,180,4
45,SK Warne,180,4
46,DPMD Jayawardene,180,4
47,SB Bangar,180,4
48,SC Ganguly,180,4
49,LPC Silva,180,4
50,AM Nayar,180,4
51,DJ Bravo,180,4
52,Shahid Afridi,180,4
53,MF Maharoof,180,4
54,M Muralitharan,180,4
55,CK Kapugedera,180,4
56,MK Tiwary,180,4
57,Shoaib Malik,180,4
58,W Jaffer,180,4
59,PR Shah,180,4
60,A Kumble,160,3
61,ST Jayasuriya,160,3
62,L Ronchi,160,3
63,JA Morkel,160,3
64,SK Trivedi,160,3
65,DS Kulkarni,160,3
66,JH Kallis,160,3
67,Harbhajan Singh,160,3
68,A Symonds,160,3
69,U Kaul,160,3
70,LR Shukla,160,3
71,A Mukund,160,3
72,M Ntini,160,3
73,DJ Bravo,160,3
74,MM Patel,160,3
75,R Vinay Kumar,160,3
76,B Akhil,160,3
77,R Dravid,160,3
78,PP Ojha,160,3
79,AS Yadav,140,2
80,K Goel,140,2
81,SP Fleming,140,2
82,SM Pollock,140,2
83,Salman Butt,140,2
84,DR Smith,140,2
85,P Amarnath,140,2
86,VVS Laxman,140,2
87,BJ Hodge,140,2
88,WA Mota,140,2
89,DT Patil,140,2
90,S Sreesanth,140,2
91,B Geeves,140,2
92,RT Ponting,140,2
93,V Kohli,140,2
94,Mohammad Hafeez,140,2
95,D Salunkhe,140,2
96,PJ Sangwan,140,2
97,RR Raje,140,2
98,DB Ravi Teja,140,2
99,JDP Oram,140,2
100,B Lee,140,2
101,Z Khan,140,2
102,MEK Hussey,140,2
103,I Sharma,140,2
104,NK Patel,140,2
105,GD McGrath,140,2
106,G Gambhir,140,2
107,P Kumar,140,2
108,AB Dinda,140,2
109,JR Hopes,140,2
110,MS Gony,140,2
111,A Chopra,140,2
112,DJ Thornely,140,2
113,RR Powar,140,2
114,GC Smith,140,2
115,VRV Singh,120,1
116,LRPL Taylor,120,1
117,SD Chitnis,120,1
118,CRD Fernando,120,1
119,AM Rahane,120,1
120,BB McCullum,120,1
121,Younis Khan,120,1
122,SS Tiwary,120,1
123,D Kalyankrishna,120,1
124,L Balaji,120,1
125,SR Watson,120,1
126,T Taibu,120,1
127,SB Styris,120,1
128,Pankaj Singh,120,1
129,B Chipli,120,1
130,T Kohli,120,1
131,R Bhatia,120,1
132,LA Pomersbach,120,1
133,MK Pandey,120,1
134,AB Agarkar,120,1
135,RR Sarwan,120,1
136,S Vidyut,120,1
137,DB Das,120,1
138,Misbah-ul-Haq,120,1
139,Umar Gul,120,1
140,A Mishra,100,0
141,BAW Mendis,100,0
142,S Sohal,100,0
143,Gagandeep Singh,100,0
144,S Chanderpaul,100,0
145,Shoaib Akhtar,100,0
146,Abdur Razzak,100,0
147,WPUJC Vaas,100,0
148,VS Yeligati,100,0
149,DS Lehmann,100,0
150,DP Vijaykumar,100,0
151,Y Venugopal Rao,100,0
152,SM Katich,100,0
153,ML Hayden,100,0
154,H Das,100,0
155,S Anirudha,100,0
156,A Nel,100,0
157,Mohammad Asif,100,0
158,SB Joshi,100,0
159,J Arunkumar,100,0
160,AD Mascarenhas,100,0
161,DL Vettori,100,0
162,AA Noffke,100,0
163,MA Khote,100,0
164,DNT Zoysa,100,0
165,Iqbal Abdulla,100,0
166,PM Sarvesh Kumar,100,0
