,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,12,55,112,155,67,134.26,6.89
1,CH Gayle,96,6,32,102,128,38,155.3,7.56
2,SR Tendulkar,96,0,42,96,138,42,116.73,9.67
3,AC Gilchrist,93,0,100,93,193,100,137.94,100.0
4,V Sehwag,90,5,42,95,132,47,157.74,7.38
5,KC Sangakkara,75,0,88,75,163,88,117.21,100.0
6,SL Malinga,16,100,35,116,51,135,81.82,6.32
7,A Mishra,32,74,35,106,67,109,105.56,6.83
8,PP Ojha,3,68,30,71,33,98,26.67,7.12
9,R Ashwin,14,58,27,72,41,85,65.57,6.13
10,A Kumble,10,60,18,70,28,78,68.75,6.23
