,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
46,RS Bopara,429,50,54,5,0,8,7,111.29
47,PA Patel,428,62,43,4,1,19,2,108.4
48,AM Rahane,426,47,54,12,0,12,3,112.5
49,SB Styris,417,1,4,2,0,0,1,175.0
50,P Kumar,413,19,15,5,0,1,6,141.3
51,RV Uthappa,413,85,58,12,1,18,3,98.87
52,S Sohal,408,60,19,6,0,9,8,112.75
53,SC Ganguly,385,106,77,9,2,13,6,88.73
54,AS Raut,373,25,26,4,2,5,3,120.0
55,Y Venugopal Rao,373,40,56,13,0,6,3,105.08
56,WPUJC Vaas,368,3,12,4,0,1,1,142.86
57,LA Carseldine,364,31,23,4,2,11,0,114.08
58,SA Asnodkar,355,57,22,4,0,11,4,100.0
59,RJ Quiney,354,57,30,2,1,12,3,98.1
60,M Manhas,351,27,19,11,0,7,1,115.38
61,MM Patel,348,8,13,0,0,5,0,126.92
62,AB Agarkar,347,21,26,5,0,3,3,113.79
63,A Mishra,344,11,4,1,0,2,2,130.0
64,JD Ryder,338,26,9,4,1,9,0,114.29
65,A Flintoff,333,24,23,2,1,5,2,108.77
66,RR Raje,332,2,6,0,0,0,1,133.33
67,KP Pietersen,332,42,28,8,0,8,2,100.0
68,SK Warne,329,54,48,6,0,6,4,91.53
69,GJ Bailey,328,18,13,2,0,7,0,112.5
70,K Goel,328,73,45,8,1,9,4,88.57
71,SB Jakati,325,6,6,1,0,3,0,125.0
72,JDP Oram,324,43,40,2,0,5,4,93.62
73,J Botha,320,15,18,3,1,5,0,111.9
74,I Sharma,315,6,4,1,0,1,1,123.08
75,LR Shukla,311,43,25,10,0,5,3,96.51
76,R Vinay Kumar,306,20,13,6,0,4,1,106.82
77,AD Mathews,298,4,8,0,0,2,0,114.29
78,R Bishnoi,297,11,3,0,0,1,2,111.76
79,PR Shah,294,28,15,5,0,4,2,98.15
80,DL Vettori,293,11,15,2,1,3,0,106.25
81,RJ Harris,289,6,4,7,1,0,0,116.67
82,Joginder Sharma,289,6,8,3,0,0,1,111.11
83,AD Mascarenhas,287,15,17,3,0,4,0,100.0
84,DB Ravi Teja,287,33,26,4,1,7,0,91.55
85,RR Powar,281,7,11,2,0,2,0,104.55
86,B Akhil,278,9,3,2,0,1,1,106.25
87,M Kartik,276,2,15,3,0,0,0,105.0
88,SS Tiwary,272,3,5,4,0,0,0,108.33
89,M Vijay,272,35,24,4,0,4,2,86.96
90,MC Henriques,267,19,13,4,1,2,1,95.0
91,M Muralitharan,259,3,4,0,0,1,0,100.0
92,MF Maharoof,257,7,7,7,0,0,0,100.0
93,SP Goswami,253,34,20,3,1,6,0,82.81
94,S Dhawan,252,19,20,4,0,3,0,86.96
95,A Nehra,251,0,1,0,0,0,0,100.0
96,Mashrafe Mortaza,250,1,0,1,0,0,0,100.0
97,LA Pomersbach,248,25,17,3,0,3,1,83.67
98,GR Napier,246,7,5,3,0,1,0,93.75
99,AA Bilakhia,246,41,29,9,0,5,0,79.76
100,Y Nagar,242,9,9,2,1,1,0,90.91
101,M Morkel,233,5,2,1,0,1,0,88.89
102,B Lee,232,19,12,1,0,2,1,80.0
103,AN Ghosh,230,5,1,1,0,1,0,87.5
104,SS Shaikh,227,4,2,0,0,1,0,85.71
105,PP Chawla,226,21,11,4,0,3,0,79.49
106,YV Takawale,225,12,6,2,0,2,0,81.82
107,A Kumble,224,10,8,0,0,2,0,80.0
108,M Rawat,223,7,12,0,0,1,0,80.0
109,W Jaffer,216,12,3,2,0,2,0,78.95
110,Yashpal Singh,214,39,20,2,1,5,0,70.15
111,FH Edwards,209,3,1,0,1,0,0,80.0
112,D du Preez,206,5,6,2,0,0,0,76.92
113,AB McDonald,202,1,3,0,0,0,0,75.0
114,Z Khan,200,3,8,0,0,0,0,72.73
115,MK Tiwary,194,7,5,0,0,1,0,69.23
116,T Henderson,192,11,3,1,0,0,1,68.75
117,SD Chitnis,187,6,2,0,0,1,0,66.67
118,WA Mota,183,20,26,2,0,0,0,62.5
119,AB Dinda,182,2,0,1,0,0,0,66.67
120,SM Harwood,178,7,5,2,0,0,0,64.29
121,VVS Laxman,172,22,9,0,0,1,1,57.58
122,PJ Sangwan,170,5,4,1,0,0,0,60.0
123,Kamran Khan,169,3,1,1,0,0,0,60.0
124,A Chopra,164,15,3,0,0,2,0,55.0
125,R Ashwin,158,10,4,0,0,1,0,53.33
126,PC Valthaty,151,9,2,0,0,1,0,50.0
127,DS Kulkarni,150,9,9,0,0,0,0,50.0
128,Pankaj Singh,150,1,1,0,0,0,0,50.0
129,SK Trivedi,141,11,7,1,0,0,0,47.37
130,RP Singh,141,10,6,1,0,0,0,47.06
131,R Bhatia,137,13,4,0,0,1,0,44.44
132,NK Patel,129,28,10,2,0,1,0,43.9
133,L Balaji,126,7,2,1,0,0,0,40.0
134,KV Sharma,115,2,1,0,0,0,0,33.33
135,A Singh,115,2,1,0,0,0,0,33.33
136,T Kohli,98,3,1,0,0,0,0,25.0
137,T Thushara,96,6,2,0,0,0,0,25.0
138,S Sreesanth,94,17,1,0,0,1,0,26.32
139,SB Bangar,89,7,2,0,0,0,0,22.22
140,Shoaib Ahmed,79,5,1,0,0,0,0,16.67
141,Mohammad Ashraful,75,10,2,0,0,0,0,16.67
142,PP Ojha,73,6,1,0,0,0,0,14.29
143,TM Srivastava,49,1,0,0,0,0,0,0.0
144,KP Appanna,49,1,0,0,0,0,0,0.0
145,BAW Mendis,49,1,0,0,0,0,0,0.0
146,C Nanda,49,1,0,0,0,0,0,0.0
147,SL Malinga,49,1,0,0,0,0,0,0.0
148,L Ronchi,47,3,0,0,0,0,0,0.0
149,DW Steyn,47,3,0,0,0,0,0,0.0
