,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,ML Hayden,1078,161,134,30,2,60,22,139.85
1,AC Gilchrist,1053,162,80,11,1,54,29,146.88
2,SK Raina,888,121,118,21,0,37,21,136.48
3,AB de Villiers,849,112,158,35,3,39,12,129.53
4,TM Dilshan,766,156,121,24,1,42,13,117.09
5,SR Tendulkar,709,135,117,11,3,39,10,115.56
6,RG Sharma,685,132,136,15,0,22,18,112.07
7,BJ Hodge,684,125,125,22,2,34,9,115.14
8,MS Dhoni,668,75,139,24,1,22,9,122.96
9,DR Smith,665,44,49,14,0,12,15,160.45
10,JP Duminy,663,123,148,24,2,26,11,111.38
11,YK Pathan,658,92,46,14,1,25,14,135.94
12,LRPL Taylor,656,85,75,15,0,20,15,130.95
13,HH Gibbs,655,155,120,24,1,32,12,107.85
14,Yuvraj Singh,638,147,114,15,0,25,16,107.26
15,KD Karthik,634,68,101,25,1,20,9,128.57
16,A Symonds,628,55,58,31,1,15,11,145.61
17,JH Kallis,616,168,110,23,3,37,8,103.44
18,BB McCullum,611,119,74,16,0,27,12,115.32
19,V Sehwag,582,65,40,10,0,24,7,135.62
20,DPMD Jayawardene,566,53,81,14,0,17,7,127.33
21,R Dravid,564,90,95,23,0,28,3,113.39
22,KC Sangakkara,564,138,135,24,1,29,5,100.0
23,TL Suman,550,76,67,22,2,18,8,122.8
24,RA Jadeja,548,102,121,24,2,21,6,106.88
25,V Kohli,539,98,84,13,0,22,8,109.33
26,MK Pandey,531,41,40,18,0,17,4,140.0
27,G Gambhir,525,128,96,25,0,32,2,101.06
28,AM Nayar,513,58,57,19,0,14,7,124.52
29,CH Gayle,506,85,40,6,0,18,10,115.72
30,IK Pathan,504,67,57,16,1,17,6,119.51
31,DJ Hussey,503,22,19,6,1,7,6,160.66
32,WP Saha,495,6,20,8,0,3,4,175.61
33,MN van Wyk,488,44,58,12,1,19,1,123.7
34,ST Jayasuriya,485,109,51,11,3,23,7,105.88
35,NV Ojha,476,74,40,9,0,11,11,115.86
36,DA Warner,473,59,47,8,2,16,5,118.98
37,SM Katich,471,56,35,7,0,15,6,121.85
38,DJ Bravo,462,99,69,19,1,15,8,103.32
39,S Badrinath,457,78,55,9,0,20,4,106.63
40,Harbhajan Singh,456,21,20,5,0,6,5,147.37
41,MV Boucher,452,44,44,19,0,8,6,123.97
42,GC Smith,447,108,75,10,1,27,1,95.5
43,JA Morkel,444,22,37,2,0,8,4,132.88
44,MS Gony,442,4,1,0,0,0,2,185.71
45,RE van der Merwe,438,49,32,2,2,8,8,120.79
