,fielder,overall,ratings
0,DA Miller,380,14
1,PA Patel,380,14
2,F du Plessis,380,14
3,SK Raina,380,14
4,WP Saha,340,12
5,GJ Bailey,340,12
6,SV Samson,320,11
7,KD Karthik,320,11
8,SK Raina,320,11
9,NV Ojha,300,10
10,SPD Smith,300,10
11,GJ Maxwell,300,10
12,RV Uthappa,300,10
13,DA Warner,280,9
14,GJ Maxwell,280,9
15,MA Starc,280,9
16,KA Pollard,260,8
17,M Vijay,260,8
18,MK Pandey,260,8
19,SA Yadav,260,8
20,MA Starc,260,8
21,V Kohli,260,8
22,MS Dhoni,240,7
23,AJ Finch,240,7
24,AB de Villiers,240,7
25,AT Rayudu,240,7
26,RG Sharma,240,7
27,AR Patel,240,7
28,DW Steyn,240,7
29,AM Rahane,240,7
30,BB McCullum,240,7
31,MG Johnson,220,6
32,CM Gautam,220,6
33,YK Pathan,220,6
34,M Morkel,220,6
35,Yuvraj Singh,200,5
36,CJ Anderson,200,5
37,DJG Sammy,200,5
38,KK Nair,200,5
39,R Bhatia,200,5
40,S Dhawan,200,5
41,M Morkel,200,5
42,DR Smith,200,5
43,V Sehwag,200,5
44,STR Binny,180,4
45,R Dhawan,180,4
46,M Vohra,180,4
47,KL Rahul,180,4
48,IC Pandey,180,4
49,YV Takawale,180,4
50,PP Chawla,180,4
51,Yuvraj Singh,180,4
52,DJG Sammy,180,4
53,SR Watson,160,3
54,R Shukla,160,3
55,RA Jadeja,160,3
56,SP Narine,160,3
57,Harbhajan Singh,160,3
58,MEK Hussey,160,3
59,G Gambhir,160,3
60,JP Faulkner,160,3
61,KM Jadhav,160,3
62,MM Sharma,160,3
63,M Manhas,160,3
64,BR Dunk,160,3
65,S Rana,160,3
66,KW Richardson,160,3
67,YS Chahal,160,3
68,AP Tare,160,3
69,KW Richardson,140,2
70,Mohammed Shami,140,2
71,WD Parnell,140,2
72,MK Tiwary,140,2
73,KK Cooper,140,2
74,Y Venugopal Rao,140,2
75,BJ Hodge,140,2
76,SE Marsh,140,2
77,CA Lynn,140,2
78,LMP Simmons,140,2
79,BCJ Cutting,140,2
80,JP Duminy,140,2
81,Q de Kock,140,2
82,Shakib Al Hasan,140,2
83,JO Holder,140,2
84,JA Morkel,140,2
85,KP Pietersen,140,2
86,LRPL Taylor,140,2
87,UT Yadav,140,2
88,P Kumar,140,2
89,RN ten Doeschate,140,2
90,IK Pathan,140,2
91,TG Southee,140,2
92,JH Kallis,140,2
93,DS Kulkarni,140,2
94,R Ashwin,140,2
95,CH Gayle,140,2
96,P Negi,120,1
97,DJ Hussey,120,1
98,KV Sharma,120,1
99,NJ Maddinson,120,1
100,Shivam Sharma,120,1
101,S Nadeem,120,1
102,LR Shukla,120,1
103,JO Holder,120,1
104,M Kartik,120,1
105,MS Bisla,120,1
106,MA Agarwal,120,1
107,DH Yagnik,120,1
108,K Santokie,120,1
109,BE Hendricks,120,1
110,BW Hilfenhaus,120,1
111,AM Nayar,120,1
112,Karanveer Singh,120,1
113,UT Yadav,120,1
114,Parvez Rasool,120,1
115,TG Southee,120,1
116,R Vinay Kumar,120,1
117,Sandeep Sharma,120,1
118,Iqbal Abdulla,120,1
119,VS Malik,120,1
120,KK Cooper,120,1
121,Mandeep Singh,120,1
122,B Kumar,120,1
123,SL Malinga,100,0
124,M de Lange,100,0
125,A Nehra,100,0
126,Imran Tahir,100,0
127,DJ Bravo,100,0
128,S Kaul,100,0
129,A Mishra,100,0
130,P Suyal,100,0
131,R Rampaul,100,0
132,JDS Neesham,100,0
133,UBT Chand,100,0
134,AN Ahmed,100,0
135,P Awana,100,0
136,MC Henriques,100,0
137,L Balaji,100,0
138,JJ Bumrah,100,0
139,R Tewatia,100,0
140,VH Zol,100,0
141,VR Aaron,100,0
142,SB Jakati,100,0
143,CA Pujara,100,0
144,V Shankar,100,0
145,PV Tambe,100,0
146,HV Patel,100,0
147,M Muralitharan,100,0
148,S Anirudha,100,0
149,JD Unadkat,100,0
150,S Gopal,100,0
151,NM Coulter-Nile,100,0
152,Z Khan,100,0
153,R Sharma,100,0
154,JW Hastings,100,0
155,PP Ojha,100,0
156,RR Rossouw,100,0
157,AB Dinda,100,0
158,Ankit Sharma,100,0
159,S Badree,100,0
160,PJ Cummins,100,0
161,AD Russell,100,0
162,I Sharma,100,0
