,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
50,D Wiese,481,29,40,5,0,12,4,135.56
51,CH Morris,476,10,24,5,0,3,5,161.7
52,AN Ahmed,467,1,2,0,0,2,0,200.0
53,JP Faulkner,465,44,44,11,0,12,5,124.14
54,A Ashish Reddy,463,13,19,6,0,3,5,158.7
55,VR Aaron,460,2,0,0,0,0,1,200.0
56,UT Yadav,460,7,3,0,0,5,1,181.25
57,SE Marsh,454,25,20,6,1,10,3,143.08
58,KD Karthik,450,52,41,8,0,15,4,117.5
59,SS Tiwary,449,32,32,4,1,9,5,131.33
60,RS Bopara,442,38,59,10,2,6,6,119.83
61,R Ashwin,424,9,14,4,0,6,1,152.94
62,CJ Anderson,419,52,24,5,0,11,6,116.33
63,B Kumar,415,5,1,1,0,2,1,170.0
64,NV Ojha,411,55,45,10,0,12,4,108.73
65,KV Sharma,407,28,44,6,0,3,6,119.54
66,J Suchith,399,12,10,5,0,4,2,145.45
67,UBT Chand,399,41,28,5,0,13,2,114.61
68,KL Rahul,399,54,53,12,1,8,5,106.77
69,JA Morkel,398,26,28,5,0,9,2,122.86
70,RN ten Doeschate,397,15,19,4,0,4,3,135.56
71,MM Sharma,396,6,6,3,0,1,2,155.56
72,V Sehwag,396,41,33,0,0,12,3,111.24
73,DW Steyn,385,3,6,1,0,3,0,153.85
74,RA Jadeja,378,44,63,10,1,7,3,103.13
75,TG Southee,352,1,5,2,0,1,0,144.44
76,RR Rossouw,348,5,2,1,0,1,1,140.0
77,STR Binny,345,24,34,3,0,7,1,107.25
78,HV Patel,343,7,3,2,0,0,2,135.71
79,MS Bisla,343,18,4,0,1,6,1,123.33
80,MEK Hussey,341,30,32,2,1,5,3,105.48
81,PP Chawla,332,22,18,2,0,5,2,110.2
82,M Vohra,323,45,23,5,1,4,5,98.8
83,M Morkel,319,0,2,1,0,0,0,133.33
84,Shakib Al Hasan,314,14,10,3,0,5,0,112.5
85,GH Vihari,312,16,13,1,0,6,0,108.33
86,MK Tiwary,311,30,19,0,0,8,1,98.28
87,R Dhawan,307,15,12,2,0,2,2,109.09
88,SA Abbott,297,7,3,1,0,1,1,115.38
89,KS Williamson,294,8,17,2,0,1,1,106.9
90,Ankit Sharma,292,2,3,0,0,1,0,116.67
91,SN Thakur,292,2,3,0,0,1,0,116.67
92,GB Hogg,289,0,5,1,0,0,0,116.67
93,Iqbal Abdulla,274,12,4,0,0,4,0,100.0
94,NM Coulter-Nile,271,12,4,1,0,2,1,100.0
95,Gurkeerat Singh,253,20,17,0,0,3,1,85.37
96,Parvez Rasool,252,0,2,0,0,0,0,100.0
97,RG More,252,0,2,0,0,0,0,100.0
98,YS Chahal,251,0,1,0,0,0,0,100.0
99,J Theron,251,0,1,0,0,0,0,100.0
100,S Gopal,251,0,1,0,0,0,0,100.0
101,MG Johnson,233,18,15,3,0,1,1,81.58
102,NLTC Perera,220,8,6,0,0,0,1,80.0
103,Imran Tahir,218,2,3,1,0,0,0,83.33
104,MA Starc,216,6,7,0,0,1,0,78.57
105,AP Tare,214,8,8,1,0,1,0,77.78
106,CM Gautam,211,2,2,1,0,0,0,80.0
107,AJ Finch,204,23,5,1,0,4,0,69.7
108,Azhar Mahmood,203,6,0,1,0,1,0,75.0
109,DJG Sammy,202,5,13,0,0,0,0,72.22
110,P Kumar,194,12,11,1,0,1,0,68.0
111,Karanveer Singh,192,9,5,1,0,1,0,68.75
112,Sandeep Sharma,183,8,5,0,0,1,0,64.29
113,A Mishra,174,6,6,1,0,0,0,61.54
114,Anureet Singh,172,18,12,0,0,0,1,58.06
115,PV Tambe,171,2,3,0,0,0,0,60.0
116,NJ Maddinson,166,6,0,0,0,1,0,57.14
117,SL Malinga,161,8,2,0,0,1,0,54.55
118,BE Hendricks,150,1,1,0,0,0,0,50.0
119,Bipul Sharma,150,1,1,0,0,0,0,50.0
120,DJ Muthuswami,115,2,1,0,0,0,0,33.33
121,DS Kulkarni,112,8,4,0,0,0,0,33.33
122,S Nadeem,104,5,2,0,0,0,0,28.57
123,A Nehra,73,6,1,0,0,0,0,14.29
124,S Aravind,49,1,0,0,0,0,0,0.0
125,SP Narine,49,1,0,0,0,0,0,0.0
126,R Bhatia,49,1,0,0,0,0,0,0.0
127,PJ Cummins,48,2,0,0,0,0,0,0.0
128,R Vinay Kumar,48,2,0,0,0,0,0,0.0
