,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,AB de Villiers,1151,101,97,22,0,60,22,169.87
1,DA Warner,1131,139,112,29,2,65,21,152.72
2,CH Gayle,1009,182,93,7,0,39,38,136.77
3,RG Sharma,975,108,146,23,0,41,21,142.18
4,BB McCullum,972,139,66,14,0,51,23,148.81
5,KA Pollard,942,96,97,21,0,28,28,155.19
6,AM Rahane,942,150,164,43,0,53,13,127.66
7,AD Russell,937,57,56,8,0,35,19,186.29
8,LMP Simmons,935,215,137,25,1,56,21,118.68
9,V Kohli,902,148,153,34,2,35,23,127.85
10,SS Iyer,839,166,115,17,0,41,21,121.94
11,JP Duminy,799,120,135,24,1,27,20,126.61
12,DR Smith,787,189,73,11,0,52,16,117.01
13,SR Watson,752,119,87,11,2,37,14,128.52
14,DA Miller,750,106,105,21,0,21,21,130.29
15,PA Patel,744,105,79,15,4,47,5,132.94
16,RV Uthappa,732,113,100,23,1,42,7,125.52
17,S Dhawan,722,121,108,10,3,45,6,120.48
18,MS Dhoni,721,127,114,24,0,27,17,120.39
19,SK Raina,718,139,113,19,1,31,16,117.24
20,AT Rayudu,713,61,87,13,0,18,16,144.1
21,F du Plessis,712,104,145,21,5,37,5,119.87
22,YK Pathan,700,92,97,12,1,29,12,128.4
23,SPD Smith,672,69,101,20,1,34,3,130.7
24,MC Henriques,665,71,93,20,0,19,13,132.87
25,G Gambhir,656,120,107,16,0,41,4,113.54
26,GJ Bailey,625,58,89,20,0,22,7,132.14
27,Mandeep Singh,574,35,35,9,0,17,6,153.92
28,Yuvraj Singh,572,97,74,11,0,23,10,115.35
29,MK Pandey,564,72,78,7,1,22,7,120.32
30,WP Saha,563,78,79,20,2,16,10,121.46
31,DJ Bravo,554,57,58,8,1,22,5,129.14
32,KM Jadhav,550,48,62,9,1,16,7,132.17
33,Q de Kock,548,31,24,1,0,18,4,156.41
34,DJ Hooda,547,35,33,14,0,6,11,152.53
35,HH Pandya,546,26,22,3,0,9,8,164.71
36,MA Agarwal,536,83,69,5,0,23,7,113.9
37,M Vijay,529,123,59,12,4,27,8,107.73
38,SA Yadav,526,42,45,8,0,12,8,136.52
39,SV Samson,523,69,57,13,3,16,8,122.89
40,J Botha,516,4,5,0,0,5,1,206.67
41,AR Patel,513,62,90,8,0,13,8,113.81
42,EJG Morgan,512,66,55,11,0,11,11,121.43
43,MJ McClenaghan,505,3,1,0,0,0,2,216.67
44,SN Khan,504,16,33,9,0,12,2,154.17
45,KK Nair,504,60,49,15,0,18,5,123.13
46,P Negi,501,26,27,8,1,10,5,150.65
47,Harbhajan Singh,499,41,17,5,0,9,9,144.44
48,AD Mathews,495,39,44,8,0,12,6,132.11
49,GJ Maxwell,487,55,32,7,0,13,8,126.96
