,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,DA Warner,100,0,54,100,154,54,145.39,100.0
1,AB de Villiers,95,0,78,95,173,78,164.09,100.0
2,V Kohli,89,0,59,89,148,59,135.97,7.42
3,RG Sharma,74,0,45,74,119,45,133.33,8.67
4,GJ Maxwell,61,0,47,61,108,47,157.73,9.97
5,RV Uthappa,74,0,80,74,154,80,131.24,100.0
6,B Kumar,23,100,38,123,61,138,145.24,7.25
7,YS Chahal,8,82,38,90,46,120,66.67,7.88
8,SL Malinga,6,68,14,74,20,82,53.33,6.91
9,R Ashwin,26,52,31,78,57,83,115.0,6.67
10,SP Narine,8,56,24,64,32,80,56.67,6.99
