,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,B Kumar,1724,156,159,34,2,53,2,8,23,7.29
1,YS Chahal,1492,100,140,17,1,33,2,15,21,7.99
2,DS Kulkarni,1324,130,95,20,0,41,0,11,18,7.4
3,SR Watson,1313,121,150,26,0,45,0,18,20,8.17
4,Mustafizur Rahman,1225,137,156,40,1,32,0,10,17,6.84
5,MJ McClenaghan,1065,128,122,16,2,47,1,16,17,8.13
6,Sandeep Sharma,1024,127,109,25,1,35,0,12,15,7.29
7,AD Russell,979,90,77,13,2,29,2,11,15,8.09
8,A Zampa,930,32,56,5,0,4,1,5,12,6.84
9,DJ Bravo,925,93,156,41,1,40,1,16,17,8.66
10,JJ Bumrah,921,108,133,35,0,33,0,13,15,7.73
11,CH Morris,876,102,114,19,3,28,1,7,13,7.05
12,A Mishra,800,93,133,20,0,25,1,12,13,7.42
13,BB Sran,779,107,127,24,0,39,1,14,14,8.08
14,AB Dinda,709,84,53,22,0,29,1,3,11,7.38
15,S Aravind,708,65,85,2,0,23,1,6,11,7.35
16,AR Patel,689,91,131,28,2,25,0,17,13,8.06
17,SP Narine,685,109,96,18,1,26,1,11,11,7.14
18,MM Sharma,673,97,130,23,0,45,0,9,13,8.13
19,PP Chawla,650,81,83,20,3,16,1,12,11,7.58
20,MC Henriques,582,89,163,20,1,29,0,16,12,7.89
21,R Ashwin,577,93,138,12,2,22,1,10,10,6.95
22,A Nehra,516,72,53,5,1,23,0,7,9,7.55
23,Z Khan,514,111,91,20,1,40,1,7,10,7.56
24,CJ Jordan,498,49,83,16,0,23,1,9,11,8.84
25,M Morkel,468,89,75,12,0,32,0,12,10,8.21
26,TG Southee,416,99,102,24,3,33,0,7,9,7.5
27,UT Yadav,392,46,70,15,0,23,0,9,10,9.08
28,MR Marsh,388,28,19,4,0,3,0,1,4,4.95
29,P Kumar,356,132,104,23,2,47,2,9,9,7.68
30,DR Smith,354,40,47,6,0,12,1,7,8,8.32
31,Harbhajan Singh,277,83,154,18,0,29,0,16,9,8.04
32,RA Jadeja,272,71,121,24,1,16,0,14,8,7.79
33,MP Stoinis,261,39,65,7,0,25,0,4,8,8.75
34,CR Brathwaite,231,41,68,11,1,16,1,5,7,8.17
35,BCJ Cutting,229,23,32,4,0,7,0,2,5,7.14
36,KW Richardson,223,34,26,5,1,10,1,9,8,9.72
37,N Rana,200,3,3,0,0,0,0,0,0,3.0
38,Kuldeep Yadav,190,28,27,7,0,5,1,6,6,8.36
39,R Bhatia,181,54,122,11,1,9,0,11,6,7.24
40,KH Pandya,176,53,102,16,1,15,1,6,6,7.39
41,M Ashwin,170,55,76,17,1,15,0,12,7,8.39
42,JW Hastings,156,22,13,2,0,5,0,0,2,5.29
43,NLTC Perera,153,56,81,18,1,35,0,11,9,9.76
44,Sachin Baby,125,5,4,0,0,1,0,0,2,5.71
45,S Kaushik,120,48,59,11,0,15,0,9,6,8.33
46,Iqbal Abdulla,71,35,84,12,0,18,0,6,6,8.47
47,R Vinay Kumar,61,25,21,2,0,7,0,2,3,6.99
48,YK Pathan,48,14,21,1,0,1,0,1,1,5.32
49,CH Gayle,36,21,37,2,0,3,0,2,2,6.19
50,Shakib Al Hasan,24,58,91,13,0,19,0,9,5,7.87
51,Imran Tahir,7,25,50,6,1,7,0,8,5,8.76
52,JD Unadkat,0,5,5,1,0,3,0,5,0,15.81
53,J Suchith,0,0,7,4,0,1,0,2,0,14.09
54,KA Pollard,0,4,18,4,0,5,0,6,0,13.44
55,JA Morkel,0,9,10,4,0,9,0,2,2,12.22
56,PJ Sangwan,0,9,5,3,0,5,0,3,0,11.95
57,A Ashish Reddy,0,5,12,0,0,4,0,2,1,11.43
58,D Wiese,0,6,11,2,0,7,0,1,0,11.4
59,V Kohli,0,1,5,1,0,0,0,1,0,10.83
60,AF Milne,0,7,11,0,0,4,1,2,1,10.73
61,KJ Abbott,0,28,35,9,0,25,1,4,2,10.71
62,KV Sharma,0,19,50,10,0,11,0,10,0,10.61
63,S Ladda,0,3,5,1,0,2,0,1,0,10.5
64,HV Patel,0,28,34,7,0,13,1,7,1,9.8
65,Mohammed Shami,0,39,71,10,0,27,1,8,5,9.69
66,Swapnil Singh,0,3,11,1,0,1,0,2,0,9.67
67,MG Johnson,0,21,26,4,0,17,0,1,2,9.56
68,R Sathish,0,8,21,3,0,2,0,4,1,9.52
69,T Shamsi,0,26,43,7,0,13,0,7,3,9.44
70,I Sharma,0,37,31,2,1,21,1,4,3,9.38
71,JP Faulkner,0,21,52,17,0,13,0,5,2,9.33
72,P Negi,0,11,28,4,0,9,0,2,1,9.33
73,TA Boult,0,11,7,0,0,8,0,0,1,9.29
74,Parvez Rasool,0,22,38,6,0,14,0,4,1,9.29
75,RP Singh,0,29,28,4,0,6,0,9,3,9.19
76,VR Aaron,0,48,66,9,2,20,1,9,2,8.98
77,SB Jakati,0,30,66,5,1,12,0,9,2,8.92
78,HH Pandya,0,29,50,8,1,11,0,7,3,8.91
79,KC Cariappa,0,35,43,7,2,6,0,11,3,8.9
80,GJ Maxwell,0,16,23,5,0,9,0,2,0,8.9
81,GB Hogg,0,31,39,9,0,13,1,5,4,8.89
82,PV Tambe,0,26,45,9,0,11,0,6,5,8.88
83,Bipul Sharma,0,21,45,4,0,7,0,7,3,8.79
84,P Sahu,0,24,58,8,0,12,0,5,3,8.69
85,AS Rajpoot,0,18,34,8,0,10,1,1,3,8.42
86,S Nadeem,0,31,37,6,2,9,0,6,2,8.41
87,Yuvraj Singh,0,7,22,5,0,2,0,2,0,8.39
88,SK Raina,0,15,33,2,1,8,0,2,0,8.32
89,DW Steyn,0,5,3,3,0,2,0,0,0,8.1
90,DL Chahar,0,13,12,2,0,5,0,1,0,7.92
91,SM Boland,0,14,18,4,0,6,0,1,2,7.89
92,NM Coulter-Nile,0,37,31,7,0,16,1,1,3,7.84
93,STR Binny,0,28,54,5,0,16,0,1,1,7.79
94,JO Holder,0,27,39,4,0,10,0,3,2,7.78
95,JP Duminy,0,12,19,6,0,6,0,0,2,7.75
96,R Dhawan,0,12,24,3,0,5,0,1,2,7.67
97,IK Pathan,0,18,17,6,0,5,0,2,0,7.63
98,C Munro,0,5,5,0,0,1,0,1,0,7.5
99,Gurkeerat Singh,0,7,14,2,1,1,0,1,2,7.38
100,Ankit Sharma,0,17,41,5,1,3,0,3,1,7.37
101,DJ Hooda,0,21,45,5,0,6,0,3,3,7.35
102,J Yadav,0,38,43,8,0,12,0,3,2,7.27
103,M Vijay,0,2,4,0,0,1,0,0,0,7.27
104,Anureet Singh,0,12,18,3,1,3,1,0,0,7.1
105,KS Williamson,0,2,3,0,0,1,0,0,0,7.0
106,S Gopal,0,4,11,2,0,1,0,0,0,6.33
