,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,SR Tendulkar,1058,184,178,36,2,86,3,126.38
1,SK Raina,1005,136,157,25,1,45,23,136.43
2,M Vijay,958,116,102,21,3,36,26,149.01
3,DPMD Jayawardene,942,111,115,19,0,55,12,142.63
4,JH Kallis,915,219,198,22,1,67,9,109.88
5,RV Uthappa,909,71,82,23,0,21,27,166.96
6,V Sehwag,891,91,66,9,0,47,14,156.83
7,SC Ganguly,853,216,131,20,0,58,15,112.05
8,YK Pathan,843,76,75,13,0,22,24,158.57
9,SS Tiwary,822,105,140,26,1,29,18,131.35
10,RG Sharma,810,108,128,24,0,36,14,130.32
11,KA Pollard,805,52,42,17,1,23,17,179.61
12,A Symonds,800,145,136,21,1,35,18,120.51
13,NV Ojha,799,130,98,6,3,42,15,128.23
14,KC Sangakkara,792,86,108,13,0,47,5,135.91
15,AT Rayudu,790,87,106,18,0,34,13,137.98
16,CH Gayle,765,82,63,5,1,30,16,148.22
17,AC Gilchrist,746,93,51,9,0,31,16,144.5
18,V Kohli,742,61,103,14,0,26,12,142.13
19,DA Warner,727,75,68,11,0,27,14,144.62
20,MJ Lumb,722,94,41,9,1,45,6,141.84
21,ML Hayden,708,153,76,13,0,37,16,117.29
22,IK Pathan,694,47,89,20,1,21,10,146.81
23,S Badrinath,691,120,126,18,0,41,5,114.84
24,MS Dhoni,669,66,95,20,0,26,8,133.49
25,KP Pietersen,654,50,62,14,2,23,8,148.43
26,Yuvraj Singh,628,90,71,10,0,21,14,125.73
27,SR Watson,626,41,39,10,0,18,9,158.12
28,R Dravid,626,75,80,11,0,34,3,126.11
29,TL Suman,625,107,102,19,1,23,12,116.29
30,JA Morkel,606,43,57,12,0,10,13,147.41
31,G Gambhir,605,81,83,21,4,32,2,124.22
32,KD Karthik,595,87,108,15,0,26,6,114.88
33,MK Tiwary,578,63,89,10,2,23,5,123.44
34,HH Gibbs,565,114,80,13,1,26,9,109.88
35,PD Collingwood,550,60,66,10,1,9,13,127.67
36,AD Mathews,541,78,74,18,1,18,8,118.27
37,Harbhajan Singh,533,24,19,4,0,12,5,164.06
38,MK Pandey,532,115,70,13,1,27,7,106.87
39,RS Bopara,529,87,91,12,5,25,3,111.21
40,MS Bisla,528,98,44,12,2,27,6,115.34
41,MC Henriques,507,1,1,1,0,2,0,220.0
42,AC Voges,496,44,61,18,2,15,3,126.57
43,SE Marsh,488,47,45,5,0,14,6,125.64
44,JP Duminy,468,48,61,7,0,13,5,117.16
45,S Dhawan,466,85,57,12,0,23,3,106.11
46,MD Mishra,463,75,42,8,0,18,6,111.41
47,RS Sodhi,457,1,0,0,0,1,0,200.0
48,Z Khan,454,5,2,2,0,3,1,184.62
49,AA Jhunjhunwala,450,70,69,13,0,16,4,106.4
50,FY Fazal,431,64,70,6,0,19,1,102.5
51,OA Shah,423,33,45,6,0,7,5,119.79
52,M Manhas,410,48,77,12,0,14,0,103.97
53,S Anirudha,406,7,6,2,0,2,2,157.89
54,CL White,405,11,14,2,0,3,3,145.45
55,CA Pujara,393,56,44,2,0,14,3,102.52
56,KM Jadhav,392,21,24,6,0,7,2,126.67
57,WP Saha,387,21,19,3,0,9,1,126.42
58,AP Dole,386,7,8,4,0,3,1,147.83
59,R Sathish,385,34,39,13,1,11,0,114.29
60,STR Binny,380,1,2,1,0,1,0,160.0
