,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,Sohail Tanvir,1922,121,95,15,0,27,0,7,22,6.24
1,SK Warne,1328,107,138,31,1,23,0,19,19,7.7
2,SR Watson,1272,158,110,15,1,54,0,6,17,6.91
3,S Sreesanth,1263,132,109,23,1,53,3,11,19,8.17
4,MS Gony,1157,154,131,24,3,43,0,16,17,7.41
5,MF Maharoof,1146,84,103,12,0,17,0,10,15,6.82
6,IK Pathan,1144,150,129,11,0,33,0,13,15,6.45
7,JA Morkel,1080,100,135,21,2,40,1,11,17,8.05
8,PP Chawla,1078,110,104,20,0,29,2,21,17,8.35
9,VY Mahesh,974,94,103,14,2,37,2,13,16,8.46
10,MM Patel,875,141,116,17,1,48,1,11,14,7.5
11,RP Singh,815,122,114,16,3,58,0,12,15,8.48
12,GD McGrath,815,153,112,11,1,41,1,10,12,6.72
13,A Mishra,811,42,62,7,0,4,0,8,11,6.9
14,Z Khan,773,100,84,13,1,51,2,7,14,8.58
15,Umar Gul,770,51,65,13,0,18,1,5,12,7.83
16,SM Pollock,761,130,93,15,2,31,0,9,11,6.62
17,DW Steyn,706,116,84,9,1,30,2,5,10,6.45
18,A Nehra,693,120,95,8,0,47,2,8,12,7.69
19,DS Kulkarni,681,77,73,7,2,27,1,6,11,7.54
20,SK Trivedi,680,102,122,26,1,32,0,17,13,8.14
21,DJ Bravo,632,66,71,14,0,20,0,10,11,7.94
22,M Muralitharan,632,127,172,32,1,22,1,14,11,6.79
23,CRD Fernando,611,49,49,8,1,15,0,6,10,7.74
24,PP Ojha,607,70,121,13,0,19,2,11,11,7.63
25,AB Dinda,592,116,80,7,0,39,2,1,9,6.57
26,L Balaji,507,60,93,13,0,30,0,9,11,8.59
27,P Kumar,506,109,98,13,1,37,1,16,11,8.26
28,Shahid Afridi,443,57,87,14,0,20,0,7,9,7.77
29,VRV Singh,424,94,119,23,3,46,0,10,11,8.51
30,AB Agarkar,401,66,67,6,0,21,0,8,8,7.54
31,SC Ganguly,356,46,56,5,0,9,0,5,6,6.57
32,M Ntini,313,99,66,8,1,31,0,8,7,7.28
33,TM Dilshan,300,3,3,0,0,0,0,0,1,3.0
34,YK Pathan,299,59,76,7,1,11,0,16,8,8.26
35,Shoaib Akhtar,238,23,12,3,0,6,0,2,5,7.3
36,DJ Thornely,223,19,20,0,0,5,0,0,3,5.56
37,Joginder Sharma,211,43,73,12,0,18,1,10,8,8.97
38,DR Smith,207,25,28,6,0,8,1,1,5,7.35
39,I Sharma,195,110,85,16,2,46,2,4,7,7.73
40,A Kumble,169,85,103,5,0,28,1,14,7,8.01
41,R Bhatia,130,48,55,8,0,12,0,11,6,8.33
42,Mohammad Asif,129,64,72,16,1,38,0,8,8,9.27
43,Harbhajan Singh,108,16,32,5,0,6,0,3,5,8.24
44,B Lee,102,44,33,4,0,15,1,2,4,7.24
45,R Vinay Kumar,91,59,46,11,0,17,1,7,5,7.85
46,RR Raje,50,28,47,8,1,16,0,2,5,8.35
47,WPUJC Vaas,41,41,34,4,0,20,0,4,5,8.54
48,LR Shukla,23,18,33,12,0,10,1,4,6,9.69
49,CL White,0,0,2,1,0,2,0,2,0,21.82
50,LPC Silva,0,0,3,0,0,0,0,3,0,21.0
51,CK Kapugedera,0,0,7,2,0,5,0,3,0,19.6
52,A Symonds,0,9,17,1,0,7,1,9,0,14.72
53,Abdur Razzak,0,5,3,1,0,2,2,1,0,13.18
54,K Goel,0,2,5,2,0,1,0,2,0,12.5
55,V Sehwag,0,18,26,3,0,9,0,11,3,12.07
56,VS Yeligati,0,6,16,0,0,7,1,2,0,11.73
57,WA Mota,0,3,10,3,0,2,0,2,1,11.25
58,B Geeves,0,15,15,1,0,17,0,1,1,11.23
59,P Amarnath,0,29,56,8,2,29,1,7,7,10.95
60,D Kalyankrishna,0,10,25,2,1,8,0,4,2,10.73
61,S Vidyut,0,5,4,1,0,1,0,2,1,10.48
62,MA Khote,0,5,14,5,0,4,0,2,2,10.4
63,Pankaj Singh,0,18,34,4,3,12,0,5,0,10.4
64,A Nel,0,7,5,1,0,3,0,2,1,10.33
65,DJ Hussey,0,24,30,7,0,9,0,9,2,10.23
66,Gagandeep Singh,0,25,28,11,0,14,0,6,3,10.14
67,JR Hopes,0,52,65,15,0,22,0,17,7,10.07
68,SD Chitnis,0,9,19,2,0,4,1,3,2,10.0
69,AA Noffke,0,6,12,2,0,2,1,2,1,10.0
70,RA Jadeja,0,6,3,0,0,3,0,1,0,10.0
71,AM Nayar,0,14,19,1,0,3,0,6,1,9.72
72,D Salunkhe,0,13,24,3,1,6,1,3,1,9.64
73,Y Venugopal Rao,0,22,37,11,0,15,0,3,2,9.51
74,DB Ravi Teja,0,3,7,0,0,0,0,2,1,9.5
75,SK Raina,0,4,12,1,0,1,0,2,1,9.38
76,Shoaib Malik,0,15,25,8,0,7,0,3,2,9.26
77,Yuvraj Singh,0,12,29,6,0,5,0,4,3,9.24
78,JH Kallis,0,55,100,10,1,35,1,9,4,9.17
79,M Kartik,0,31,36,3,0,12,0,7,3,9.1
80,JDP Oram,0,32,41,5,0,17,0,5,3,9.09
81,SB Joshi,0,18,24,2,0,6,0,5,1,9.01
82,DNT Zoysa,0,24,27,2,1,12,0,3,2,8.85
83,SB Bangar,0,55,55,10,1,24,1,7,4,8.74
84,PJ Sangwan,0,47,70,9,0,20,1,8,5,8.67
85,PM Sarvesh Kumar,0,11,12,1,0,7,0,0,1,8.24
86,B Akhil,0,34,48,7,0,10,0,6,2,7.98
87,DP Vijaykumar,0,63,55,11,2,23,0,5,4,7.79
88,ST Jayasuriya,0,36,65,9,0,11,0,6,4,7.73
