,bowler,bowlerpresumoverall2008,bowlerpresumoverall2009,bowlerpresumoverall2010,bowlerpresumoverall2011,bowlerpresumoverall2012,bowlerpresumoverall2013,bowlerpresumoverall2014,bowlerpresumoverall2015,bowlerpresumoverall2016
144,J Yadav,0,0,0,0,0,0,0,278,278
145,Pankaj Singh,0,0,0,0,275,275,275,275,275
146,FH Edwards,0,269,269,269,269,269,269,269,269
147,PC Valthaty,0,0,0,265,265,265,265,265,265
148,MP Stoinis,0,0,0,0,0,0,0,0,261
149,PD Collingwood,0,0,249,249,249,249,249,249,249
150,RS Bopara,0,80,80,80,80,80,80,245,245
151,Shoaib Akhtar,238,238,238,238,238,238,238,238,238
152,CR Brathwaite,0,0,0,0,0,0,0,0,231
153,BCJ Cutting,0,0,0,0,0,0,0,0,229
154,DJ Thornely,223,223,223,223,223,223,223,223,223
155,ST Jayasuriya,0,216,216,216,216,216,216,216,216
156,S Gopal,0,0,0,0,0,0,215,215,215
157,Joginder Sharma,211,211,211,211,211,211,211,211,211
158,TL Suman,0,207,207,207,207,207,207,207,207
159,N Rana,0,0,0,0,0,0,0,0,200
160,S Randiv,0,0,0,194,194,194,194,194,194
161,AN Ahmed,0,0,0,58,58,191,191,191,191
162,Kuldeep Yadav,0,0,0,0,0,0,0,0,190
163,ND Doshi,0,0,181,181,181,181,181,181,181
164,S Tyagi,0,179,179,179,179,179,179,179,179
165,KH Pandya,0,0,0,0,0,0,0,0,176
166,KMDN Kulasekara,0,0,0,0,174,174,174,174,174
167,AM Nayar,0,171,171,171,171,171,171,171,171
168,KP Pietersen,0,170,170,170,170,170,170,170,170
169,M Ashwin,0,0,0,0,0,0,0,0,170
170,JEC Franklin,0,0,0,0,170,170,170,170,170
171,SB Styris,0,166,166,166,166,166,166,166,166
172,Anand Rajan,0,0,0,0,0,163,163,163,163
173,JW Hastings,0,0,0,0,0,0,0,0,156
174,JE Taylor,0,0,0,153,153,153,153,153,153
175,AA Chavan,0,0,0,0,137,137,137,137,137
176,JR Hopes,0,0,0,136,136,136,136,136,136
177,RN ten Doeschate,0,0,0,0,0,0,0,134,134
178,KP Appanna,0,0,0,0,134,134,134,134,134
179,B Akhil,0,131,131,131,131,131,131,131,131
180,AG Murtaza,0,0,0,130,130,130,130,130,130
181,Mohammad Asif,129,129,129,129,129,129,129,129,129
182,Sachin Baby,0,0,0,0,0,0,0,0,125
183,S Kaushik,0,0,0,0,0,0,0,0,120
184,Mohammed Shami,0,0,0,0,0,0,102,102,102
185,AM Rahane,0,97,97,97,97,97,97,97,97
186,SM Harwood,0,91,91,91,91,91,91,91,91
187,VS Malik,0,0,0,0,0,86,86,86,86
188,RV Gomez,0,0,0,80,80,80,80,80,80
189,BE Hendricks,0,0,0,0,0,0,0,79,79
190,WA Mota,0,78,78,78,78,78,78,78,78
191,D du Preez,0,73,73,73,73,73,73,73,73
192,DJ Muthuswami,0,0,0,0,0,0,0,64,64
193,P Parameswaran,0,0,0,0,61,61,61,61,61
194,Jaskaran Singh,0,0,54,54,54,54,54,54,54
