,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,0,31,100,131,31,151.99,11.87
1,SK Raina,68,0,69,68,137,69,140.28,8.01
2,G Gambhir,64,0,38,64,102,38,127.2,100.0
3,RG Sharma,64,0,69,64,133,69,126.93,9.57
4,AB de Villiers,60,0,64,60,124,64,161.31,100.0
5,MS Dhoni,58,0,100,58,158,100,140.79,100.0
6,DJ Bravo,39,81,76,120,115,157,128.46,7.78
7,SP Narine,18,100,24,118,42,124,107.14,5.52
8,SL Malinga,14,79,31,93,45,110,86.49,6.7
9,DW Steyn,21,75,31,96,52,106,124.14,5.88
10,R Ashwin,17,47,38,64,55,85,81.54,6.63
