,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets
234,MA Khote,653,5,14,5,0,4,0,2,2
233,M Ntini,1042,99,66,8,1,31,0,8,7
232,R Sathish,597,30,71,15,0,18,0,10,3
231,MA Starc,3407,232,231,57,5,78,1,8,34
230,PC Valthaty,1037,44,73,12,1,15,1,7,7
229,GD McGrath,1487,153,112,11,1,41,1,10,12
228,SB Bangar,734,55,55,10,1,24,1,7,4
227,JE Taylor,981,48,39,15,0,11,0,9,6
226,I Malhotra,477,0,1,1,0,2,0,2,0
225,SMSM Senanayake,1262,73,89,9,2,17,0,5,9
224,S Sriram,453,2,7,1,0,4,0,4,0
223,Karanveer Singh,1441,64,90,20,1,19,0,19,12
222,AM Rahane,597,2,3,1,0,0,0,0,1
221,Shakib Al Hasan,4043,332,421,60,1,72,1,42,43
220,Gagandeep Singh,683,25,28,11,0,14,0,6,3
219,R Bhatia,5823,427,891,107,5,121,2,65,69
218,A Kumble,4285,374,430,64,3,73,4,35,45
217,DE Bollinger,3838,254,213,34,2,75,3,19,38
216,VS Malik,916,84,77,11,3,31,0,6,6
215,R Ninan,743,8,17,3,0,3,0,5,3
214,RR Raje,925,39,65,9,2,24,1,4,6
213,S Badree,609,47,41,6,0,11,1,6,2
212,B Geeves,524,15,15,1,0,17,0,1,1
211,SM Harwood,759,33,18,6,1,6,1,2,3
210,J Suchith,1201,70,115,23,2,28,0,15,10
209,UT Yadav,6140,596,684,113,11,261,3,59,74
208,MJ Clarke,650,22,34,3,0,5,0,2,2
207,BE Hendricks,1213,52,54,15,4,24,1,7,9
206,T Henderson,573,14,13,4,0,5,0,0,1
205,R Vinay Kumar,8411,749,817,177,10,290,5,92,101
204,M Morkel,6772,708,580,101,12,233,4,61,77
203,Ankit Sharma,1409,135,156,25,4,24,2,17,12
202,JH Kallis,5260,601,782,107,6,240,5,57,65
201,LRPL Taylor,476,0,10,1,0,0,0,2,0
200,WA Mota,826,24,32,10,0,4,0,5,4
199,Kamran Khan,1315,63,71,7,1,25,0,10,10
198,AD Russell,2911,228,253,39,4,93,2,32,31
197,A Mishra,10822,875,1092,194,4,168,3,129,124
196,R Sharma,3734,334,427,55,3,71,0,45,40
195,NLTC Perera,2796,227,288,55,3,114,0,28,31
194,SS Mundhe,598,4,2,0,0,1,0,0,1
193,JJ Bumrah,2362,240,284,63,0,88,0,36,26
192,P Amarnath,988,29,56,8,2,29,1,7,7
191,AA Chavan,1061,100,94,15,1,29,0,16,8
190,YS Chahal,5164,313,431,61,4,74,2,63,56
189,DJ Bravo,10561,669,936,169,5,230,1,99,122
188,LR Shukla,1651,109,124,35,1,40,1,16,15
187,DJ Hussey,901,86,152,28,1,31,0,25,8
186,LMP Simmons,568,2,10,2,0,2,0,2,1
185,PD Collingwood,923,24,51,8,0,4,0,3,5
184,Shivam Sharma,772,37,47,11,0,9,0,10,4
183,KC Cariappa,757,38,47,7,2,9,0,13,4
182,D Wiese,1770,79,137,18,2,44,0,9,16
181,RR Bose,481,5,0,2,0,5,0,0,0
180,A Zampa,1615,32,56,5,0,4,1,5,12
179,AA Noffke,565,6,12,2,0,2,1,2,1
178,S Sreesanth,3778,399,312,57,4,131,5,39,41
177,KP Pietersen,1036,54,94,11,1,10,1,9,7
176,M de Lange,868,39,45,5,1,21,1,4,5
175,CL White,522,8,24,3,0,5,0,6,1
174,I Sharma,4881,668,510,107,9,238,6,59,58
173,MC Henriques,3443,250,344,48,3,96,0,29,37
172,Shoaib Malik,628,15,25,8,0,7,0,3,2
171,DAJ Bracewell,778,10,10,1,0,2,0,2,3
170,AS Rajpoot,788,26,45,8,0,15,1,2,4
169,Sohail Tanvir,2546,121,95,15,0,27,0,7,22
168,L Balaji,6561,537,659,113,3,191,2,68,76
167,Harbhajan Singh,10182,966,1263,165,12,229,3,104,119
166,DP Nannes,2770,285,251,36,8,92,2,15,28
165,MB Parmar,471,4,9,0,0,6,0,0,0
164,T Shamsi,675,26,43,7,0,13,0,7,3
163,CH Gayle,1730,180,277,35,4,51,5,27,18
162,V Pratap Singh,1271,71,84,13,2,31,0,10,10
161,DNT Zoysa,624,24,27,2,1,12,0,3,2
160,Y Nagar,791,16,33,6,0,11,0,6,4
159,P Suyal,582,36,42,6,2,16,0,5,2
158,Mohammed Shami,1187,147,187,28,1,68,2,22,12
157,SN Thakur,566,5,7,2,0,4,0,2,1
156,RE van der Merwe,2233,148,223,38,2,27,0,17,21
155,SB Jakati,4111,333,489,84,7,95,2,59,47
154,FY Fazal,481,1,8,1,0,1,0,1,0
153,AA Kazi,481,2,7,2,0,1,0,1,0
152,Pankaj Singh,1239,111,108,17,5,52,1,17,11
151,S Nadeem,2725,338,500,65,6,71,1,46,31
150,AM Nayar,1146,69,113,22,0,22,0,13,9
149,Umar Gul,1553,51,65,13,0,18,1,5,12
148,Harmeet Singh,2654,201,234,45,0,69,3,22,27
147,TL Suman,945,43,76,15,0,8,0,10,6
146,Azhar Mahmood,2892,199,226,33,1,71,4,18,29
145,SK Raina,2128,259,444,40,5,66,0,38,24
144,GS Sandhu,523,9,18,10,0,9,0,2,1
143,Gurkeerat Singh,929,26,40,6,1,6,0,3,5
142,Y Venugopal Rao,821,59,101,18,1,30,0,13,6
141,MR Marsh,2192,112,144,18,0,39,0,14,20
140,GH Vihari,578,17,13,2,0,4,0,1,1
139,MK Tiwary,536,9,17,3,0,2,0,7,1
138,SS Sarkar,570,4,16,1,0,4,0,0,1
137,Yuvraj Singh,3211,256,429,73,4,56,0,39,35
136,WD Parnell,2710,241,220,38,1,84,6,11,27
135,R Rampaul,1911,130,87,19,2,26,0,14,16
134,BA Bhatt,1385,93,140,18,2,37,0,13,12
133,BW Hilfenhaus,2376,173,123,21,2,50,0,21,22
132,VR Aaron,2806,286,290,38,7,114,3,37,31
131,AM Salvi,1052,57,60,13,0,18,1,7,7
130,RS Bopara,1360,61,101,13,0,26,2,10,11
129,PP Ojha,7675,667,880,134,7,153,7,96,89
128,SB Styris,1105,83,94,12,0,19,0,14,8
127,A Uniyal,641,8,17,4,0,6,0,3,2
126,P Prasanth,485,3,0,0,0,0,0,3,0
125,K Upadhyay,439,20,22,1,1,9,0,3,0
124,CRD Fernando,1993,99,94,15,1,30,1,9,17
123,MM Sharma,6328,497,465,91,6,185,0,44,70
122,M Ashwin,1010,55,76,17,1,15,0,12,7
121,SR Watson,7056,700,670,118,5,247,1,55,81
120,AD Mathews,2383,221,372,59,0,97,2,25,27
119,PM Sarvesh Kumar,569,11,12,1,0,7,0,0,1
118,IC Pandey,1903,212,137,19,5,78,1,17,18
117,DS Kulkarni,6620,565,468,78,9,192,4,51,73
116,RP Singh,7834,744,661,127,8,263,1,69,90
115,AA Jhunjhunwala,497,27,35,10,0,10,1,5,1
114,M Kartik,2564,382,556,96,6,99,2,41,31
113,NJ Rimmington,489,9,4,2,0,3,0,0,0
112,Sandeep Sharma (1),1211,41,32,5,0,16,0,4,8
111,MJ McClenaghan,3402,246,240,30,3,86,1,31,35
110,RS Gavaskar,494,2,2,1,0,1,0,0,0
109,MG Neser,443,5,7,2,1,6,0,4,0
108,B Akhil,914,60,92,14,0,18,0,9,6
107,JD Ryder,1065,79,108,18,0,23,0,13,8
106,AP Dole,906,20,30,8,0,11,0,4,5
105,AJ Finch,546,13,19,4,0,4,0,4,1
104,S Kaul,860,68,87,19,0,31,1,9,6
103,A Nehra,8719,751,655,101,7,252,4,71,98
102,T Thushara,1193,57,57,11,0,14,1,4,8
101,SM Pollock,1423,130,93,15,2,31,0,9,11
100,Iqbal Abdulla,3555,325,411,49,4,85,1,34,38
99,Shami Ahmed,563,15,15,1,0,6,1,1,1
98,IK Pathan,6646,831,773,117,4,294,2,80,80
97,MN Samuels,1223,74,83,13,0,22,0,9,9
96,P Negi,1424,124,214,34,0,42,0,25,14
95,S Vidyut,583,5,4,1,0,1,0,2,1
94,A Ashish Reddy,1979,79,117,25,3,26,0,20,18
93,DJ Hooda,718,46,94,14,0,16,0,7,4
92,NL McCullum,475,10,15,2,0,1,0,2,0
91,Imran Tahir,2895,127,214,36,4,33,2,32,29
90,D Salunkhe,533,13,24,3,1,6,1,3,1
89,DP Vijaykumar,758,63,55,11,2,23,0,5,4
88,BJ Hodge,1965,75,111,19,0,18,1,14,17
87,KW Richardson,2074,124,120,22,1,35,1,23,19
86,V Kohli,581,52,148,28,0,24,1,11,4
85,SW Tait,2432,200,211,32,1,72,6,12,24
84,J Syed Mohammad,1061,47,97,21,1,18,0,12,8
83,Sandeep Sharma,4394,378,283,59,4,114,1,35,46
82,KK Cooper,3195,184,266,63,0,61,3,23,33
81,Sachin Baby,697,5,4,0,0,1,0,0,2
80,S Randiv,937,60,79,14,2,20,0,5,6
79,GB Hogg,2374,159,205,35,3,40,3,21,23
78,PJ Sangwan,2752,250,290,57,1,90,3,36,30
77,Shoaib Ahmed,879,33,43,5,1,14,0,7,5
76,RA Jadeja,6567,555,812,137,4,129,2,94,77
75,AN Ahmed,1319,120,151,22,1,45,3,18,12
74,JEC Franklin,1214,39,76,11,1,22,0,6,9
73,TA Boult,1304,82,69,13,1,36,0,6,10
72,Anureet Singh,1765,133,157,23,3,55,2,21,17
71,JM Kemp,757,15,22,3,0,6,0,1,3
70,P Awana,3654,293,279,56,2,107,2,34,39
69,SPD Smith,495,0,1,0,0,1,0,0,0
