,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,V Kohli,1640,184,291,56,2,84,38,148.55
1,DA Warner,1472,203,206,49,2,88,31,146.46
2,AB de Villiers,1378,112,182,26,1,57,37,165.54
3,RG Sharma,945,133,158,14,0,49,17,130.46
4,AM Rahane,882,140,161,20,3,54,9,124.03
5,Q de Kock,881,137,121,15,1,52,13,129.79
6,KL Rahul,864,92,113,17,2,37,16,143.32
7,G Gambhir,856,149,181,34,0,54,6,118.16
8,M Vijay,827,149,136,27,1,50,10,121.45
9,YK Pathan,814,74,121,15,0,33,13,141.02
10,S Dhawan,807,176,164,34,4,51,8,113.5
11,AJ Finch,799,125,113,17,0,45,11,126.37
12,RV Uthappa,798,107,119,18,2,45,8,130.1
13,DR Smith,791,96,71,7,1,35,16,143.36
14,SK Raina,780,111,140,20,1,39,10,124.3
15,BB McCullum,778,123,87,8,1,38,16,129.67
16,KH Pandya,771,38,39,13,2,22,13,186.61
17,KK Nair,698,118,119,21,0,40,6,117.43
18,SPD Smith,686,59,67,22,1,27,8,146.74
19,AT Rayudu,683,107,124,13,0,28,12,117.61
20,KD Karthik,677,95,110,26,1,38,3,122.71
21,CH Morris,671,36,39,12,0,15,12,171.05
22,CH Gayle,664,90,29,2,0,17,21,142.77
23,JC Buttler,646,72,69,14,0,23,11,134.92
24,MS Dhoni,644,82,85,20,1,18,14,129.09
25,Yuvraj Singh,619,84,58,6,0,22,13,128.96
26,MK Pandey,611,54,96,12,2,17,9,130.53
27,AD Russell,608,51,40,9,0,10,15,150.4
28,WP Saha,602,64,92,28,0,29,1,126.17
29,CR Brathwaite,601,17,7,2,0,6,8,207.5
30,SN Khan,581,9,8,3,0,7,4,212.9
31,KA Pollard,577,74,44,9,2,11,16,133.33
32,SV Samson,566,98,115,24,0,20,8,109.81
33,NLTC Perera,558,34,34,11,0,7,11,154.64
34,SR Watson,558,61,45,3,0,14,12,132.59
35,GJ Maxwell,546,48,43,16,0,14,8,138.76
36,RR Pant,541,59,57,13,1,19,6,127.74
37,F du Plessis,540,70,62,11,0,17,9,121.89
38,R Dhawan,533,0,2,3,0,0,1,233.33
39,Bipul Sharma,531,7,7,5,0,1,5,204.0
40,SA Yadav,518,53,64,8,0,18,5,122.97
41,HM Amla,515,49,45,4,0,20,4,128.69
42,BCJ Cutting,498,17,7,3,0,4,6,175.68
43,JP Duminy,496,39,83,19,0,13,3,121.66
44,Sachin Baby,488,26,31,11,0,9,5,145.12
45,MP Stoinis,483,38,42,14,0,13,4,131.53
46,MC Henriques,475,66,64,11,0,15,6,112.35
47,PA Patel,473,81,45,8,0,23,4,109.94
48,SS Tiwary,470,60,58,10,0,17,4,114.09
49,SE Marsh,466,45,62,9,1,13,4,118.66
50,M Vohra,462,63,36,14,1,19,3,118.38
51,AR Patel,461,30,31,8,0,4,8,137.04
52,N Rana,457,37,24,2,0,7,8,133.33
53,Gurkeerat Singh,452,27,41,5,0,11,3,129.89
54,DA Miller,445,48,59,17,0,11,4,115.83
55,STR Binny,443,17,11,4,0,5,4,153.66
56,UT Khawaja,441,43,38,6,1,14,3,120.95
57,DJ Hooda,435,44,56,11,0,9,5,115.2
58,R Bhatia,433,3,10,4,0,1,2,170.0
59,A Ashish Reddy,431,10,13,1,0,2,4,156.67
60,JA Morkel,430,3,4,0,0,0,2,177.78
61,RA Jadeja,429,77,78,15,1,14,4,101.06
62,B Kumar,418,10,9,2,0,6,1,153.57
63,DS Kulkarni,416,4,4,4,1,3,0,168.75
64,EJG Morgan,413,38,43,12,0,8,4,117.14
65,SW Billings,412,21,26,11,0,4,4,133.33
66,ER Dwivedi,407,7,4,0,0,2,2,160.0
67,MJ McClenaghan,395,10,8,0,0,2,3,147.83
68,KJ Abbott,388,3,2,1,1,0,1,162.5
69,TG Southee,387,6,8,3,0,1,2,150.0
70,JP Faulkner,385,15,27,11,0,7,0,128.33
71,Shakib Al Hasan,385,44,48,4,0,7,5,105.56
72,DJ Bravo,381,35,33,8,0,11,1,112.5
73,KS Williamson,374,48,61,2,1,14,0,98.41
74,Iqbal Abdulla,372,9,11,2,0,4,1,137.04
75,KP Pietersen,369,21,27,6,0,4,3,119.67
76,P Sahu,365,4,5,2,0,1,1,146.15
77,TM Head,364,14,16,7,0,3,2,128.57
78,UT Yadav,363,2,3,0,0,0,1,150.0
79,NV Ojha,355,66,51,12,1,7,5,95.77
80,KM Jadhav,351,11,14,4,0,2,2,127.27
81,Harbhajan Singh,348,47,26,5,0,11,2,101.1
82,MM Sharma,324,11,11,0,1,3,1,118.52
83,MJ Guptill,312,27,19,1,2,3,3,103.64
84,R Ashwin,307,14,17,3,0,3,1,107.89
85,D Wiese,304,0,3,1,0,0,0,125.0
86,KC Cariappa,302,3,7,0,0,0,1,118.18
87,Ishan Kishan,296,17,16,3,0,5,0,102.44
88,KV Sharma,295,16,10,4,0,3,1,105.88
89,JO Holder,293,11,4,2,0,2,1,110.0
90,GJ Bailey,293,55,31,1,1,9,2,84.85
91,MA Agarwal,289,13,9,0,0,3,1,103.85
92,PP Chawla,285,13,7,2,0,4,0,103.85
93,CA Lynn,283,9,7,6,0,0,1,108.7
94,Parvez Rasool,282,3,4,1,0,1,0,111.11
95,F Behardien,282,5,6,0,0,2,0,107.69
96,R Vinay Kumar,279,5,5,1,0,0,1,108.33
97,P Negi,278,31,23,4,0,2,3,90.48
98,R Sathish,272,10,10,2,0,1,1,100.0
99,C Munro,269,13,12,3,0,3,0,96.77
100,LMP Simmons,259,5,2,0,0,0,1,100.0
101,BB Sran,254,0,4,0,0,0,0,100.0
102,Ankit Sharma,251,1,1,1,0,0,0,100.0
103,KW Richardson,251,0,1,0,0,0,0,100.0
104,M Morkel,251,0,1,0,0,0,0,100.0
105,A Nehra,251,0,1,0,0,0,0,100.0
106,P Kumar,249,13,10,1,0,3,0,88.89
107,Sandeep Sharma,234,1,8,0,0,0,0,88.89
108,IK Pathan,213,4,9,1,0,0,0,78.57
109,AD Nath,206,13,10,3,0,1,0,74.07
110,HH Pandya,205,36,24,2,0,4,0,66.67
111,JJ Bumrah,201,6,4,0,0,1,0,72.73
112,CJ Jordan,200,2,1,1,0,0,0,75.0
113,NS Naik,197,16,13,3,0,1,0,69.7
114,Imran Tahir,196,5,1,0,0,1,0,71.43
115,SS Iyer,195,28,14,1,0,2,1,65.22
116,NM Coulter-Nile,183,8,5,0,0,1,0,64.29
117,MR Marsh,176,6,3,2,0,0,0,63.64
118,AP Tare,156,11,2,1,0,1,0,53.33
119,J Yadav,150,6,6,0,0,0,0,50.0
120,SB Jakati,150,1,1,0,0,0,0,50.0
121,PSP Handscomb,150,6,6,0,0,0,0,50.0
122,Mohammed Shami,150,2,2,0,0,0,0,50.0
123,DW Steyn,150,1,1,0,0,0,0,50.0
124,SP Narine,148,8,5,1,0,0,0,50.0
125,Z Khan,142,10,2,0,0,1,0,46.15
126,PV Tambe,119,15,3,0,0,1,0,36.84
127,MG Johnson,115,10,3,1,0,0,0,35.71
128,A Mishra,101,10,4,0,0,0,0,28.57
129,S Nadeem,87,4,1,0,0,0,0,20.0
130,S Gopal,63,14,2,0,0,0,0,12.5
131,Swapnil Singh,49,1,0,0,0,0,0,0.0
132,S Kaushik,49,1,0,0,0,0,0,0.0
133,M Ashwin,49,1,0,0,0,0,0,0.0
134,A Zampa,49,1,0,0,0,0,0,0.0
135,UBT Chand,45,5,0,0,0,0,0,0.0
