,fielder,overall,ratings
0,KD Karthik,380,14
1,AC Gilchrist,380,14
2,SK Raina,360,13
3,RV Uthappa,360,13
4,MS Dhoni,360,13
5,KC Sangakkara,360,13
6,M Vijay,360,13
7,A Symonds,320,11
8,RG Sharma,300,10
9,DA Warner,280,9
10,AB de Villiers,280,9
11,YK Pathan,280,9
12,AT Rayudu,280,9
13,KA Pollard,260,8
14,RP Singh,260,8
15,AA Jhunjhunwala,260,8
16,SC Ganguly,260,8
17,DPMD Jayawardene,260,8
18,ML Hayden,260,8
19,NV Ojha,240,7
20,M Manhas,240,7
21,A Mishra,240,7
22,MK Pandey,240,7
23,JH Kallis,240,7
24,HH Gibbs,220,6
25,R Dravid,220,6
26,JH Kallis,220,6
27,FY Fazal,220,6
28,WP Saha,220,6
29,PP Chawla,200,5
30,V Kohli,200,5
31,MV Boucher,200,5
32,EJG Morgan,200,5
33,DJ Bravo,200,5
34,B Sumanth,180,4
35,IK Pathan,180,4
36,Z Khan,180,4
37,TL Suman,180,4
38,G Gambhir,180,4
39,MS Bisla,180,4
40,SS Tiwary,180,4
41,Harbhajan Singh,180,4
42,MJ Lumb,180,4
43,CL White,180,4
44,PP Ojha,180,4
45,SL Malinga,180,4
46,JA Morkel,180,4
47,LRPL Taylor,180,4
48,TM Dilshan,180,4
49,S Dhawan,180,4
50,M Kartik,180,4
51,AC Voges,180,4
52,PP Chawla,180,4
53,R Sathish,180,4
54,MK Tiwary,180,4
55,AD Mathews,180,4
56,RJ Harris,180,4
57,DJ Hussey,180,4
58,S Anirudha,160,3
59,A Kumble,160,3
60,J Theron,160,3
61,PD Collingwood,160,3
62,KP Pietersen,160,3
63,BJ Hodge,160,3
64,SR Watson,160,3
65,Anirudh Singh,160,3
66,S Badrinath,160,3
67,Bipul Sharma,160,3
68,DW Steyn,160,3
69,JP Duminy,160,3
70,P Dogra,160,3
71,RJ Harris,160,3
72,SR Tendulkar,160,3
73,K Goel,160,3
74,R McLaren,160,3
75,M Muralitharan,160,3
76,R Vinay Kumar,160,3
77,AP Tare,160,3
78,AM Nayar,140,2
79,SB Jakati,140,2
80,AS Raut,140,2
81,SK Trivedi,140,2
82,CA Pujara,140,2
83,SK Warne,140,2
84,V Sehwag,140,2
85,VVS Laxman,140,2
86,S Tyagi,140,2
87,Yuvraj Singh,140,2
88,A Nehra,140,2
89,RS Sodhi,140,2
90,T Thushara,140,2
91,SW Tait,140,2
92,RS Bopara,140,2
93,JD Unadkat,140,2
94,B Lee,140,2
95,BB McCullum,140,2
96,UT Yadav,140,2
97,AP Dole,140,2
98,PA Patel,140,2
99,DE Bollinger,140,2
100,R Bhatia,140,2
101,S Narwal,140,2
102,R Ashwin,140,2
103,GC Smith,140,2
104,CH Gayle,140,2
105,M Kaif,140,2
106,MS Gony,120,1
107,MD Mishra,120,1
108,AA Bilakhia,120,1
109,AG Murtaza,120,1
110,CRD Fernando,120,1
111,KP Appanna,120,1
112,I Sharma,120,1
113,MR Marsh,120,1
114,PJ Sangwan,120,1
115,AB Dinda,120,1
116,KAJ Roach,120,1
117,P Kumar,120,1
118,LR Shukla,120,1
119,L Balaji,120,1
120,JM Kemp,120,1
121,ST Jayasuriya,120,1
122,SE Marsh,120,1
123,WPUJC Vaas,120,1
124,MM Patel,120,1
125,SJ Srivastava,120,1
126,MF Maharoof,120,1
127,MC Henriques,120,1
128,AB Agarkar,120,1
129,Iqbal Abdulla,120,1
130,Joginder Sharma,120,1
131,M Morkel,120,1
132,S Ladda,120,1
133,RR Powar,100,0
134,A Mithun,100,0
135,DP Nannes,100,0
136,DR Martyn,100,0
137,AJ Finch,100,0
138,AB Barath,100,0
139,BAW Mendis,100,0
140,CK Langeveldt,100,0
141,AG Paunikar,100,0
142,MB Parmar,100,0
143,AN Ahmed,100,0
144,RS Gavaskar,100,0
145,SB Wagh,100,0
146,Mandeep Singh,100,0
147,STR Binny,100,0
148,A Uniyal,100,0
149,VY Mahesh,100,0
150,Harmeet Singh,100,0
151,Pankaj Singh,100,0
152,L Ablish,100,0
153,DS Kulkarni,100,0
154,SP Goswami,100,0
155,Y Venugopal Rao,100,0
156,AB McDonald,100,0
157,KM Jadhav,100,0
158,SE Bond,100,0
159,VRV Singh,100,0
160,NLTC Perera,100,0
161,RE van der Merwe,100,0
162,AD Mascarenhas,100,0
163,S Sreesanth,100,0
164,GJ Bailey,100,0
165,OA Shah,100,0
166,C Madan,100,0
167,DL Vettori,100,0
168,C Ganapathy,100,0
169,R Sharma,100,0
170,Jaskaran Singh,100,0
171,VS Malik,100,0
172,B Akhil,100,0
173,MEK Hussey,100,0
174,ND Doshi,100,0
175,SA Asnodkar,100,0
176,Y Nagar,100,0
177,S Sriram,100,0
178,KB Arun Karthik,100,0
179,Kamran Khan,100,0
180,YA Abdulla,100,0
181,DR Smith,100,0
