,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,CH Gayle,1425,189,162,15,1,46,59,155.3
1,G Gambhir,1091,149,167,31,1,64,17,137.53
2,V Sehwag,1073,107,115,19,0,57,19,156.15
3,AM Rahane,1019,175,172,18,0,73,10,125.0
4,S Dhawan,1012,172,176,19,5,58,18,127.01
5,CL White,984,96,145,25,0,41,20,146.48
6,SK Raina,859,125,130,22,3,36,19,131.64
7,J Syed Mohammad,858,0,0,0,0,1,0,400.0
8,RG Sharma,840,139,139,15,0,39,18,123.71
9,Mandeep Singh,808,143,116,28,2,53,7,123.78
10,AB de Villiers,796,59,85,14,4,26,15,157.14
11,F du Plessis,784,111,129,21,3,29,17,128.39
12,R Dravid,778,198,135,23,0,63,4,108.04
13,DJ Hussey,773,113,128,27,0,28,17,126.52
14,DJ Bravo,766,94,104,32,1,20,20,136.9
15,KP Pietersen,762,81,78,8,1,22,20,145.24
16,SPD Smith,760,75,137,21,1,24,14,133.09
17,DA Warner,731,74,32,11,2,28,14,159.01
18,SR Watson,715,70,55,6,0,26,14,149.12
19,RV Uthappa,715,147,132,29,1,38,10,113.45
20,OA Shah,703,106,100,21,2,24,16,126.39
21,M Vijay,700,126,77,20,1,39,10,123.08
22,AT Rayudu,695,86,116,23,1,21,14,127.59
23,JH Kallis,691,154,178,16,1,34,10,104.07
24,MS Dhoni,690,88,122,37,1,26,9,126.15
25,SE Marsh,675,121,107,13,0,39,7,115.33
26,V Kohli,670,136,137,16,1,33,10,109.31
27,BA Bhatt,661,1,0,0,0,0,1,300.0
28,MA Agarwal,634,76,49,5,0,19,15,137.2
29,DPMD Jayawardene,632,124,120,19,1,39,3,109.48
30,SR Tendulkar,622,130,106,16,2,39,4,109.09
31,BJ Hodge,615,56,77,18,2,18,9,136.11
32,KA Pollard,609,66,60,8,0,15,14,134.97
33,JD Ryder,588,82,91,11,1,23,8,118.52
34,JP Duminy,583,62,92,17,0,13,11,125.13
35,DR Smith,582,40,31,6,0,18,7,153.92
36,TM Dilshan,558,130,90,15,1,33,5,104.01
37,NV Ojha,557,117,67,10,2,21,13,110.87
38,MEK Hussey,557,117,78,7,3,28,8,108.3
39,BB McCullum,554,138,96,12,1,37,3,100.7
40,MS Bisla,552,70,61,14,0,16,10,124.56
41,Azhar Mahmood,539,56,56,9,0,16,8,128.28
42,KD Karthik,536,91,82,12,0,30,2,109.68
43,RA Jadeja,530,56,65,10,0,13,9,124.84
44,IK Pathan,527,42,58,13,0,14,6,132.33
45,B Lee,517,6,8,1,0,2,4,200.0
46,S Anirudha,504,3,3,0,0,1,2,211.11
47,Harmeet Singh,502,2,1,1,0,3,0,214.29
48,MK Tiwary,498,93,115,16,2,21,3,102.0
49,SC Ganguly,498,140,104,10,0,30,4,93.06
50,Gurkeerat Singh,494,17,20,3,0,12,2,159.26
51,PA Patel,491,65,66,10,1,19,4,114.55
52,KK Cooper,490,7,6,1,0,3,3,190.0
53,AC Gilchrist,490,66,48,8,0,21,4,117.01
54,AL Menaria,487,84,86,15,0,14,8,106.28
55,JA Morkel,481,21,27,12,0,5,6,150.7
56,KC Sangakkara,473,84,70,11,0,21,4,105.26
57,LRPL Taylor,471,67,79,10,1,12,7,109.09
58,SS Tiwary,468,63,79,14,0,9,8,110.4
59,DS Kulkarni,467,1,2,0,0,2,0,200.0
60,DB Das,467,35,38,8,0,9,6,131.25
61,AD Russell,465,7,11,3,0,3,3,174.07
62,S Badrinath,465,82,70,11,0,23,2,104.26
63,MK Pandey,460,48,42,6,0,12,6,121.05
64,Harbhajan Singh,458,34,28,3,0,14,3,131.71
65,YK Pathan,458,67,79,15,1,10,7,108.38
66,DT Christian,457,37,66,4,1,8,6,118.85
67,Bipul Sharma,454,12,22,4,0,6,3,153.19
68,JEC Franklin,453,100,96,11,0,15,7,96.07
69,DH Yagnik,446,5,3,1,0,5,0,178.57
70,Y Nagar,446,45,63,10,0,13,3,114.18
