,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,DA Warner,100,0,62,100,162,62,144.56,100.0
1,AB de Villiers,96,0,59,96,155,59,163.02,100.0
2,RV Uthappa,89,0,74,89,163,74,131.69,100.0
3,DR Smith,87,0,54,87,141,54,125.98,9.51
4,GJ Maxwell,80,0,46,80,126,46,163.47,10.41
5,SK Raina,80,0,79,80,159,79,130.19,7.36
6,DJ Bravo,53,60,51,113,104,111,131.82,8.13
7,SL Malinga,12,100,26,112,38,126,53.33,6.91
8,B Kumar,22,89,34,111,56,123,128.57,7.22
9,R Ashwin,31,59,31,90,62,90,118.29,6.55
10,SP Narine,8,60,26,68,34,86,62.5,6.92
