,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,RP Singh,1860,169,129,30,0,41,1,12,23,6.78
1,A Kumble,1790,138,160,31,2,18,1,8,21,5.94
2,A Nehra,1531,139,120,26,1,30,1,9,19,6.53
3,SL Malinga,1490,140,126,22,2,29,0,7,18,6.16
4,PP Ojha,1382,103,169,21,2,25,0,7,18,6.61
5,MM Patel,1334,108,61,15,2,23,0,7,16,6.42
6,M Muralitharan,1246,144,115,20,0,19,0,6,14,5.3
7,IK Pathan,1161,121,115,25,1,41,0,11,17,7.62
8,DP Nannes,1029,135,112,17,1,47,1,7,15,7.22
9,A Mishra,1007,98,108,28,2,13,0,13,14,6.91
10,PJ Sangwan,978,112,115,24,0,32,1,13,15,7.59
11,SK Warne,932,109,143,21,4,22,0,14,14,7.08
12,YA Abdulla,917,75,57,13,0,24,1,10,14,8.13
13,Harbhajan Singh,917,103,124,14,0,21,0,6,12,6.13
14,SB Jakati,862,61,71,19,0,14,0,10,13,7.73
15,PP Chawla,788,111,99,28,0,23,0,12,12,7.04
16,A Singh,784,56,29,10,1,9,0,2,9,5.71
17,RG Sharma,771,38,75,13,2,8,0,4,11,7.03
18,JA Morkel,770,99,80,23,2,35,2,8,13,7.99
19,I Sharma,768,130,78,18,3,33,1,6,11,6.65
20,P Kumar,748,121,113,24,4,36,0,14,13,7.71
21,L Balaji,710,70,101,18,1,27,0,12,13,8.4
22,R Bhatia,696,42,63,13,0,13,0,2,10,6.92
23,DJ Bravo,668,89,74,11,1,25,0,11,11,7.55
24,SK Raina,472,57,85,12,0,9,0,4,7,6.15
25,B Lee,444,69,44,7,0,11,1,1,5,5.11
26,A Symonds,435,65,53,11,1,9,0,8,7,6.67
27,CK Langeveldt,434,16,7,0,0,2,0,0,3,3.66
28,RE van der Merwe,428,53,113,20,2,11,0,10,9,7.62
29,R Vinay Kumar,367,65,77,23,0,27,0,7,9,8.25
30,YK Pathan,356,83,93,19,1,18,0,7,7,6.79
31,Kamran Khan,355,40,56,7,0,15,0,3,7,7.36
32,Z Khan,349,49,58,10,0,12,0,3,6,6.55
33,R Ashwin,347,11,12,1,0,0,0,0,2,3.5
34,RA Jadeja,336,42,74,16,0,11,0,1,6,6.5
35,AD Mascarenhas,332,58,30,9,1,13,0,5,6,6.93
36,Yuvraj Singh,300,48,41,16,3,9,0,4,6,7.06
37,JP Duminy,299,44,51,5,0,3,1,3,4,5.49
38,RR Powar,284,49,59,11,1,9,0,3,5,6.27
39,FH Edwards,269,70,49,9,0,19,1,2,5,6.4
40,DL Vettori,263,48,59,11,1,15,0,7,7,7.98
41,MF Maharoof,250,27,26,6,1,5,0,1,4,6.09
42,BJ Hodge,244,34,62,10,0,8,1,8,7,8.23
43,SK Trivedi,242,43,52,9,0,16,0,3,6,7.49
44,ST Jayasuriya,216,28,66,9,0,7,1,8,7,8.46
45,RJ Harris,214,84,61,14,2,23,0,8,6,7.34
46,TL Suman,207,31,42,9,0,3,0,6,5,7.15
47,S Tyagi,179,59,29,7,0,19,0,4,5,7.37
48,M Kartik,179,77,100,17,0,11,1,4,4,5.91
49,AM Nayar,171,27,34,8,0,7,0,1,4,6.72
50,KP Pietersen,170,26,41,6,0,3,1,3,4,6.67
51,SB Styris,166,21,16,2,0,8,0,2,5,7.9
52,S Sreesanth,152,62,43,12,1,18,0,9,6,8.13
53,J Botha,136,30,33,5,0,4,1,2,3,6.18
54,B Akhil,131,19,38,5,0,5,0,2,4,7.08
55,AM Rahane,97,2,3,1,0,0,0,0,1,5.0
56,JH Kallis,95,111,113,14,2,38,3,8,6,7.53
57,SM Harwood,91,33,18,6,1,6,1,2,3,6.67
