,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
58,RS Bopara,80,3,5,0,0,0,0,0,0,4.17
59,WA Mota,78,21,22,7,0,2,0,3,3,6.81
60,D du Preez,73,18,13,2,3,6,0,1,4,7.89
61,DS Kulkarni,63,65,55,9,1,23,1,6,5,7.92
62,LA Carseldine,53,4,2,0,0,1,0,0,1,5.45
63,JDP Oram,32,28,42,6,0,12,0,5,5,8.63
64,LR Shukla,28,38,30,7,0,10,0,3,3,7.08
65,JD Ryder,15,40,45,6,0,7,0,6,3,7.03
66,T Thushara,13,19,17,7,0,6,0,1,3,7.44
67,DW Steyn,11,27,22,3,0,4,0,3,2,6.53
68,AM Salvi,9,40,41,8,0,10,1,6,4,7.93
69,WPUJC Vaas,8,24,13,4,1,6,1,3,4,8.45
70,V Sehwag,0,1,2,0,0,0,1,3,0,22.73
71,AD Mathews,0,2,6,2,0,4,0,1,0,13.91
72,Mashrafe Mortaza,0,6,10,4,0,3,1,4,0,13.41
73,RR Bose,0,5,0,2,0,5,0,0,0,12.0
74,VY Mahesh,0,3,7,0,0,0,0,3,1,11.9
75,LRPL Taylor,0,0,5,1,0,0,0,1,0,11.82
76,RA Shaikh,0,1,3,0,0,2,0,0,0,11.0
77,MK Tiwary,0,0,5,0,0,0,0,1,0,11.0
78,Jaskaran Singh,0,8,2,4,0,4,0,1,0,10.32
79,RR Raje,0,11,18,1,1,8,1,2,1,10.29
80,MS Gony,0,36,38,5,1,20,0,7,5,9.89
81,A Mithun,0,7,12,3,0,3,0,2,0,9.77
82,SR Tendulkar,0,4,23,3,0,6,0,1,0,9.67
83,A Flintoff,0,20,28,4,0,7,0,7,2,9.64
84,Y Nagar,0,3,8,0,0,0,0,2,2,9.52
85,AS Raut,0,4,13,3,0,3,0,1,0,9.25
86,VRV Singh,0,16,21,6,0,8,0,3,1,9.22
87,DR Smith,0,26,36,6,0,11,0,6,1,9.08
88,Shoaib Ahmed,0,33,43,5,1,14,0,7,5,9.01
89,Pankaj Singh,0,12,19,7,0,5,0,2,2,8.9
90,AB Agarkar,0,65,78,14,0,32,1,9,6,8.85
91,Anureet Singh,0,16,9,2,0,4,0,3,2,8.7
92,MC Henriques,0,24,29,7,0,16,0,0,2,8.63
93,Harmeet Singh,0,46,58,12,0,20,0,6,3,8.46
94,SS Sarkar,0,4,16,1,0,4,0,0,1,8.29
95,DJ Hussey,0,7,10,5,0,2,0,1,0,8.29
96,VS Malik,0,28,26,6,2,8,0,4,2,8.2
97,SC Ganguly,0,17,39,7,1,6,0,3,2,8.1
98,Y Venugopal Rao,0,27,48,3,1,6,0,7,4,8.09
99,Joginder Sharma,0,9,27,1,0,4,0,2,2,8.03
100,BAW Mendis,0,26,54,10,0,5,0,7,3,8.0
101,AB Dinda,0,67,45,9,2,18,0,9,4,7.8
102,K Goel,0,16,21,3,1,8,0,0,0,7.65
103,KP Appanna,0,18,38,6,1,8,0,1,2,7.58
104,CH Gayle,0,32,63,10,2,7,1,4,1,7.49
105,AB McDonald,0,2,12,3,0,1,0,0,0,7.33
106,V Kohli,0,10,20,6,0,2,0,1,0,7.3
107,C Nanda,0,13,26,8,0,1,0,2,2,7.07
108,GR Napier,0,8,12,1,0,2,0,1,1,7.0
109,T Henderson,0,14,13,4,0,5,0,0,1,6.83
110,TM Dilshan,0,33,50,3,1,7,0,2,0,6.19
111,M Morkel,0,20,18,2,0,3,0,1,0,5.56
