,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,SP Narine,1661,157,152,38,2,30,0,13,21,6.63
1,B Kumar,1622,152,107,15,3,42,0,8,20,6.67
2,MM Sharma,1614,118,113,27,2,50,0,14,23,8.46
3,AR Patel,1300,157,180,19,1,36,1,9,17,6.32
4,SL Malinga,1292,99,96,18,0,23,0,6,16,6.47
5,RA Jadeja,1248,102,150,33,0,26,0,21,19,8.08
6,Sandeep Sharma,1226,109,73,18,1,39,1,13,18,8.32
7,VR Aaron,1096,90,92,15,1,28,0,12,16,7.84
8,MG Johnson,1086,135,115,28,2,43,1,16,17,7.98
9,R Ashwin,1076,130,180,25,2,21,0,21,16,7.07
10,Harbhajan Singh,1021,138,133,25,2,26,0,12,14,6.52
11,PV Tambe,1000,89,156,23,0,26,1,9,15,7.24
12,KV Sharma,951,114,129,16,2,25,0,21,15,7.69
13,PP Chawla,903,79,104,22,0,21,0,12,14,7.72
14,MA Starc,865,127,123,37,2,45,0,6,14,7.43
15,R Dhawan,750,85,148,21,1,26,2,11,13,7.61
16,M Morkel,727,148,75,23,4,43,1,11,12,7.45
17,R Bhatia,722,56,131,21,0,15,0,9,12,7.47
18,YS Chahal,722,115,158,23,1,17,0,19,12,7.03
19,Shakib Al Hasan,710,113,141,20,0,20,0,13,11,6.63
20,Karanveer Singh,697,42,58,8,0,9,0,9,11,7.81
21,L Balaji,622,72,80,18,0,29,0,11,12,8.51
22,DW Steyn,530,145,110,24,1,46,0,16,11,7.74
23,UT Yadav,504,95,114,20,5,41,0,8,11,8.09
24,KW Richardson,493,62,67,12,0,19,0,7,9,7.6
25,Imran Tahir,443,38,61,12,1,13,0,6,9,8.19
26,JD Unadkat,392,59,80,13,1,23,1,12,10,8.88
27,Ankit Sharma,328,22,19,3,1,1,0,2,4,5.5
28,SR Watson,326,57,48,2,1,21,0,5,7,7.61
29,A Nehra,251,30,39,2,0,16,0,6,8,9.35
30,JP Faulkner,250,72,121,27,3,32,1,22,11,9.72
31,S Nadeem,249,66,117,18,4,15,1,14,8,8.03
32,BW Hilfenhaus,238,70,55,12,0,26,0,12,8,8.76
33,Z Khan,221,56,54,9,0,15,0,4,5,6.78
34,S Gopal,215,30,32,10,1,7,0,5,6,8.01
35,WD Parnell,198,82,62,10,1,30,0,5,6,7.48
36,DS Kulkarni,151,70,63,9,1,19,0,11,6,7.93
37,Mohammed Shami,102,102,109,17,1,38,1,13,7,8.19
38,IC Pandey,98,112,78,10,5,41,0,9,6,7.83
39,P Kumar,82,33,25,5,0,7,0,3,3,6.69
40,R Vinay Kumar,48,56,78,21,1,28,1,9,7,9.13
41,JA Morkel,43,40,36,5,0,19,1,0,4,7.7
42,NM Coulter-Nile,42,12,10,0,0,3,1,0,2,6.43
43,JJ Bumrah,36,92,97,17,0,32,0,8,5,7.49
44,STR Binny,31,18,24,4,1,6,0,1,3,7.22
45,A Mishra,29,66,104,22,0,17,0,21,7,8.95
46,Yuvraj Singh,19,33,79,9,0,10,0,9,5,8.23
47,R Tewatia,13,21,27,1,0,3,0,3,2,6.48
48,V Shankar,0,1,1,1,0,1,0,2,0,19.0
49,MK Tiwary,0,3,4,1,0,1,0,3,0,14.0
50,M Vijay,0,2,1,0,0,3,0,0,0,13.0
51,DJ Hussey,0,5,4,4,0,2,0,3,2,12.67
52,SB Jakati,0,4,11,2,0,2,0,3,0,12.06
53,GJ Maxwell,0,14,31,8,0,8,0,9,1,11.67
54,LMP Simmons,0,2,10,2,0,2,0,2,1,11.33
55,M Kartik,0,10,18,9,1,7,0,4,1,11.23
56,R Shukla,0,18,19,6,0,8,0,7,2,11.17
57,DJG Sammy,0,20,37,8,0,16,0,7,3,11.04
58,K Santokie,0,15,17,7,0,6,0,6,3,10.96
59,R Sharma,0,9,15,4,0,3,0,5,1,10.83
60,P Negi,0,8,20,6,0,5,0,4,0,10.7
61,P Suyal,0,8,7,0,0,4,0,2,1,10.61
62,AD Russell,0,6,14,4,0,5,0,2,1,10.59
63,BE Hendricks,0,25,22,9,2,10,1,6,4,10.33
64,JDS Neesham,0,14,26,3,0,10,0,4,1,10.32
65,HV Patel,0,22,27,5,0,10,1,6,4,10.26
66,P Awana,0,48,48,10,0,29,2,9,7,10.25
67,S Kaul,0,24,28,11,0,14,0,5,2,10.15
68,KA Pollard,0,33,75,19,0,23,0,10,2,10.04
69,YK Pathan,0,1,2,2,0,1,0,0,0,10.0
70,CJ Anderson,0,35,42,6,0,26,0,5,4,9.89
71,DR Smith,0,15,29,5,0,9,0,4,4,9.71
