,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
72,LR Shukla,0,22,18,5,0,9,0,4,1,9.36
73,JW Hastings,0,9,3,1,0,6,0,0,1,9.35
74,VS Malik,0,7,7,0,0,4,0,1,1,9.35
75,MC Henriques,0,20,26,2,0,12,0,3,4,9.32
76,JO Holder,0,6,7,3,0,1,1,1,1,9.03
77,I Sharma,0,26,21,8,0,7,0,6,3,9.02
78,Parvez Rasool,0,14,31,2,0,3,0,6,1,9.02
79,Iqbal Abdulla,0,2,6,2,0,2,0,0,0,9.0
80,IK Pathan,0,41,71,6,0,15,0,11,4,8.71
81,JH Kallis,0,39,59,10,0,21,0,5,4,8.69
82,RG Sharma,0,4,10,1,0,2,0,1,1,8.67
83,AN Ahmed,0,25,43,6,1,11,0,3,3,8.28
84,AB Dinda,0,64,80,16,2,22,2,8,5,8.2
85,PP Ojha,0,100,117,18,2,21,2,22,4,8.19
86,KK Cooper,0,34,48,12,0,11,0,5,4,8.02
87,SA Yadav,0,2,2,1,0,1,0,0,0,8.0
88,S Rana,0,3,6,1,0,2,0,0,0,8.0
89,Y Venugopal Rao,0,3,6,1,0,2,0,0,0,8.0
90,M de Lange,0,7,13,2,0,4,0,0,2,7.86
91,BCJ Cutting,0,9,9,1,0,5,0,0,1,7.75
92,M Muralitharan,0,36,43,6,0,7,0,7,3,7.67
93,TG Southee,0,25,21,7,1,7,0,2,0,7.57
94,Shivam Sharma,0,34,43,7,0,4,0,8,3,7.56
95,SK Raina,0,34,56,2,3,9,0,5,1,7.46
96,PJ Cummins,0,12,7,1,0,2,0,2,1,7.25
97,S Badree,0,40,30,3,0,8,1,5,2,7.2
98,JP Duminy,0,60,109,12,0,14,1,8,3,7.12
99,RN ten Doeschate,0,13,11,2,0,2,0,2,1,7.0
100,R Rampaul,0,18,13,1,0,4,0,1,1,6.07
