,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,1,33,101,133,34,146.48,8.02
1,SK Raina,91,3,77,94,168,80,134.85,7.15
2,RG Sharma,83,4,67,87,150,71,126.96,8.06
3,V Kohli,80,0,68,80,148,68,123.32,8.63
4,AB de Villiers,79,0,80,79,159,80,144.99,100.0
5,MS Dhoni,77,0,95,77,172,95,136.81,100.0
6,SL Malinga,15,100,34,115,49,134,81.0,6.58
7,Harbhajan Singh,43,63,41,106,84,104,141.85,6.81
8,R Ashwin,21,58,34,79,55,92,91.35,6.44
9,SP Narine,7,51,9,58,16,60,90.91,6.14
10,DW Steyn,22,49,35,71,57,84,105.84,6.62
