,fielder,overall,ratings
238,B Akhil,180,4
239,BB Sran,180,4
240,L Ronchi,180,4
241,Ankit Sharma,180,4
242,AC Voges,180,4
243,CK Kapugedera,180,4
244,RR Raje,180,4
245,Shoaib Malik,180,4
246,SM Katich,180,4
247,J Theron,160,3
248,PD Collingwood,160,3
249,B Chipli,160,3
250,Karanveer Singh,160,3
251,S Sreesanth,160,3
252,PA Reddy,160,3
253,CJ Jordan,160,3
254,KMDN Kulasekara,160,3
255,Anirudh Singh,160,3
256,BMAJ Mendis,160,3
257,A Flintoff,160,3
258,AUK Pathan,160,3
259,PC Valthaty,160,3
260,Parvez Rasool,160,3
261,S Randiv,160,3
262,B Geeves,160,3
263,BE Hendricks,160,3
264,U Kaul,160,3
265,A Chopra,160,3
266,A Mukund,160,3
267,Harmeet Singh,160,3
268,M Ntini,160,3
269,VRV Singh,160,3
270,SB Styris,160,3
271,T Thushara,160,3
272,Imran Tahir,160,3
273,AN Ahmed,160,3
274,RR Pant,160,3
275,AA Chavan,160,3
276,BR Dunk,160,3
277,S Ladda,160,3
278,S Rana,160,3
279,BCJ Cutting,160,3
280,Yashpal Singh,160,3
281,VR Aaron,160,3
282,S Tyagi,160,3
283,AS Yadav,140,2
284,SMSM Senanayake,140,2
285,SD Chitnis,140,2
286,Pankaj Singh,140,2
287,SP Fleming,140,2
288,C Munro,140,2
289,Mustafizur Rahman,140,2
290,SM Pollock,140,2
291,CJ Ferguson,140,2
292,SJ Srivastava,140,2
293,SS Shaikh,140,2
294,Harpreet Singh,140,2
295,Salman Butt,140,2
296,P Amarnath,140,2
297,DJ Harris,140,2
298,KH Pandya,140,2
299,Y Gnaneswara Rao,140,2
300,VS Malik,140,2
301,DT Patil,140,2
302,IR Jaggi,140,2
303,KC Cariappa,140,2
304,AG Paunikar,140,2
305,S Sohal,140,2
306,RS Sodhi,140,2
307,Mohammad Hafeez,140,2
308,DAJ Bracewell,140,2
309,SB Wagh,140,2
310,RE Levi,140,2
311,AD Mascarenhas,140,2
312,D Salunkhe,140,2
313,J Yadav,140,2
314,RR Rossouw,140,2
315,A Chandila,140,2
316,AM Salvi,140,2
317,CRD Fernando,140,2
318,SM Harwood,140,2
319,GD McGrath,140,2
320,Mohammad Ashraful,140,2
321,RJ Quiney,140,2
322,ER Dwivedi,140,2
323,AP Dole,140,2
324,DJ Thornely,140,2
325,NS Naik,140,2
326,S Narwal,140,2
327,UT Khawaja,120,1
328,R Tewatia,120,1
329,P Suyal,120,1
330,MD Mishra,120,1
331,AA Bilakhia,120,1
332,AN Ghosh,120,1
333,A Singh,120,1
334,Mashrafe Mortaza,120,1
335,Younis Khan,120,1
336,AF Milne,120,1
337,NJ Maddinson,120,1
338,KAJ Roach,120,1
339,DL Chahar,120,1
340,D Kalyankrishna,120,1
341,Shivam Sharma,120,1
342,SN Khan,120,1
343,BAW Mendis,120,1
344,T Taibu,120,1
345,RG More,120,1
346,MJ McClenaghan,120,1
347,MJ Clarke,120,1
348,J Syed Mohammad,120,1
349,K Upadhyay,120,1
350,JM Kemp,120,1
351,R Ninan,120,1
352,RJ Peterson,120,1
353,AS Rajpoot,120,1
354,WPUJC Vaas,120,1
355,K Santokie,120,1
356,BW Hilfenhaus,120,1
357,Kuldeep Yadav,120,1
358,Sunny Singh,120,1
359,T Kohli,120,1
360,JJ Bumrah,120,1
361,UA Birla,120,1
362,RR Sarwan,120,1
363,PJ Cummins,120,1
364,NL McCullum,120,1
365,PV Tambe,120,1
366,S Vidyut,120,1
367,MN Samuels,120,1
368,Ishan Kishan,120,1
369,RR Bhatkal,120,1
370,S Kaul,120,1
371,F Behardien,120,1
372,Misbah-ul-Haq,120,1
373,R Bishnoi,120,1
374,Umar Gul,120,1
375,M de Lange,100,0
376,B Brainder Sran,100,0
377,RA Shaikh,100,0
378,MC Juneja,100,0
379,Swapnil Singh,100,0
380,CJ McKay,100,0
381,PSP Handscomb,100,0
382,DR Martyn,100,0
383,T Henderson,100,0
384,AP Majumdar,100,0
385,M Ashwin,100,0
386,TD Paine,100,0
387,AB Barath,100,0
388,KJ Abbott,100,0
389,GR Napier,100,0
390,CK Langeveldt,100,0
391,Gagandeep Singh,100,0
392,BJ Haddin,100,0
393,TM Head,100,0
394,T Shamsi,100,0
395,S Chanderpaul,100,0
396,JDS Neesham,100,0
397,N Rana,100,0
398,MB Parmar,100,0
399,SM Boland,100,0
400,RS Gavaskar,100,0
401,P Parameswaran,100,0
402,DJ Muthuswami,100,0
403,RW Price,100,0
404,TP Sudhindra,100,0
405,MP Stoinis,100,0
406,Shoaib Akhtar,100,0
407,Abdur Razzak,100,0
408,Sandeep Sharma (1),100,0
409,A Uniyal,100,0
410,VS Yeligati,100,0
411,M Klinger,100,0
412,GS Sandhu,100,0
413,L Ablish,100,0
414,NJ Rimmington,100,0
