,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,0,31,100,131,31,142.38,11.07
1,AB de Villiers,87,0,71,87,158,71,162.27,100.0
2,SK Raina,84,0,86,84,170,86,135.29,7.58
3,DA Warner,84,0,57,84,141,57,140.71,100.0
4,KA Pollard,71,20,68,91,139,88,143.07,8.55
5,MS Dhoni,73,0,100,73,173,100,135.98,100.0
6,DJ Bravo,51,82,74,133,125,156,129.42,7.87
7,SL Malinga,14,100,31,114,45,131,80.9,6.79
8,SP Narine,15,93,27,108,42,120,90.91,6.14
9,R Ashwin,25,59,39,84,64,98,102.04,6.6
10,DW Steyn,26,55,40,81,66,95,117.53,6.72
