,fielder,overall,ratings
0,KD Karthik,520,21
1,RA Jadeja,400,15
2,WP Saha,380,14
3,DJ Bravo,380,14
4,RA Jadeja,380,14
5,DJ Bravo,360,13
6,MS Dhoni,360,13
7,RV Uthappa,340,12
8,PA Patel,340,12
9,SV Samson,320,11
10,SK Raina,300,10
11,DR Smith,300,10
12,DR Smith,280,9
13,V Kohli,280,9
14,KA Pollard,280,9
15,F du Plessis,280,9
16,AB de Villiers,280,9
17,AT Rayudu,280,9
18,MK Pandey,260,8
19,JP Duminy,260,8
20,AR Patel,260,8
21,J Suchith,260,8
22,KM Jadhav,260,8
23,SPD Smith,260,8
24,DA Warner,260,8
25,NV Ojha,240,7
26,SA Yadav,240,7
27,MA Starc,240,7
28,J Suchith,240,7
29,LMP Simmons,240,7
30,DA Miller,240,7
31,Mandeep Singh,240,7
32,HH Pandya,240,7
33,RG Sharma,220,6
34,R Vinay Kumar,220,6
35,S Dhawan,220,6
36,STR Binny,220,6
37,NM Coulter-Nile,220,6
38,Anureet Singh,200,5
39,AD Russell,200,5
40,MM Sharma,200,5
41,B Kumar,200,5
42,NM Coulter-Nile,200,5
43,TG Southee,200,5
44,AD Mathews,200,5
45,EJG Morgan,200,5
46,P Negi,200,5
47,AM Rahane,200,5
48,YS Chahal,200,5
49,SS Tiwary,200,5
50,UT Yadav,200,5
51,AD Russell,180,4
52,JP Faulkner,180,4
53,G Gambhir,180,4
54,J Botha,180,4
55,M Vijay,180,4
56,D Wiese,180,4
57,YK Pathan,180,4
58,MM Sharma,180,4
59,YS Chahal,180,4
60,TA Boult,180,4
61,TG Southee,180,4
62,KV Sharma,180,4
63,P Negi,180,4
64,GH Vihari,160,3
65,UBT Chand,160,3
66,DS Kulkarni,160,3
67,R Ashwin,160,3
68,KK Nair,160,3
69,A Nehra,160,3
70,S Nadeem,160,3
71,SL Malinga,160,3
72,RN ten Doeschate,160,3
73,Imran Tahir,160,3
74,P Kumar,160,3
75,CH Morris,160,3
76,MA Agarwal,160,3
77,KS Williamson,140,2
78,KL Rahul,140,2
79,A Mishra,140,2
80,Sandeep Sharma,140,2
81,Ankit Sharma,140,2
82,MK Tiwary,140,2
83,DW Steyn,140,2
84,Harbhajan Singh,140,2
85,GJ Maxwell,140,2
86,DJ Hooda,140,2
87,Yuvraj Singh,140,2
88,GJ Bailey,140,2
89,HV Patel,140,2
90,A Ashish Reddy,140,2
91,RR Rossouw,140,2
92,SS Iyer,140,2
93,MS Bisla,140,2
94,SR Watson,140,2
95,BB McCullum,140,2
96,BE Hendricks,140,2
97,IC Pandey,140,2
98,M Vohra,140,2
99,M Morkel,140,2
100,Karanveer Singh,140,2
101,PP Chawla,140,2
102,J Yadav,120,1
103,R Tewatia,120,1
104,AB Dinda,120,1
105,CJ Anderson,120,1
106,CM Gautam,120,1
107,JA Morkel,120,1
108,DJG Sammy,120,1
109,SN Khan,120,1
110,Gurkeerat Singh,120,1
111,MEK Hussey,120,1
112,AP Tare,120,1
113,RG More,120,1
114,MJ McClenaghan,120,1
115,CH Gayle,120,1
116,RS Bopara,120,1
117,Shakib Al Hasan,120,1
118,MC Henriques,120,1
119,Iqbal Abdulla,120,1
120,PJ Cummins,120,1
121,VR Aaron,120,1
122,Bipul Sharma,120,1
123,M de Lange,100,0
124,B Brainder Sran,100,0
125,J Theron,100,0
126,P Suyal,100,0
127,AJ Finch,100,0
128,SP Narine,100,0
129,V Sehwag,100,0
130,R Dhawan,100,0
131,AN Ahmed,100,0
132,DJ Muthuswami,100,0
133,JJ Bumrah,100,0
134,SE Marsh,100,0
135,GS Sandhu,100,0
136,PV Tambe,100,0
137,KC Cariappa,100,0
138,MG Johnson,100,0
139,NLTC Perera,100,0
140,Shivam Sharma,100,0
141,Q de Kock,100,0
142,JD Unadkat,100,0
143,S Gopal,100,0
144,Z Khan,100,0
145,NJ Maddinson,100,0
146,R Bhatia,100,0
147,S Aravind,100,0
148,PP Ojha,100,0
149,SA Abbott,100,0
150,Parvez Rasool,100,0
151,GB Hogg,100,0
152,SN Thakur,100,0
153,Azhar Mahmood,100,0
154,I Sharma,100,0
