,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
113,JP Duminy,0,44,41,7,0,10,0,9,4,8.14
114,P Parameswaran,0,41,32,3,0,14,0,6,4,8.13
115,V Kohli,0,23,60,8,0,13,0,2,2,8.05
116,R Sathish,0,7,15,5,0,4,0,0,0,8.04
117,NLTC Perera,0,24,42,6,0,12,0,2,2,8.03
118,AS Raut,0,2,2,1,0,1,0,0,0,8.0
119,M Kartik,0,40,62,8,2,11,0,7,1,7.94
120,AL Menaria,0,30,41,6,0,14,0,2,2,7.91
121,DP Nannes,0,11,9,0,0,4,0,1,2,7.56
122,M Muralitharan,0,46,47,7,0,9,0,8,2,7.51
123,Y Gnaneswara Rao,0,3,1,1,0,1,0,0,0,7.0
124,VS Malik,0,3,8,0,0,0,0,1,0,7.0
125,NL McCullum,0,10,15,2,0,1,0,2,0,7.0
126,NJ Rimmington,0,9,4,2,0,3,0,0,0,6.67
127,VR Aaron,0,31,33,2,0,10,0,1,2,6.64
128,RN ten Doeschate,0,0,7,0,0,0,0,0,0,6.36
129,AA Chavan,0,17,7,1,0,4,0,1,0,6.2
130,AJ Finch,0,5,5,2,0,1,0,0,0,6.19
131,S Dhawan,0,5,6,0,0,0,0,1,1,6.0
132,M Manhas,0,15,21,2,1,2,0,1,0,6.0
133,S Rana,0,2,2,0,0,0,0,0,0,5.0
