,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,4,85,104,185,89,137.63,7.2
1,V Sehwag,94,0,58,94,152,58,150.75,10.26
2,CH Gayle,89,1,30,90,119,31,148.37,8.03
3,RG Sharma,87,5,76,92,163,81,127.05,7.88
4,YK Pathan,78,15,54,93,132,69,144.84,7.17
5,MS Dhoni,83,0,100,83,183,100,138.31,100.0
6,SL Malinga,13,100,30,113,43,130,84.27,6.47
7,A Mishra,25,72,33,97,58,105,93.31,7.11
8,DW Steyn,19,67,41,86,60,108,99.32,6.47
9,SP Narine,7,58,5,65,12,63,93.02,5.9
10,R Ashwin,15,61,30,76,45,91,79.31,6.53
