,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,V Sehwag,100,2,61,102,161,63,161.15,10.32
1,SK Raina,97,7,76,104,173,83,134.51,7.06
2,CH Gayle,87,3,27,90,114,30,155.3,7.93
3,RG Sharma,85,8,77,93,162,85,126.36,7.97
4,YK Pathan,79,23,53,102,132,76,144.95,7.11
5,AC Gilchrist,85,0,100,85,185,100,134.37,100.0
6,SL Malinga,14,100,32,114,46,132,96.97,6.26
7,A Mishra,27,75,36,102,63,111,98.41,7.06
8,MM Patel,12,70,36,82,48,106,97.5,7.31
9,R Ashwin,13,55,28,68,41,83,76.32,6.29
10,DW Steyn,15,63,36,78,51,99,84.34,6.35
