,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
47,RN ten Doeschate,473,26,31,5,0,9,5,140.79
48,AUK Pathan,471,10,1,0,0,5,2,183.33
49,Harbhajan Singh,465,33,21,5,0,9,6,139.19
50,LRPL Taylor,457,67,52,20,1,11,7,114.56
51,L Balaji,452,0,1,0,1,0,0,200.0
52,JEC Franklin,441,24,33,11,0,10,2,133.75
53,DJ Bravo,434,3,1,0,0,1,1,183.33
54,AM Rahane,429,34,43,7,1,12,2,121.21
55,MA Agarwal,429,62,41,6,0,16,4,109.3
56,EJG Morgan,425,61,34,7,1,17,3,111.38
57,M Morkel,422,8,8,4,0,3,2,160.0
58,IK Pathan,419,66,58,4,0,12,6,102.74
59,KA Pollard,414,67,50,6,0,12,6,103.55
60,OA Shah,412,4,8,1,0,1,2,162.5
61,I Malhotra,411,0,3,0,0,1,0,175.0
62,SS Tiwary,410,86,79,13,0,13,5,95.41
63,NV Ojha,404,101,42,4,0,11,11,94.67
64,BJ Haddin,403,5,2,1,0,2,1,163.64
65,A Mishra,399,19,20,3,0,9,1,130.77
66,TR Birt,394,27,15,6,0,9,2,127.12
67,Sunny Singh,387,12,11,1,0,6,1,138.71
68,TL Suman,380,29,13,1,0,5,5,122.64
69,Y Nagar,365,53,36,6,1,6,6,102.78
70,A Mithun,356,8,7,1,0,3,1,135.0
71,LA Pomersbach,355,17,13,5,0,4,2,124.39
72,A Symonds,355,61,60,9,1,9,3,94.41
73,DJ Jacobs,353,52,22,3,0,10,4,101.1
74,B Akhil,352,3,3,2,0,0,1,144.44
75,S Anirudha,349,33,31,5,0,6,3,106.41
76,LR Shukla,348,3,4,1,0,2,0,140.0
77,AN Ahmed,347,5,4,2,0,1,1,138.46
78,MD Mishra,342,24,23,6,0,5,2,111.67
79,Shakib Al Hasan,337,8,9,2,0,4,0,126.09
80,S Aravind,328,3,5,0,0,2,0,130.0
81,CL White,327,43,49,8,1,6,2,95.41
82,Bipul Sharma,324,3,9,5,0,1,0,127.78
83,STR Binny,324,10,14,3,1,2,1,119.35
84,Mandeep Singh,324,15,19,3,0,4,1,111.9
85,WP Saha,321,28,30,3,0,2,4,101.49
86,M Kaif,320,17,5,8,0,5,0,117.14
87,M Manhas,320,68,38,10,0,8,4,89.06
88,SJ Srivastava,319,0,2,1,0,0,0,133.33
89,Iqbal Abdulla,313,3,5,3,0,1,0,125.0
90,AS Raut,312,23,27,2,1,5,1,101.69
91,R Vinay Kumar,311,17,24,2,0,4,1,104.17
92,R McLaren,307,41,48,4,0,7,1,89.11
93,M Klinger,306,36,30,2,1,9,0,93.59
94,DJ Hussey,305,30,25,3,1,3,3,98.46
95,VVS Laxman,302,21,12,4,0,3,2,104.76
96,CA Pujara,300,11,16,1,0,4,0,106.25
97,J Syed Mohammad,299,4,7,0,0,2,0,115.38
98,MR Marsh,299,24,18,3,0,2,3,100.0
99,R Bhatia,297,7,13,0,0,3,0,108.7
100,S Rana,295,5,8,1,0,2,0,112.5
101,NL McCullum,294,8,9,4,1,0,1,113.04
102,AM Nayar,290,36,19,3,0,9,0,91.04
103,R Sharma,284,13,6,1,0,1,2,104.35
104,Y Gnaneswara Rao,282,9,5,1,0,3,0,105.56
105,AB McDonald,281,2,2,3,0,0,0,114.29
106,JJ van der Wath,280,8,6,1,0,1,1,105.88
107,AJ Finch,279,30,13,2,0,3,3,92.16
108,DW Steyn,272,15,14,5,0,3,0,97.3
109,FY Fazal,270,10,5,1,0,3,0,100.0
110,SP Goswami,267,18,7,1,0,5,0,93.55
111,MS Bisla,266,45,34,3,0,8,0,80.0
112,RV Gomez,263,27,16,4,0,4,1,88.46
113,PP Chawla,263,26,22,3,0,2,2,87.27
114,CJ Ferguson,263,28,20,2,0,6,0,85.71
115,SW Tait,261,3,6,0,0,1,0,100.0
116,SD Chitnis,260,3,5,0,0,1,0,100.0
117,CK Langeveldt,259,5,2,0,0,0,1,100.0
118,AB Agarkar,258,3,3,0,0,1,0,100.0
119,SA Asnodkar,258,4,3,1,0,1,0,100.0
120,PR Shah,256,3,1,0,0,1,0,100.0
121,AG Paunikar,256,40,9,2,0,9,0,81.67
122,WD Parnell,253,20,15,4,0,2,1,88.1
123,MV Boucher,252,2,2,2,0,0,0,100.0
124,B Kumar,251,0,1,0,0,0,0,100.0
125,P Parameswaran,251,0,1,0,0,0,0,100.0
126,NJ Rimmington,251,0,1,0,0,0,0,100.0
127,SC Ganguly,251,33,20,3,0,3,2,81.97
128,Z Khan,239,12,7,3,0,2,0,87.5
129,RE van der Merwe,238,5,10,0,0,1,0,87.5
130,SL Malinga,235,6,2,0,0,0,1,88.89
131,P Kumar,233,19,9,2,0,2,1,81.82
132,GC Smith,233,34,10,4,0,6,0,77.78
133,KB Arun Karthik,232,4,3,0,0,1,0,87.5
134,RJ Harris,230,19,15,2,0,3,0,79.49
135,CA Ingram,227,12,11,1,0,2,0,80.77
136,NLTC Perera,227,19,5,1,0,4,0,79.31
137,RR Powar,222,5,5,3,0,0,0,84.62
138,DL Vettori,221,15,13,0,0,1,1,76.67
139,M Kartik,220,6,8,0,0,1,0,80.0
140,KM Jadhav,218,9,12,1,0,1,0,78.26
141,I Sharma,213,1,4,0,0,0,0,80.0
142,IR Jaggi,212,22,10,3,0,3,0,73.68
143,JE Taylor,200,2,1,1,0,0,0,75.0
144,R Sathish,198,18,12,3,1,1,0,71.43
145,Harpreet Singh,196,7,12,1,0,0,0,70.0
146,DH Yagnik,195,12,8,2,0,1,0,69.57
147,MS Wade,186,15,14,4,0,0,0,66.67
148,SB Wagh,182,2,0,1,0,0,0,66.67
149,M Muralitharan,175,4,3,1,0,0,0,62.5
150,S Sriram,163,4,2,1,0,0,0,57.14
151,B Lee,162,4,5,0,0,0,0,55.56
152,AA Jhunjhunwala,158,15,2,0,0,2,0,52.63
153,SK Warne,151,13,6,0,0,1,0,50.0
154,DS Kulkarni,150,2,2,0,0,0,0,50.0
155,RP Singh,150,2,2,0,0,0,0,50.0
156,R Ninan,150,3,3,0,0,0,0,50.0
157,S Randiv,148,3,0,1,0,0,0,50.0
158,AG Murtaza,129,3,2,0,0,0,0,40.0
159,AA Chavan,115,2,1,0,0,0,0,33.33
160,R Ashwin,114,4,2,0,0,0,0,33.33
161,TD Paine,109,19,10,0,0,0,0,34.48
162,A Singh,98,3,1,0,0,0,0,25.0
163,AC Thomas,98,3,1,0,0,0,0,25.0
164,UT Yadav,79,5,1,0,0,0,0,16.67
165,UBT Chand,75,10,2,0,0,0,0,16.67
166,S Sreesanth,65,8,1,0,0,0,0,11.11
167,S Nadeem,49,1,0,0,0,0,0,0.0
168,DE Bollinger,49,1,0,0,0,0,0,0.0
169,Joginder Sharma,49,1,0,0,0,0,0,0.0
170,MM Patel,49,1,0,0,0,0,0,0.0
171,MJ Lumb,48,2,0,0,0,0,0,0.0
172,L Ablish,48,2,0,0,0,0,0,0.0
173,SK Trivedi,48,2,0,0,0,0,0,0.0
174,MS Gony,48,2,0,0,0,0,0,0.0
175,JDP Oram,47,3,0,0,0,0,0,0.0
176,VR Aaron,45,5,0,0,0,0,0,0.0
177,AB Dinda,45,5,0,0,0,0,0,0.0
178,BA Bhatt,45,5,0,0,0,0,0,0.0
179,ND Doshi,37,13,0,0,0,0,0,0.0
