,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,CH Gayle,1362,134,98,9,0,57,44,177.78
1,SE Marsh,1029,121,137,18,1,52,20,144.41
2,V Sehwag,1021,87,70,21,0,51,18,171.66
3,V Kohli,933,193,178,30,1,55,16,117.76
4,PC Valthaty,930,173,85,17,0,56,20,131.91
5,MS Dhoni,904,69,107,22,1,25,23,158.7
6,SR Tendulkar,867,217,189,33,0,67,5,108.22
7,SK Raina,844,119,137,25,0,36,17,129.64
8,MEK Hussey,842,150,185,28,1,53,6,116.31
9,S Dhawan,801,110,135,15,0,47,7,125.8
10,M Vijay,791,157,102,32,4,34,20,124.36
11,AC Gilchrist,779,156,79,13,2,41,18,123.95
12,S Badrinath,766,108,140,25,0,38,9,123.75
13,RG Sharma,745,110,133,15,1,32,13,122.37
14,BB McCullum,741,133,96,11,1,35,16,122.26
15,AT Rayudu,738,148,143,11,0,44,9,111.27
16,JD Ryder,737,92,45,15,1,37,11,145.27
17,JH Kallis,735,154,156,24,0,46,6,109.84
18,SR Watson,729,119,75,13,1,31,17,128.91
19,KC Sangakkara,725,113,120,16,0,44,5,120.13
20,Yuvraj Singh,712,114,87,26,0,24,18,127.51
21,G Gambhir,698,126,136,21,2,44,3,113.86
22,YK Pathan,696,73,81,14,0,24,13,138.05
23,AB de Villiers,674,88,107,17,1,21,14,125.81
24,Y Venugopal Rao,673,126,109,13,1,30,13,115.07
25,DA Warner,652,134,85,14,3,34,11,115.3
26,KD Karthik,648,87,90,7,1,32,7,123.66
27,RA Jadeja,635,92,97,11,0,20,14,120.94
28,R Dravid,629,144,110,18,0,45,2,105.96
29,MK Tiwary,628,150,128,15,1,26,14,104.49
30,RV Uthappa,621,94,72,12,0,27,10,122.79
31,BJ Hodge,602,103,89,16,2,26,9,116.33
32,DPMD Jayawardene,601,120,96,15,1,35,5,109.93
33,S Sohal,593,93,61,10,1,25,10,122.0
34,TM Dilshan,581,81,60,8,0,33,3,122.16
35,SB Styris,559,0,1,0,0,1,0,250.0
36,MK Pandey,538,109,82,8,0,28,6,105.58
37,B Chipli,529,62,75,6,4,21,4,120.35
38,JR Hopes,522,59,66,12,0,22,3,120.99
39,DB Ravi Teja,510,49,65,10,2,17,4,124.49
40,J Botha,510,66,86,26,0,20,2,115.0
41,JP Duminy,507,51,96,11,1,9,8,116.48
42,AC Blizzard,489,45,17,2,1,21,2,136.36
43,DT Christian,485,51,77,16,1,9,7,118.01
44,AL Menaria,481,67,62,9,0,10,10,113.92
45,PA Patel,481,84,67,10,1,25,2,106.88
46,JA Morkel,475,41,44,7,0,8,8,127.78
