,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,GJ Maxwell,1229,109,94,25,0,48,36,176.92
1,RV Uthappa,1178,171,191,30,0,74,18,135.33
2,DR Smith,1071,197,126,18,0,50,34,133.18
3,SK Raina,1004,132,132,35,1,51,19,141.35
4,DA Warner,986,130,158,35,0,39,24,136.79
5,V Sehwag,936,155,87,18,0,56,18,136.23
6,DA Miller,918,99,122,31,0,34,21,145.28
7,AB de Villiers,900,80,103,22,0,26,24,154.9
8,AN Ahmed,858,0,0,0,0,1,0,400.0
9,LMP Simmons,817,125,97,19,1,43,14,131.77
10,WP Saha,815,101,85,17,1,33,18,141.96
11,JP Duminy,814,92,154,21,2,22,20,131.83
12,MS Dhoni,799,85,101,28,2,22,20,143.8
13,Yuvraj Singh,795,133,91,13,1,22,28,130.56
14,RG Sharma,782,111,128,21,0,31,16,127.04
15,BB McCullum,771,145,127,18,0,32,19,118.77
16,YK Pathan,750,56,66,11,0,15,20,159.52
17,KK Nair,744,93,73,21,3,38,9,139.24
18,S Dhawan,721,154,106,15,1,49,7,113.55
19,MK Pandey,715,142,143,26,1,35,11,112.85
20,M Vohra,698,111,66,20,3,27,16,131.28
21,AT Rayudu,698,98,129,30,0,31,8,121.96
22,SV Samson,698,118,103,17,0,25,17,121.07
23,V Kohli,698,114,127,19,2,23,16,119.27
24,JP Faulkner,688,29,39,7,0,8,16,182.83
25,KD Karthik,685,96,106,19,1,28,11,124.52
26,CJ Anderson,682,75,60,14,1,21,15,142.47
27,KP Pietersen,658,96,89,12,1,34,7,123.01
28,F du Plessis,657,72,113,22,0,26,7,126.25
29,KA Pollard,640,75,85,16,2,15,15,131.25
30,AJ Finch,634,115,96,16,1,31,9,115.3
31,Shakib Al Hasan,633,47,69,15,0,22,7,143.13
32,GJ Bailey,633,60,81,20,0,19,10,135.26
33,AM Rahane,632,121,107,25,4,38,3,113.76
34,NV Ojha,631,73,60,4,2,14,17,136.47
35,G Gambhir,621,124,109,26,2,36,4,111.3
36,DJ Bravo,597,0,2,0,0,0,1,266.67
37,SR Watson,577,106,51,11,3,20,14,120.0
38,KM Jadhav,544,32,49,3,0,13,7,143.27
39,SA Yadav,510,48,40,12,2,16,5,133.33
40,MEK Hussey,498,79,72,9,3,17,7,111.76
41,SPD Smith,488,38,45,14,1,13,4,132.17
42,PA Patel,486,95,52,12,1,30,1,107.33
43,CH Gayle,482,111,42,5,0,18,12,104.26
44,MK Tiwary,478,42,54,9,0,14,4,123.58
45,RA Jadeja,477,31,56,12,0,9,5,129.2
46,M Vijay,472,90,68,13,1,20,5,105.08
47,Q de Kock,464,63,41,3,2,19,4,115.91
48,AP Tare,450,47,29,6,1,16,3,123.53
49,HV Patel,440,3,1,1,0,1,1,185.71
50,JH Kallis,440,53,47,14,0,13,4,115.27
51,RN ten Doeschate,439,12,12,2,0,3,4,157.58
52,DJ Hussey,439,35,46,1,0,8,6,120.83
53,BJ Hodge,436,27,26,10,1,4,6,136.49
54,MA Agarwal,420,39,32,6,0,12,3,119.57
55,KL Rahul,409,62,78,11,0,12,3,100.0
56,PP Chawla,405,7,7,1,0,4,1,155.0
57,YV Takawale,400,49,20,5,0,17,1,113.04
58,SE Marsh,393,26,12,6,0,7,3,129.63
59,Shivam Sharma,391,1,1,0,0,1,0,166.67
60,DJG Sammy,389,48,31,5,1,4,8,111.34
61,CM Gautam,384,68,23,5,2,13,5,104.31
62,KV Sharma,380,10,12,4,0,1,3,140.0
63,KK Cooper,377,13,7,3,0,2,3,139.29
64,R Bhatia,371,19,25,4,0,4,3,121.82
65,CA Pujara,365,63,42,6,1,17,0,96.9
66,M Manhas,357,10,8,3,1,3,1,134.62
67,STR Binny,354,51,48,13,1,4,5,100.82
68,R Dhawan,350,30,29,6,1,8,1,109.33
69,DS Kulkarni,349,8,13,3,0,1,2,129.63
70,CA Lynn,345,24,20,0,0,5,3,111.54
71,S Rana,341,28,21,9,0,7,1,110.61
72,JO Holder,339,7,2,0,0,2,1,133.33
73,Y Venugopal Rao,339,25,25,7,0,8,0,109.23
74,MA Starc,329,35,31,9,0,9,0,101.19
75,BCJ Cutting,327,3,2,0,0,0,1,133.33
76,MG Johnson,327,27,12,5,0,4,3,109.8
77,AR Patel,319,24,28,2,0,6,1,101.64
78,BR Dunk,317,20,6,3,0,7,0,111.11
79,JA Morkel,312,19,13,5,0,1,3,109.76
80,R Tewatia,310,5,4,3,0,0,1,123.08
81,VH Zol,305,13,7,2,0,3,1,111.54
82,Ankit Sharma,305,17,6,3,0,4,1,109.68
83,Harbhajan Singh,297,15,6,1,0,2,2,107.69
84,LRPL Taylor,296,24,29,3,0,6,0,95.16
85,NJ Maddinson,295,9,1,0,1,3,0,114.29
86,Z Khan,288,4,2,0,0,0,1,114.29
87,VR Aaron,288,13,15,3,0,2,1,102.94
