,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,3,81,103,181,84,135.26,7.2
1,CH Gayle,95,0,28,95,123,28,146.48,8.02
2,RG Sharma,92,4,69,96,161,73,129.0,7.88
3,V Sehwag,90,0,50,90,140,50,148.83,10.26
4,YK Pathan,80,12,50,92,130,62,142.49,7.32
5,MS Dhoni,85,0,95,85,180,95,135.79,100.0
6,SL Malinga,13,100,29,113,42,129,81.0,6.58
7,Harbhajan Singh,47,64,42,111,89,106,143.06,6.84
8,A Mishra,24,63,31,87,55,94,91.99,7.16
9,SP Narine,6,51,6,57,12,57,90.91,6.14
10,R Ashwin,19,58,29,77,48,87,91.35,6.44
