,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,2,32,102,132,34,148.45,7.59
1,V Kohli,94,0,67,94,161,67,129.26,9.02
2,DA Warner,91,0,52,91,143,52,138.9,100.0
3,AB de Villiers,91,0,84,91,175,84,157.61,100.0
4,V Sehwag,63,0,39,63,102,39,143.62,10.8
5,MS Dhoni,73,0,100,73,173,100,138.51,100.0
6,DJ Bravo,47,71,62,118,109,133,127.58,8.0
7,SL Malinga,12,100,25,112,37,125,81.63,6.59
8,SP Narine,11,74,19,85,30,93,81.03,6.3
9,R Ashwin,22,67,37,89,59,104,101.05,6.57
10,DW Steyn,23,51,33,74,56,84,111.03,6.66
