,fielder,overall,ratings
0,MS Dhoni,480,19
1,SV Samson,400,15
2,KD Karthik,380,14
3,SK Raina,360,13
4,DJ Bravo,360,13
5,AC Gilchrist,360,13
6,SK Raina,340,12
7,AC Gilchrist,340,12
8,MS Bisla,340,12
9,KB Arun Karthik,320,11
10,AM Rahane,320,11
11,KA Pollard,320,11
12,CL White,320,11
13,MEK Hussey,320,11
14,V Kohli,300,10
15,MK Tiwary,300,10
16,KK Cooper,280,9
17,AB de Villiers,280,9
18,AT Rayudu,280,9
19,M Vijay,260,8
20,DH Yagnik,260,8
21,R Vinay Kumar,260,8
22,EJG Morgan,260,8
23,MG Johnson,260,8
24,RG Sharma,260,8
25,I Sharma,260,8
26,DA Miller,260,8
27,PA Patel,260,8
28,DR Smith,260,8
29,DA Warner,240,7
30,NLTC Perera,240,7
31,R Vinay Kumar,240,7
32,MR Marsh,240,7
33,Harbhajan Singh,240,7
34,RG Sharma,240,7
35,RV Uthappa,240,7
36,MK Pandey,240,7
37,SR Watson,240,7
38,Mandeep Singh,240,7
39,BJ Hodge,240,7
40,A Ashish Reddy,220,6
41,UT Yadav,220,6
42,MR Marsh,220,6
43,KM Jadhav,220,6
44,GH Vihari,200,5
45,RA Jadeja,200,5
46,MC Henriques,200,5
47,YK Pathan,200,5
48,Gurkeerat Singh,200,5
49,AD Mathews,200,5
50,JP Faulkner,200,5
51,SR Tendulkar,200,5
52,IK Pathan,200,5
53,DPMD Jayawardene,200,5
54,RP Singh,200,5
55,BJ Rohrer,200,5
56,CH Morris,200,5
57,V Sehwag,200,5
58,R Dravid,200,5
59,STR Binny,180,4
60,BB Samantray,180,4
61,SPD Smith,180,4
62,V Sehwag,180,4
63,CH Gayle,180,4
64,R Dhawan,180,4
65,JH Kallis,180,4
66,J Botha,180,4
67,DW Steyn,180,4
68,Q de Kock,180,4
69,R Rampaul,180,4
70,M Kartik,180,4
71,AB Dinda,180,4
72,SK Trivedi,180,4
73,DJ Hussey,180,4
74,UBT Chand,180,4
75,RA Jadeja,180,4
76,DJG Sammy,160,3
77,KC Sangakkara,160,3
78,PA Reddy,160,3
79,JA Morkel,160,3
80,BMAJ Mendis,160,3
81,SP Narine,160,3
82,SE Marsh,160,3
83,LJ Wright,160,3
84,MM Sharma,160,3
85,R Ashwin,160,3
86,DP Nannes,160,3
87,JO Holder,160,3
88,KV Sharma,160,3
89,M Vohra,160,3
90,L Balaji,160,3
91,R Rampaul,160,3
92,S Dhawan,160,3
93,DB Das,160,3
94,MA Agarwal,160,3
95,B Kumar,140,2
96,SMSM Senanayake,140,2
97,KL Rahul,140,2
98,A Mishra,140,2
99,LR Shukla,140,2
100,RV Gomez,140,2
101,Sachin Baby,140,2
102,PP Ojha,140,2
103,GJ Maxwell,140,2
104,M Rawat,140,2
105,R Shukla,140,2
106,R Sathish,140,2
107,SL Malinga,140,2
108,RT Ponting,140,2
109,R Sharma,140,2
110,SS Tiwary,140,2
111,TM Dilshan,140,2
112,AG Murtaza,140,2
113,JD Unadkat,140,2
114,LRPL Taylor,140,2
115,G Gambhir,140,2
116,M Muralitharan,140,2
117,TL Suman,140,2
118,M Manhas,140,2
119,S Badrinath,140,2
120,S Nadeem,140,2
121,AJ Finch,140,2
122,P Dogra,120,1
123,P Suyal,120,1
124,WD Parnell,120,1
125,Anand Rajan,120,1
126,P Kumar,120,1
127,AN Ahmed,120,1
128,K Upadhyay,120,1
129,Yuvraj Singh,120,1
130,Mohammed Shami,120,1
131,NV Ojha,120,1
132,Ankit Sharma,120,1
133,AM Nayar,120,1
134,P Awana,120,1
135,R McLaren,120,1
136,RN ten Doeschate,120,1
137,AB Agarkar,120,1
138,UA Birla,120,1
139,B Lee,120,1
140,A Chandila,120,1
141,MN Samuels,120,1
142,Azhar Mahmood,120,1
143,AD Russell,120,1
144,M Morkel,120,1
145,S Kaul,120,1
146,NM Coulter-Nile,120,1
147,CA Pujara,120,1
148,PP Chawla,120,1
149,S Narwal,100,0
150,BB McCullum,100,0
151,AL Menaria,100,0
152,P Negi,100,0
153,A Nehra,100,0
154,MC Juneja,100,0
155,A Mithun,100,0
156,WP Saha,100,0
157,BAW Mendis,100,0
158,AA Chavan,100,0
159,MM Patel,100,0
160,IC Pandey,100,0
161,KW Richardson,100,0
162,SW Tait,100,0
163,Sandeep Sharma (1),100,0
164,Bipul Sharma,100,0
165,JJ Bumrah,100,0
166,Harmeet Singh,100,0
167,YS Chahal,100,0
168,DS Kulkarni,100,0
169,PJ Sangwan,100,0
170,DB Ravi Teja,100,0
171,PV Tambe,100,0
172,AB McDonald,100,0
173,X Thalaivan Sargunam,100,0
174,S Ladda,100,0
175,RJ Harris,100,0
176,S Anirudha,100,0
177,S Sreesanth,100,0
178,AD Mascarenhas,100,0
179,RE van der Merwe,100,0
180,B Laughlin,100,0
181,MG Neser,100,0
182,OA Shah,100,0
183,AS Rajpoot,100,0
184,A Mukund,100,0
185,Z Khan,100,0
186,MDKJ Perera,100,0
187,PC Valthaty,100,0
188,LA Pomersbach,100,0
189,VS Malik,100,0
190,BA Bhatt,100,0
191,B Chipli,100,0
192,R Bhatia,100,0
193,Parvez Rasool,100,0
194,KK Nair,100,0
195,CM Gautam,100,0
196,Shami Ahmed,100,0
197,JDP Oram,100,0
198,S Badree,100,0
199,GB Hogg,100,0
200,MS Gony,100,0
201,AP Tare,100,0
202,DT Christian,100,0
203,Iqbal Abdulla,100,0
204,J Syed Mohammad,100,0
