,fielder,overall,ratings
0,KC Sangakkara,480,19
1,RV Uthappa,420,16
2,MS Dhoni,380,14
3,AC Gilchrist,340,12
4,PA Patel,340,12
5,AB de Villiers,340,12
6,KA Pollard,300,10
7,AT Rayudu,300,10
8,JH Kallis,280,9
9,KA Pollard,280,9
10,V Sehwag,280,9
11,DT Christian,280,9
12,S Anirudha,260,8
13,DH Yagnik,260,8
14,J Botha,260,8
15,JH Kallis,260,8
16,RG Sharma,260,8
17,DJ Hussey,260,8
18,NV Ojha,260,8
19,A Mithun,260,8
20,SB Jakati,240,7
21,RJ Harris,240,7
22,J Botha,240,7
23,KD Karthik,240,7
24,SP Goswami,240,7
25,V Kohli,240,7
26,DPMD Jayawardene,240,7
27,MEK Hussey,220,6
28,R Sharma,220,6
29,S Dhawan,220,6
30,RP Singh,220,6
31,MK Tiwary,220,6
32,SE Marsh,220,6
33,A Symonds,220,6
34,M Kaif,220,6
35,Yuvraj Singh,200,5
36,DA Warner,200,5
37,MK Pandey,200,5
38,YK Pathan,200,5
39,R Bhatia,200,5
40,R Sharma,200,5
41,LA Pomersbach,200,5
42,SR Tendulkar,200,5
43,A Symonds,200,5
44,EJG Morgan,200,5
45,M Vijay,200,5
46,DB Ravi Teja,200,5
47,SS Tiwary,200,5
48,JD Ryder,180,4
49,AA Jhunjhunwala,180,4
50,IK Pathan,180,4
51,Z Khan,180,4
52,TL Suman,180,4
53,Y Nagar,180,4
54,AC Blizzard,180,4
55,DL Vettori,180,4
56,SL Malinga,180,4
57,Y Venugopal Rao,180,4
58,AS Raut,180,4
59,R Vinay Kumar,180,4
60,LRPL Taylor,180,4
61,R Sathish,180,4
62,AJ Finch,180,4
63,DJ Jacobs,180,4
64,RA Jadeja,180,4
65,STR Binny,160,3
66,JA Morkel,160,3
67,SR Watson,160,3
68,MS Bisla,160,3
69,Anand Rajan,160,3
70,AUK Pathan,160,3
71,I Sharma,160,3
72,RE van der Merwe,160,3
73,G Gambhir,160,3
74,S Randiv,160,3
75,KM Jadhav,160,3
76,R Ashwin,160,3
77,UT Yadav,160,3
78,SK Raina,160,3
79,Iqbal Abdulla,160,3
80,CL White,160,3
81,M Manhas,160,3
82,JR Hopes,160,3
83,MM Patel,160,3
84,PP Chawla,160,3
85,R Dravid,160,3
86,SW Tait,160,3
87,MA Agarwal,160,3
88,WP Saha,160,3
89,AM Nayar,140,2
90,B Kumar,140,2
91,L Balaji,140,2
92,WD Parnell,140,2
93,JEC Franklin,140,2
94,Harpreet Singh,140,2
95,RV Gomez,140,2
96,AL Menaria,140,2
97,PP Ojha,140,2
98,S Ladda,140,2
99,Y Gnaneswara Rao,140,2
100,R McLaren,140,2
101,SB Styris,140,2
102,AG Paunikar,140,2
103,AC Thomas,140,2
104,SB Wagh,140,2
105,JD Unadkat,140,2
106,PC Valthaty,140,2
107,B Lee,140,2
108,BB McCullum,140,2
109,P Kumar,140,2
110,RN ten Doeschate,140,2
111,JR Hopes,140,2
112,Mandeep Singh,140,2
113,KB Arun Karthik,140,2
114,OA Shah,140,2
115,DE Bollinger,140,2
116,DJ Bravo,140,2
117,CH Gayle,140,2
118,NLTC Perera,120,1
119,TM Dilshan,120,1
120,Harbhajan Singh,120,1
121,AG Murtaza,120,1
122,IR Jaggi,120,1
123,S Aravind,120,1
124,AM Rahane,120,1
125,SK Warne,120,1
126,S Badrinath,120,1
127,SC Ganguly,120,1
128,DP Nannes,120,1
129,AN Ahmed,120,1
130,AA Chavan,120,1
131,M Kartik,120,1
132,S Sreesanth,120,1
133,CJ Ferguson,120,1
134,J Syed Mohammad,120,1
135,AM Salvi,120,1
136,R Ninan,120,1
137,B Chipli,120,1
138,DS Kulkarni,120,1
139,Shakib Al Hasan,120,1
140,JP Duminy,120,1
141,Sunny Singh,120,1
142,PR Shah,120,1
143,BJ Hodge,120,1
144,SJ Srivastava,120,1
145,MJ Lumb,120,1
146,AB Agarkar,120,1
147,NL McCullum,120,1
148,SK Trivedi,120,1
149,M Muralitharan,120,1
150,A Mishra,120,1
151,M Morkel,120,1
152,DW Steyn,120,1
153,MV Boucher,120,1
154,Bipul Sharma,120,1
155,GC Smith,120,1
156,CA Pujara,120,1
157,S Nadeem,100,0
158,RR Powar,100,0
159,TD Paine,100,0
160,S Sohal,100,0
161,CK Langeveldt,100,0
162,BJ Haddin,100,0
163,UBT Chand,100,0
164,P Parameswaran,100,0
165,VVS Laxman,100,0
166,KMDN Kulasekara,100,0
167,RW Price,100,0
168,Harmeet Singh,100,0
169,SD Chitnis,100,0
170,M Klinger,100,0
171,LR Shukla,100,0
172,Pankaj Singh,100,0
173,L Ablish,100,0
174,NJ Rimmington,100,0
175,JJ van der Wath,100,0
176,VR Aaron,100,0
177,P Prasanth,100,0
178,Joginder Sharma,100,0
179,AB McDonald,100,0
180,A Singh,100,0
181,JE Taylor,100,0
182,CA Ingram,100,0
183,S Rana,100,0
184,FY Fazal,100,0
185,VS Malik,100,0
186,MS Wade,100,0
187,I Malhotra,100,0
188,BA Bhatt,100,0
189,B Akhil,100,0
190,MD Mishra,100,0
191,TR Birt,100,0
192,ND Doshi,100,0
193,SA Asnodkar,100,0
194,JDP Oram,100,0
195,SS Mundhe,100,0
196,AB Dinda,100,0
197,S Sriram,100,0
198,AA Kazi,100,0
199,MS Gony,100,0
200,JP Faulkner,100,0
201,TG Southee,100,0
202,MR Marsh,100,0
203,Kamran Khan,100,0
