,batsman,overall,run0,run1,run2,run3,run4,run6,strikerate
0,CH Gayle,1372,215,141,18,1,57,52,148.76
1,MEK Hussey,1202,217,225,38,2,81,17,126.38
2,V Kohli,1137,176,171,35,2,65,22,135.67
3,SK Raina,1064,100,167,32,3,50,18,148.11
4,SR Watson,1062,156,138,17,1,59,22,138.17
5,RG Sharma,995,141,192,19,0,35,28,129.64
6,MS Dhoni,968,94,114,30,3,32,25,154.7
7,DA Miller,954,69,111,24,1,28,24,162.65
8,KA Pollard,911,113,104,17,0,27,29,144.83
9,AB de Villiers,907,62,92,20,1,34,17,165.04
10,AJ Finch,903,155,96,21,2,54,16,132.56
11,KD Karthik,898,172,158,22,1,54,14,119.95
12,RV Gomez,858,0,0,0,0,1,0,400.0
13,DA Warner,798,136,122,20,0,41,14,123.12
14,R Dravid,787,208,128,27,1,64,5,108.78
15,DR Smith,779,173,99,17,2,40,19,118.0
16,AM Rahane,749,197,194,24,4,42,11,103.39
17,YK Pathan,748,96,91,14,1,30,15,134.41
18,RV Uthappa,748,169,135,22,5,42,12,112.73
19,G Gambhir,733,156,116,22,4,51,5,114.69
20,STR Binny,710,69,78,17,3,25,12,143.63
21,AC Gilchrist,674,107,66,14,0,41,6,125.64
22,BJ Hodge,673,75,95,18,0,27,9,130.8
23,EJG Morgan,660,112,79,16,2,28,13,122.8
24,V Sehwag,660,114,72,10,1,41,6,120.9
25,S Dhawan,651,106,95,19,0,37,5,118.7
26,SE Marsh,649,104,99,9,1,39,4,117.19
27,SR Tendulkar,635,111,75,13,0,39,5,118.11
28,PA Patel,615,112,94,14,0,37,4,112.64
29,NLTC Perera,612,60,72,14,1,12,14,135.84
30,DPMD Jayawardene,595,159,100,17,0,39,6,101.56
31,RA Jadeja,585,39,57,20,0,17,6,144.6
32,Yuvraj Singh,574,89,59,15,1,14,15,123.32
33,Mandeep Singh,568,95,78,19,0,36,0,114.04
34,M Vijay,564,134,95,26,3,27,8,106.48
35,AT Rayudu,556,76,113,20,0,22,4,112.77
36,LJ Wright,550,22,20,2,0,16,3,168.25
37,BJ Rohrer,548,57,48,14,1,21,5,132.19
38,MS Bisla,545,138,61,7,0,36,6,102.82
39,Azhar Mahmood,541,62,60,9,0,22,5,124.05
40,JH Kallis,541,152,124,10,3,35,3,95.11
41,CL White,533,84,79,9,1,18,9,113.0
42,M Vohra,532,43,41,7,2,22,2,137.61
43,DJ Hussey,531,79,91,14,0,20,6,111.9
44,M Morkel,519,8,12,0,1,6,3,190.0
45,DJG Sammy,518,55,50,10,0,11,10,127.94
46,MC Henriques,513,48,45,11,0,20,3,129.92
47,SV Samson,513,67,78,8,2,19,5,115.08
48,AP Tare,511,34,25,6,0,14,5,146.43
49,Harbhajan Singh,493,30,32,3,0,12,5,141.46
50,AD Mathews,489,45,71,9,1,5,10,121.99
51,MR Marsh,483,42,46,5,0,6,10,128.44
52,A Ashish Reddy,478,25,42,9,1,8,5,138.89
53,SPD Smith,470,50,55,10,0,15,4,118.66
54,R Sathish,462,30,28,6,1,9,5,137.97
55,KK Cooper,458,9,3,4,0,4,2,177.27
56,PJ Sangwan,457,1,0,0,0,1,0,200.0
57,R Vinay Kumar,457,15,12,8,0,6,3,159.09
58,DH Yagnik,456,43,29,8,0,17,2,126.26
59,KM Jadhav,451,38,62,14,0,8,5,119.69
60,MS Gony,447,12,5,3,0,4,3,166.67
61,B Lee,431,5,3,1,0,1,2,175.0
62,RN ten Doeschate,431,18,31,3,0,9,2,134.92
63,DW Steyn,400,15,9,6,0,5,2,143.24
64,UBT Chand,399,85,48,9,0,17,4,96.93
65,R Bhatia,398,33,26,10,1,8,3,122.22
66,BB Samantray,396,48,43,8,0,13,2,107.89
67,Gurkeerat Singh,385,43,34,8,0,10,3,110.2
68,WP Saha,384,27,18,2,0,6,4,122.81
69,IK Pathan,383,66,69,10,0,10,4,96.23
70,DJ Bravo,382,53,31,14,0,11,3,108.04
71,GH Vihari,382,126,120,22,1,17,1,83.97
72,MK Pandey,376,59,59,6,1,11,3,97.84
73,MK Tiwary,372,57,57,12,2,12,1,100.0
74,S Narwal,369,6,5,1,0,4,0,143.75
75,GJ Maxwell,364,15,6,1,0,1,4,133.33
76,NM Coulter-Nile,363,2,3,0,0,0,1,150.0
77,S Badrinath,359,46,52,14,0,11,0,100.81
78,JA Morkel,354,14,16,2,0,2,3,124.32
79,MC Juneja,350,54,61,7,0,11,1,93.28
80,CM Gautam,335,14,15,2,1,4,1,118.92
81,PP Chawla,333,29,20,3,0,5,3,106.67
82,SS Tiwary,333,47,47,11,0,4,4,96.46
83,P Kumar,332,21,11,3,0,3,3,114.63
84,MA Agarwal,332,33,19,3,0,6,3,104.69
85,DB Das,329,42,23,1,0,5,5,98.68
86,KC Sangakkara,329,62,57,4,1,13,0,87.59
87,KL Rahul,326,9,2,1,0,4,0,125.0
