,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,10,29,110,129,39,166.98,7.64
1,SR Tendulkar,90,0,39,90,129,39,117.1,100.0
2,V Sehwag,89,9,46,98,135,55,164.56,4.26
3,SK Raina,86,5,59,91,145,64,133.29,7.33
4,YK Pathan,71,30,54,101,125,84,148.43,6.6
5,KC Sangakkara,70,0,100,70,170,100,127.47,100.0
6,SL Malinga,20,100,39,120,59,139,90.0,6.41
7,A Mishra,27,77,39,104,66,116,100.94,6.82
8,R Ashwin,13,73,31,86,44,104,69.57,6.23
9,DW Steyn,20,60,29,80,49,89,90.74,6.47
10,DE Bollinger,13,61,29,74,42,90,100.0,6.86
