,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,8,30,108,130,38,164.74,7.78
1,V Sehwag,74,0,68,74,142,68,162.94,11.25
2,S Dhawan,64,0,52,64,116,52,126.51,8.89
3,G Gambhir,63,0,46,63,109,46,127.2,100.0
4,MS Dhoni,56,0,100,56,156,100,141.32,100.0
5,KC Sangakkara,41,0,94,41,135,94,114.34,100.0
6,SL Malinga,18,100,41,118,59,141,98.44,6.01
7,M Morkel,19,63,25,82,44,88,143.33,7.27
8,MM Patel,3,62,41,65,44,103,25.0,7.33
9,SP Narine,8,49,6,57,14,55,112.5,5.6
10,DW Steyn,16,59,28,75,44,87,94.83,6.22
