,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,1,30,101,130,31,148.87,8.23
1,SK Raina,85,0,79,85,164,79,134.61,7.45
2,RG Sharma,79,0,70,79,149,70,129.33,8.87
3,V Kohli,78,0,65,78,143,65,124.76,8.93
4,AB de Villiers,72,0,74,72,146,74,149.08,100.0
5,MS Dhoni,73,0,100,73,173,100,139.13,100.0
6,SL Malinga,16,100,34,116,50,134,81.82,6.65
7,R Ashwin,21,64,36,85,57,100,94.3,6.47
8,Harbhajan Singh,40,63,42,103,82,105,141.08,6.89
9,SP Narine,9,59,13,68,22,72,90.91,6.14
10,DW Steyn,24,57,36,81,60,93,107.95,6.63
