,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,2,32,102,132,34,151.46,8.25
1,SK Raina,87,0,79,87,166,79,137.69,7.48
2,V Sehwag,84,2,52,86,136,54,147.92,7.4
3,RG Sharma,76,0,73,76,149,73,126.75,8.87
4,MS Dhoni,73,0,100,73,173,100,143.58,100.0
5,RV Uthappa,76,0,84,76,160,84,128.05,100.0
6,SL Malinga,17,100,34,117,51,134,85.23,6.53
7,DW Steyn,22,71,38,93,60,109,103.62,6.48
8,SP Narine,10,70,13,80,23,83,93.02,5.9
9,R Ashwin,17,69,36,86,53,105,81.76,6.57
10,B Kumar,12,36,17,48,29,53,79.66,6.68
