,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,5,76,105,176,81,136.96,7.15
1,CH Gayle,97,2,28,99,125,30,153.39,8.03
2,V Sehwag,94,1,56,95,150,57,154.18,10.26
3,RG Sharma,89,6,73,95,162,79,127.05,7.83
4,YK Pathan,79,18,50,97,129,68,142.92,7.15
5,MS Dhoni,84,0,100,84,184,100,137.44,100.0
6,SL Malinga,13,100,30,113,43,130,85.88,6.48
7,A Mishra,27,83,34,110,61,117,94.18,6.88
8,DW Steyn,19,71,36,90,55,107,102.5,6.21
9,SP Narine,6,48,0,54,6,48,107.14,5.52
10,R Ashwin,14,58,28,72,42,86,73.81,6.39
