,fielder,overall,ratings
533,MN Samuels,120,1
532,P Negi,320,11
531,S Vidyut,120,1
530,A Ashish Reddy,300,10
529,DJ Hooda,240,7
528,NL McCullum,120,1
527,Imran Tahir,160,3
526,D Salunkhe,140,2
525,DP Vijaykumar,100,0
524,BJ Hodge,600,25
523,KW Richardson,200,5
522,V Kohli,1460,68
521,SW Tait,220,6
520,J Syed Mohammad,120,1
519,Sandeep Sharma,200,5
518,KK Cooper,380,14
517,Sachin Baby,180,4
516,S Randiv,160,3
515,GB Hogg,200,5
514,PJ Sangwan,260,8
513,Shoaib Ahmed,180,4
512,RA Jadeja,1140,52
511,AN Ahmed,160,3
510,JEC Franklin,220,6
509,TA Boult,220,6
508,Anureet Singh,200,5
507,JM Kemp,120,1
506,P Awana,200,5
505,SPD Smith,880,39
504,SA Abbott,100,0
503,WPUJC Vaas,120,1
502,L Ablish,100,0
501,DL Vettori,340,12
500,SK Warne,360,13
499,FH Edwards,100,0
498,Y Gnaneswara Rao,140,2
497,S Rana,160,3
496,JP Faulkner,440,17
495,DL Chahar,120,1
494,KS Williamson,240,7
493,S Narwal,140,2
492,Sunny Gupta,100,0
491,VRV Singh,160,3
490,A Symonds,520,21
489,DB Ravi Teja,360,13
488,VY Mahesh,220,6
487,KP Appanna,180,4
486,S Ladda,160,3
485,J Yadav,140,2
484,JDP Oram,260,8
483,AG Murtaza,180,4
482,KAJ Roach,120,1
481,RV Gomez,180,4
480,F du Plessis,760,33
479,SB Wagh,140,2
478,DW Steyn,620,26
477,JA Morkel,520,21
476,AC Thomas,180,4
475,RR Bhatkal,120,1
474,RJ Harris,460,18
473,B Chipli,160,3
472,ST Jayasuriya,220,6
471,Mohammad Asif,100,0
470,DT Christian,380,14
469,CH Morris,460,18
468,JW Hastings,100,0
467,PP Chawla,760,33
466,CK Kapugedera,180,4
465,YA Abdulla,100,0
464,JO Holder,200,5
463,Abdur Razzak,100,0
462,A Mithun,260,8
461,V Shankar,100,0
460,S Kaushik,100,0
459,JDS Neesham,100,0
458,P Kumar,440,17
457,MM Patel,360,13
456,JP Duminy,680,29
455,AC Voges,180,4
454,SM Boland,100,0
453,PJ Cummins,120,1
452,SC Ganguly,560,23
451,SR Tendulkar,620,26
450,PV Tambe,120,1
449,C Ganapathy,100,0
448,JJ van der Wath,100,0
447,R Shukla,200,5
446,CJ Anderson,220,6
445,Mustafizur Rahman,140,2
444,AC Gilchrist,1600,75
443,Z Khan,500,20
442,Shoaib Akhtar,100,0
441,BJ Rohrer,200,5
440,JR Hopes,200,5
439,S Gopal,100,0
438,CJ Jordan,160,3
437,Shahid Afridi,180,4
436,MG Johnson,420,16
435,S Anirudha,340,12
434,TM Dilshan,560,23
433,M Muralitharan,440,17
432,LA Carseldine,180,4
431,J Botha,480,19
430,KA Pollard,1240,57
429,CA Ingram,100,0
428,DR Smith,900,40
427,Jaskaran Singh,100,0
426,A Flintoff,160,3
425,M Manhas,560,23
424,GR Napier,100,0
423,B Lee,320,11
422,A Mukund,160,3
421,D du Preez,100,0
420,SA Yadav,540,22
419,BMAJ Mendis,160,3
418,AR Patel,440,17
417,NM Coulter-Nile,240,7
416,Mohammad Hafeez,140,2
415,LPC Silva,180,4
414,AL Menaria,180,4
413,HV Patel,340,12
412,Joginder Sharma,220,6
411,KB Arun Karthik,360,13
410,YK Pathan,980,44
409,RS Sodhi,140,2
408,RG Sharma,1480,69
407,UBT Chand,260,8
406,RG More,120,1
405,S Badrinath,520,21
404,KC Sangakkara,1260,58
403,SK Trivedi,400,15
402,STR Binny,520,21
401,ND Doshi,100,0
400,J Arunkumar,100,0
399,MP Stoinis,100,0
398,RT Ponting,180,4
397,CM Gautam,240,7
396,A Singh,120,1
395,B Kumar,420,16
394,C Nanda,100,0
393,R McLaren,220,6
392,AB Barath,100,0
391,CR Brathwaite,180,4
390,JD Unadkat,220,6
389,R Ashwin,560,23
388,AB Agarkar,240,7
387,MS Gony,200,5
386,SD Chitnis,140,2
385,P Parameswaran,100,0
384,A Chandila,140,2
383,DJ Thornely,140,2
382,DJ Muthuswami,100,0
381,KH Pandya,140,2
380,S Tyagi,160,3
379,RJ Peterson,120,1
378,ER Dwivedi,140,2
377,BCJ Cutting,160,3
376,R Tewatia,120,1
375,N Rana,100,0
374,MF Maharoof,200,5
373,SA Asnodkar,220,6
372,DJ Jacobs,200,5
371,P Sahu,100,0
370,S Aravind,180,4
369,CJ McKay,100,0
368,Parvez Rasool,160,3
367,SS Shaikh,140,2
366,VS Yeligati,100,0
365,SJ Srivastava,140,2
364,SP Narine,240,7
363,MS Bisla,700,30
362,M Vijay,1060,48
361,C Munro,140,2
360,F Behardien,120,1
359,AD Mascarenhas,140,2
358,TG Southee,320,11
357,RR Powar,200,5
356,AS Raut,280,9
355,BAW Mendis,120,1
354,SE Bond,100,0
353,DJG Sammy,280,9
352,BB Sran,180,4
351,HH Pandya,360,13
350,K Goel,300,10
349,DPMD Jayawardene,880,39
348,AC Blizzard,180,4
347,TM Head,100,0
346,Mashrafe Mortaza,120,1
345,Swapnil Singh,100,0
344,V Sehwag,940,42
343,A Chopra,160,3
342,DJ Harris,140,2
341,KV Sharma,280,9
340,KMDN Kulasekara,160,3
339,T Taibu,120,1
338,AB McDonald,100,0
337,J Theron,160,3
336,SS Iyer,260,8
335,S Dhawan,1040,47
334,NV Ojha,1620,76
333,Bipul Sharma,260,8
332,R Dravid,620,26
331,SB Joshi,100,0
330,SL Malinga,500,20
329,RN ten Doeschate,280,9
328,GJ Maxwell,500,20
327,CK Langeveldt,100,0
326,B Laughlin,100,0
325,LJ Wright,180,4
324,AUK Pathan,160,3
323,AB Dinda,320,11
322,R Dhawan,260,8
321,KJ Abbott,100,0
320,D Kalyankrishna,120,1
319,GJ Bailey,420,16
318,MA Khote,100,0
317,M Ntini,160,3
316,H Das,100,0
315,R Sathish,320,11
314,SV Samson,920,41
313,RR Sarwan,120,1
312,DT Patil,140,2
311,MA Starc,420,16
310,YV Takawale,520,21
309,PC Valthaty,160,3
308,M Vohra,340,12
307,VVS Laxman,200,5
306,SB Bangar,180,4
305,GD McGrath,140,2
304,JE Taylor,100,0
303,AG Paunikar,140,2
302,I Malhotra,100,0
301,SMSM Senanayake,140,2
300,GC Smith,240,7
299,S Sriram,100,0
298,Karanveer Singh,160,3
297,AM Rahane,1000,45
296,OA Shah,260,8
295,Shakib Al Hasan,320,11
294,R Bhatia,600,25
293,A Kumble,280,9
292,DE Bollinger,240,7
291,VS Malik,140,2
290,R Ninan,120,1
289,JC Buttler,240,7
288,AB de Villiers,2000,95
287,RR Raje,180,4
286,SM Harwood,140,2
285,Sunny Singh,120,1
284,UA Birla,120,1
