,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,DJ Bravo,1939,88,163,24,0,32,0,16,26,8.13
1,SL Malinga,1867,140,153,29,0,47,0,9,24,7.19
2,A Nehra,1709,170,127,25,2,48,0,13,22,7.07
3,MA Starc,1622,105,108,20,3,33,1,2,20,6.77
4,YS Chahal,1591,90,125,18,1,21,0,28,23,8.83
5,MJ McClenaghan,1240,118,118,14,1,39,0,15,18,7.82
6,B Kumar,1224,126,119,21,0,41,2,14,18,7.83
7,HV Patel,1214,103,109,16,0,33,0,11,17,7.5
8,Harbhajan Singh,1197,117,154,22,4,37,0,15,18,7.71
9,NM Coulter-Nile,1034,117,85,13,2,34,0,13,15,7.52
10,D Wiese,984,73,126,16,2,37,0,8,16,8.29
11,CH Morris,932,115,91,17,1,33,2,11,14,7.47
12,Sandeep Sharma,886,142,101,16,2,40,0,10,13,6.97
13,Imran Tahir,884,64,103,18,2,13,2,18,15,8.65
14,AD Russell,875,94,101,15,1,30,0,13,14,7.87
15,MC Henriques,864,57,73,10,1,14,0,2,11,6.28
16,R Ashwin,813,114,90,12,1,13,0,10,10,5.72
17,DS Kulkarni,810,95,67,11,0,43,1,4,13,7.95
18,IC Pandey,736,93,52,8,0,28,0,8,11,7.28
19,Anureet Singh,734,105,130,18,2,48,1,18,15,8.93
20,MM Sharma,727,121,132,33,3,46,0,14,14,8.18
21,AR Patel,653,83,143,19,0,23,0,21,13,8.3
22,M Morkel,633,76,59,9,1,21,0,8,10,7.31
23,PP Chawla,609,65,103,13,1,18,1,11,11,7.81
24,GB Hogg,600,50,58,2,0,8,0,9,9,7.01
25,RA Jadeja,573,84,124,12,0,21,0,17,11,7.77
26,S Aravind,490,47,37,7,1,15,0,3,8,7.25
27,Z Khan,490,73,53,6,2,19,0,2,7,6.24
28,JP Duminy,474,33,52,10,0,8,0,4,8,7.31
29,TA Boult,437,71,62,13,1,28,0,6,9,7.94
30,A Mishra,407,75,116,29,0,18,0,11,9,7.55
31,J Suchith,375,70,108,19,2,27,0,13,10,8.56
32,KV Sharma,370,65,122,18,0,12,0,22,10,8.56
33,MG Johnson,343,92,71,13,1,38,2,14,10,9.03
34,UT Yadav,328,92,102,11,1,50,0,10,10,8.76
35,J Yadav,278,21,17,2,0,2,0,0,2,4.14
36,SP Narine,268,74,81,10,1,19,0,11,7,7.59
37,PV Tambe,217,69,86,19,1,17,0,12,7,7.85
38,AD Mathews,196,61,81,8,0,29,0,6,7,8.16
39,STR Binny,180,56,35,8,0,14,0,6,5,7.33
40,RS Bopara,165,37,59,5,0,18,1,3,6,8.08
41,RN ten Doeschate,134,3,4,0,0,0,0,0,0,3.64
42,R Vinay Kumar,81,93,101,19,0,40,0,12,7,8.41
43,BE Hendricks,79,27,32,6,2,14,0,1,5,8.36
44,DJ Muthuswami,64,44,15,6,1,15,0,3,4,7.71
45,Bipul Sharma,53,17,18,2,0,1,0,4,3,7.14
46,Iqbal Abdulla,49,46,52,5,0,10,0,8,4,7.46
