,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,3,32,103,132,35,151.88,7.97
1,SK Raina,80,0,75,80,155,75,138.04,7.5
2,V Sehwag,78,0,57,78,135,57,146.15,10.8
3,V Kohli,73,0,67,73,140,67,121.61,9.26
4,AB de Villiers,69,0,75,69,144,75,150.11,100.0
5,MS Dhoni,71,0,100,71,171,100,145.58,100.0
6,SL Malinga,15,100,32,115,47,132,85.06,6.43
7,SP Narine,13,81,19,94,32,100,93.02,5.9
8,DW Steyn,22,66,38,88,60,104,107.44,6.47
9,R Ashwin,16,65,38,81,54,103,84.03,6.64
10,B Kumar,15,42,25,57,40,67,79.66,6.68
