,fielder,overall,ratings
0,AB de Villiers,480,19
1,NV Ojha,480,19
2,KD Karthik,400,15
3,RV Uthappa,380,14
4,DA Miller,360,13
5,MS Dhoni,360,13
6,MC Henriques,340,12
7,WP Saha,320,11
8,KL Rahul,300,10
9,SR Watson,300,10
10,CH Morris,300,10
11,PA Patel,300,10
12,MK Pandey,280,9
13,AM Rahane,260,8
14,SK Raina,260,8
15,SA Yadav,240,7
16,SS Tiwary,240,7
17,DR Smith,240,7
18,JC Buttler,240,7
19,V Kohli,240,7
20,NLTC Perera,220,6
21,S Dhawan,220,6
22,Shakib Al Hasan,220,6
23,HH Pandya,220,6
24,B Kumar,220,6
25,SS Iyer,220,6
26,GJ Maxwell,220,6
27,Harbhajan Singh,200,5
28,Gurkeerat Singh,200,5
29,DJ Hooda,200,5
30,KS Williamson,200,5
31,SB Jakati,200,5
32,AT Rayudu,200,5
33,KA Pollard,200,5
34,DJ Bravo,200,5
35,SV Samson,180,4
36,CR Brathwaite,180,4
37,SB Jakati,180,4
38,GB Hogg,180,4
39,CH Gayle,180,4
40,JP Faulkner,180,4
41,SW Billings,180,4
42,Q de Kock,180,4
43,DA Warner,180,4
44,Gurkeerat Singh,180,4
45,JP Duminy,180,4
46,KK Nair,180,4
47,F du Plessis,180,4
48,MM Sharma,180,4
49,YS Chahal,180,4
50,TG Southee,180,4
51,BB Sran,180,4
52,PP Chawla,180,4
53,RA Jadeja,180,4
54,P Negi,160,3
55,STR Binny,160,3
56,CJ Jordan,160,3
57,Z Khan,160,3
58,A Mishra,160,3
59,YK Pathan,160,3
60,JP Duminy,160,3
61,R Ashwin,160,3
62,Iqbal Abdulla,160,3
63,M Vohra,160,3
64,EJG Morgan,160,3
65,AD Russell,160,3
66,RR Pant,160,3
67,AJ Finch,160,3
68,RG Sharma,160,3
69,KW Richardson,140,2
70,Mohammed Shami,140,2
71,C Munro,140,2
72,Mustafizur Rahman,140,2
73,Parvez Rasool,140,2
74,Sandeep Sharma,140,2
75,Sachin Baby,140,2
76,S Aravind,140,2
77,KH Pandya,140,2
78,Yuvraj Singh,140,2
79,KC Cariappa,140,2
80,Bipul Sharma,140,2
81,GJ Bailey,140,2
82,AR Patel,140,2
83,HV Patel,140,2
84,MG Johnson,140,2
85,TA Boult,140,2
86,SPD Smith,140,2
87,I Sharma,140,2
88,M Vijay,140,2
89,P Kumar,140,2
90,ER Dwivedi,140,2
91,DS Kulkarni,140,2
92,R Bhatia,140,2
93,NS Naik,140,2
94,J Yadav,120,1
95,UT Khawaja,120,1
96,R Sathish,120,1
97,BB McCullum,120,1
98,PJ Sangwan,120,1
99,JA Morkel,120,1
100,CA Lynn,120,1
101,AF Milne,120,1
102,SP Narine,120,1
103,A Ashish Reddy,120,1
104,DL Chahar,120,1
105,D Wiese,120,1
106,AP Tare,120,1
107,BCJ Cutting,120,1
108,AS Rajpoot,120,1
109,SE Marsh,120,1
110,Ankit Sharma,120,1
111,Kuldeep Yadav,120,1
112,IK Pathan,120,1
113,R Bhatia,120,1
114,UT Yadav,120,1
115,A Nehra,120,1
116,R Vinay Kumar,120,1
117,KM Jadhav,120,1
118,JJ Bumrah,120,1
119,PV Tambe,120,1
120,Ishan Kishan,120,1
121,KP Pietersen,120,1
122,G Gambhir,120,1
123,F Behardien,120,1
124,S Nadeem,100,0
125,J Suchith,100,0
126,JO Holder,100,0
127,Imran Tahir,100,0
128,Swapnil Singh,100,0
129,PSP Handscomb,100,0
130,M Ashwin,100,0
131,KJ Abbott,100,0
132,TM Head,100,0
133,T Shamsi,100,0
134,R Dhawan,100,0
135,UBT Chand,100,0
136,N Rana,100,0
137,SM Boland,100,0
138,LMP Simmons,100,0
139,MP Stoinis,100,0
140,HM Amla,100,0
141,VR Aaron,100,0
142,S Ladda,100,0
143,RP Singh,100,0
144,A Zampa,100,0
145,KV Sharma,100,0
146,JD Unadkat,100,0
147,S Gopal,100,0
148,M Morkel,100,0
149,NM Coulter-Nile,100,0
150,Anureet Singh,100,0
151,MJ McClenaghan,100,0
152,JW Hastings,100,0
153,DW Steyn,100,0
154,MA Agarwal,100,0
155,AB Dinda,100,0
156,S Kaushik,100,0
157,P Sahu,100,0
158,SN Khan,100,0
159,AD Nath,100,0
160,MR Marsh,100,0
161,MJ Guptill,100,0
