,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
43,SR Watson,174,61,37,12,0,25,0,4,6,8.01
44,L Balaji,154,50,60,7,0,19,2,9,7,8.81
45,CK Langeveldt,127,26,28,3,0,10,0,3,5,8.07
46,I Sharma,94,54,54,16,0,30,0,6,7,9.17
47,YK Pathan,88,60,120,7,0,21,0,6,5,7.18
48,R Sharma,59,40,62,5,0,8,0,11,5,8.1
49,Jaskaran Singh,54,31,33,4,2,18,1,3,6,9.34
50,RE van der Merwe,52,8,15,2,0,2,0,0,2,6.28
51,AJ Finch,42,3,3,1,0,0,0,0,0,4.55
52,AD Mascarenhas,25,16,18,5,0,8,0,1,4,8.25
53,SJ Srivastava,23,54,78,9,1,29,0,7,6,8.74
54,RR Powar,20,62,53,7,2,14,2,4,3,6.79
55,JD Unadkat,2,20,27,3,0,10,0,2,4,8.33
56,NLTC Perera,0,0,1,1,0,4,0,0,0,19.0
57,CL White,0,2,1,1,0,1,0,2,0,17.27
58,SB Wagh,0,2,0,0,0,4,0,0,1,16.0
59,C Ganapathy,0,1,3,0,0,1,0,1,0,13.0
60,VRV Singh,0,4,9,2,0,4,0,2,0,12.42
61,A Mithun,0,2,13,0,0,2,0,3,1,12.19
62,S Sriram,0,2,6,0,0,3,0,1,0,12.0
63,AN Ahmed,0,3,5,2,0,3,1,0,0,11.82
64,TL Suman,0,2,6,2,0,2,0,1,0,11.43
65,S Narwal,0,31,30,11,0,14,0,13,5,11.41
66,MS Gony,0,17,14,3,0,15,0,2,1,11.08
67,AA Jhunjhunwala,0,12,14,3,0,5,1,4,0,10.95
68,A Uniyal,0,8,17,4,0,6,0,3,2,10.81
69,Joginder Sharma,0,14,19,4,0,10,2,2,2,10.72
70,MB Parmar,0,4,9,0,0,6,0,0,0,10.65
71,SC Ganguly,0,2,17,1,0,3,0,2,0,10.49
72,DR Smith,0,6,10,1,0,6,0,0,1,10.29
73,B Lee,0,20,39,10,1,16,2,3,0,10.2
74,Pankaj Singh,0,21,15,1,1,7,1,5,2,10.0
75,MK Tiwary,0,2,3,1,0,0,0,1,1,10.0
76,Y Venugopal Rao,0,1,2,2,0,1,0,0,0,10.0
77,FY Fazal,0,1,8,1,0,1,0,1,0,10.0
78,RS Bopara,0,21,37,8,0,8,1,7,5,9.85
79,AB McDonald,0,21,42,4,0,10,0,8,5,9.79
80,R Sathish,0,14,23,3,0,7,0,4,2,9.76
81,DS Kulkarni,0,10,7,2,0,3,1,2,1,9.76
82,V Kohli,0,7,16,5,0,2,1,2,0,9.62
83,YA Abdulla,0,13,17,2,0,7,0,3,1,9.57
84,KAJ Roach,0,20,16,3,0,10,0,3,0,9.52
85,S Ladda,0,34,33,5,1,8,0,11,4,9.47
86,S Tyagi,0,34,39,5,0,16,0,8,1,9.47
87,AP Dole,0,20,30,8,0,11,0,4,5,9.42
88,Bipul Sharma,0,14,29,6,1,5,0,5,3,9.4
89,Y Nagar,0,7,6,0,0,4,0,1,1,9.33
90,MM Patel,0,31,24,2,2,15,0,4,3,9.08
91,S Sreesanth,0,44,48,7,2,19,1,7,4,9.01
92,CH Gayle,0,29,46,5,1,15,2,4,4,9.0
93,LR Shukla,0,19,33,7,1,7,0,5,3,9.0
94,STR Binny,0,0,5,0,0,1,0,0,0,9.0
95,AB Agarkar,0,40,58,8,0,24,0,5,4,8.97
96,VS Malik,0,16,16,3,0,11,0,0,1,8.92
97,M Morkel,0,15,20,0,0,10,0,1,0,8.92
98,MC Henriques,0,10,7,2,0,3,0,2,1,8.75
99,TM Dilshan,0,18,22,1,0,1,0,7,3,8.64
100,L Ablish,0,7,13,2,0,5,0,0,3,8.6
101,DJ Bravo,0,48,71,15,0,19,0,9,4,8.56
102,MR Marsh,0,24,21,5,0,13,0,1,2,8.56
103,Kamran Khan,0,18,10,0,1,7,0,2,3,8.55
104,R Bhatia,0,23,53,6,1,11,0,4,3,8.4
105,BAW Mendis,0,12,27,5,0,2,1,3,2,8.29
106,AC Voges,0,15,30,1,0,8,0,2,0,8.26
107,BJ Hodge,0,8,15,3,0,2,0,2,2,8.2
108,DL Vettori,0,21,35,3,1,9,0,3,2,8.17
109,RG Sharma,0,32,58,11,1,13,0,4,2,8.15
110,DJ Hussey,0,13,32,7,1,5,0,2,0,8.1
111,RS Gavaskar,0,2,2,1,0,1,0,0,0,8.0
112,R McLaren,0,69,91,18,0,34,0,3,4,7.92
113,JM Kemp,0,15,22,3,0,6,0,1,3,7.73
114,KP Pietersen,0,18,31,3,0,4,0,4,3,7.7
115,AG Murtaza,0,23,36,5,0,3,1,5,3,7.69
116,ST Jayasuriya,0,19,25,3,0,5,1,2,2,7.47
117,Iqbal Abdulla,0,18,22,4,0,5,0,2,1,7.47
118,VY Mahesh,0,5,9,3,0,2,0,0,1,7.42
119,KP Appanna,0,15,21,2,0,2,0,3,1,7.18
120,K Goel,0,1,3,2,0,0,0,0,0,7.0
121,JP Duminy,0,13,15,0,0,4,0,1,1,6.98
122,B Akhil,0,3,2,0,0,1,0,0,0,6.0
