,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
0,PP Ojha,1561,133,151,25,2,30,2,17,21,7.32
1,A Mishra,1279,131,144,11,0,26,1,16,17,6.81
2,A Kumble,1275,151,167,28,1,27,2,13,17,6.54
3,Harbhajan Singh,1222,102,172,26,0,21,1,12,17,6.95
4,M Muralitharan,1168,123,123,17,4,23,1,15,16,6.98
5,DW Steyn,1093,164,141,20,6,45,0,6,15,6.55
6,KA Pollard,1064,58,131,21,1,16,0,6,15,7.17
7,SL Malinga,1056,116,129,19,3,36,2,5,15,7.0
8,RJ Harris,1001,81,65,18,1,22,1,7,14,7.4
9,R Ashwin,991,124,125,12,1,27,0,8,13,6.25
10,R Vinay Kumar,960,101,102,26,3,36,0,15,16,8.43
11,Z Khan,928,107,112,22,0,46,0,8,15,7.9
12,DE Bollinger,917,94,58,12,1,20,0,8,12,6.64
13,SB Jakati,801,82,94,22,1,19,1,13,13,7.81
14,IK Pathan,760,98,104,21,1,55,0,11,15,9.02
15,A Symonds,709,106,155,26,0,25,0,13,12,7.12
16,PP Chawla,669,94,138,24,0,27,1,12,12,7.54
17,SK Trivedi,668,69,104,15,2,21,0,7,11,7.35
18,AB Dinda,662,64,49,9,0,22,0,0,9,6.46
19,WPUJC Vaas,650,63,47,2,0,15,0,6,9,6.65
20,RP Singh,641,98,95,14,2,43,0,14,13,8.71
21,JH Kallis,602,118,143,23,2,47,1,16,13,8.32
22,SW Tait,592,70,84,13,0,31,2,5,11,8.04
23,M Kartik,554,77,117,19,0,22,0,3,9,6.62
24,SE Bond,536,75,73,13,0,27,0,3,9,7.14
25,SK Warne,534,93,146,25,1,25,0,15,11,7.7
26,Harmeet Singh,476,59,62,8,0,16,1,5,8,7.05
27,JA Morkel,451,97,119,22,0,47,1,9,11,8.35
28,PJ Sangwan,425,70,79,17,1,24,0,8,9,7.85
29,DP Nannes,405,89,88,9,5,24,0,3,7,6.49
30,CRD Fernando,402,50,45,7,0,15,1,3,7,7.06
31,P Kumar,399,109,102,22,1,40,1,13,10,8.17
32,V Sehwag,368,18,13,1,0,2,0,0,3,4.26
33,J Theron,363,46,78,10,0,19,0,5,8,7.79
34,A Nehra,311,37,27,6,1,12,0,2,6,7.23
35,MF Maharoof,287,54,54,10,0,24,2,5,8,8.57
36,T Thushara,265,38,40,4,0,8,1,3,5,6.69
37,PD Collingwood,249,24,51,8,0,4,0,3,5,6.73
38,Yuvraj Singh,218,45,73,7,0,8,0,6,5,6.71
39,SK Raina,214,40,82,6,1,12,0,6,6,7.45
40,AD Mathews,210,58,119,16,0,28,0,9,8,8.3
41,UT Yadav,201,55,63,5,1,26,0,2,6,7.62
42,ND Doshi,181,14,9,1,0,0,0,1,1,4.15
