,bowler,overall,run0,run1,run2,run3,run4,run5,run6,wickets,economyrate
260,R Sathish,0,30,71,15,0,18,0,10,3,9.71
261,AUK Pathan,0,9,22,2,0,5,1,2,0,9.69
262,Swapnil Singh,0,3,11,1,0,1,0,2,0,9.67
263,SR Tendulkar,0,4,23,3,0,6,0,1,0,9.67
264,S Ladda,0,48,54,9,1,12,0,17,5,9.66
265,A Flintoff,0,20,28,4,0,7,0,7,2,9.64
266,D Salunkhe,0,13,24,3,1,6,1,3,1,9.64
267,CJ Anderson,0,45,49,9,0,28,0,7,5,9.61
268,KAJ Roach,0,20,16,3,0,10,0,3,0,9.52
269,T Shamsi,0,26,43,7,0,13,0,7,3,9.44
270,KC Cariappa,0,38,47,7,2,9,0,13,4,9.43
271,HH Pandya,0,58,92,17,1,33,0,12,4,9.43
272,AP Dole,0,20,30,8,0,11,0,4,5,9.42
273,DB Ravi Teja,0,4,10,1,0,1,0,2,1,9.33
274,AJ Finch,0,13,19,4,0,4,0,4,1,9.31
275,Shoaib Malik,0,15,25,8,0,7,0,3,2,9.26
276,Y Venugopal Rao,0,59,101,18,1,30,0,13,6,9.14
277,A Mithun,0,90,138,20,1,41,1,20,7,9.13
278,DJ Hussey,0,86,152,28,1,31,0,25,8,9.07
279,AA Jhunjhunwala,0,27,35,10,0,10,1,5,1,9.03
280,Shoaib Ahmed,0,33,43,5,1,14,0,7,5,9.01
281,SB Joshi,0,18,24,2,0,6,0,5,1,9.01
282,AS Raut,0,6,15,4,0,4,0,1,0,9.0
283,M de Lange,0,39,45,5,1,21,1,4,5,8.91
284,S Dhawan,0,17,20,1,0,8,0,3,4,8.89
285,DNT Zoysa,0,24,27,2,1,12,0,3,2,8.85
286,PJ Cummins,0,34,33,4,0,11,1,7,2,8.8
287,P Suyal,0,36,42,6,2,16,0,5,2,8.8
288,K Upadhyay,0,20,22,1,1,9,0,3,0,8.8
289,RJ Peterson,0,21,14,3,0,5,0,5,3,8.75
290,SB Bangar,0,55,55,10,1,24,1,7,4,8.74
291,P Sahu,0,24,58,8,0,12,0,5,3,8.69
292,S Kaul,0,68,87,19,0,31,1,9,6,8.68
293,Shivam Sharma,0,37,47,11,0,9,0,10,4,8.68
294,DJ Harris,0,4,10,1,0,2,0,1,0,8.67
